"CBLS County-level Summary Data for AL, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,9147,242,40,0.400000018998981%,0,,,
001,Autauga County,20,1,0,0%,0,17662,1215,11.9999997317791%
003,Baldwin County,163,4,0,0%,0,74285,4986,15.0000005960464%
005,Barbour County,8,.,0,0%,0,12461,1784,44.9999988079071%
007,Bibb County,20,.,0,0%,0,8345,1277,30.0000011920929%
009,Blount County,217,4,0,0%,0,21158,2321,11.9999997317791%
011,Bullock County,55,1,0,0%,0,4727,682,61.0000014305115%
013,Butler County,57,4,0,0%,1,9957,1936,31.0000002384186%
015,Calhoun County,235,9,2,0.899999961256981%,0,51322,8676,25%
017,Chambers County,71,2,0,0%,0,16256,4201,23.0000004172325%
019,Cherokee County,35,4,1,2.8999999165535%,0,14025,1330,18.9999997615814%
021,Chilton County,66,2,0,0%,1,17651,2332,20.9999993443489%
023,Choctaw County,14,.,0,0%,0,7839,778,40.9999996423721%
025,Clarke County,143,4,0,0%,0,12631,1710,31.0000002384186%
027,Clay County,32,1,0,0%,0,6612,1266,20.0000002980232%
029,Cleburne County,32,.,0,0%,0,6189,948,15.0000005960464%
031,Coffee County,909,32,2,0.20000000949949%,1,19837,2142,25%
033,Colbert County,338,6,1,0.300000002607703%,0,24980,4033,20.0000002980232%
035,Conecuh County,75,2,0,0%,0,7265,1347,40.9999996423721%
039,Covington Count,195,9,0,0%,0,18578,3837,27.0000010728836%
041,Crenshaw County,23,2,1,4.30000014603138%,0,6644,1388,31.9999992847443%
043,Cullman County,206,3,2,0.999999977648258%,0,35233,4323,15.0000005960464%
045,Dale County,15,.,0,0%,0,21779,1999,23.9999994635582%
047,Dallas County,13,.,3,23.1000006198883%,0,20450,3593,50.9999990463257%
049,DeKalb County,67,2,1,1.49999996647239%,2,28051,4716,20.0000002980232%
051,Elmore County,71,3,0,0%,0,25733,2519,15.0000005960464%
053,Escambia County,280,1,1,0.400000018998981%,0,16544,2326,27.0000010728836%
055,Etowah County,93,1,1,1.09999999403954%,0,45959,10165,25%
057,Fayette County,18,.,2,11.1000001430512%,1,8472,1469,20.9999993443489%
059,Franklin County,171,14,0,0%,0,13749,1998,27.0000010728836%
061,Geneva County,19,3,0,0%,0,12115,2028,28.0000001192093%
063,Greene County,38,.,0,0%,0,5117,494,46.9999998807907%
065,Hale County,48,6,0,0%,0,7756,1156,40.0000005960465%
067,Henry County,n,n,n,n,n,8037,1216,25.9999990463257%
069,Houston County,5,.,5,100%,2,39571,3591,23.9999994635582%
071,Jackson County,41,1,0,0%,0,24168,3012,20.0000002980232%
073,Jefferson Count,3734,106,13,0.300000002607703%,2,288162,55497,21.9999998807907%
075,Lamar County,19,1,0,0%,0,7517,1259,25%
077,Lauderdale Coun,418,10,0,0%,0,40424,5365,20.0000002980232%
079,Lawrence County,70,4,0,0%,0,15009,1477,15.9999996423721%
081,Lee County,180,10,4,2.19999998807907%,1,50329,3235,17.0000001788139%
083,Limestone Count,123,2,2,1.60000007599592%,1,26897,2765,20.0000002980232%
085,Lowndes County,46,1,0,0%,2,5801,665,46.000000834465%
087,Macon County,52,.,0,0%,0,10627,1528,44.9999988079071%
089,Madison County,293,6,0,0%,0,120288,6696,17.0000001788139%
091,Marengo County,66,1,0,0%,0,10127,1340,37.0000004768372%
093,Marion County,84,5,0,0%,0,14416,1725,18.9999997615814%
095,Marshall County,105,3,1,0.999999977648258%,0,36331,4038,20.0000002980232%
097,Mobile County,1100,50,8,0.700000021606684%,1,165101,22458,28.999999165535%
099,Monroe County,19,.,0,0%,1,11343,1479,27.0000010728836%
101,Montgomery Coun,2904,107,18,0.600000005215406%,1,95437,13778,25.9999990463257%
103,Morgan County,424,3,0,0%,1,47388,4596,18.0000007152557%
105,Perry County,18,1,0,0%,0,5406,728,44.9999988079071%
107,Pickens County,41,1,0,0%,0,9520,1386,36.0000014305115%
109,Pike County,83,7,8,9.6000000834465%,3,13981,2024,37.0000004768372%
111,Randolph County,30,1,0,0%,0,10285,2224,21.9999998807907%
113,Russell County,72,3,0,0%,0,22831,2933,28.0000001192093%
115,St. Clair Count,394,5,0,0%,0,27303,2986,14.0000000596046%
117,Shelby County,274,8,0,0%,0,59302,2790,5.99999986588955%
119,Sumter County,45,2,0,0%,0,6953,876,47.9999989271164%
121,Talladega Count,156,2,2,1.30000002682209%,1,34469,5859,28.0000001192093%
123,Tallapoosa Coun,106,9,1,0.899999961256981%,0,20510,3483,25%
125,Tuscaloosa Coun,283,5,0,0%,0,71429,7440,21.9999998807907%
127,Walker County,20,1,0,0%,0,32417,4890,21.9999998807907%
129,Washington Coun,44,1,0,0%,0,8123,817,20.9999993443489%
131,Wilcox County,55,2,0,0%,0,6183,736,44.9999988079071%
133,Winston County,38,1,0,0%,0,12502,1214,21.9999998807907%
*# of Addresses where address state not in selected state: 13,# of Addresses where program state is not in selected state: 7,,,,,,,,
*# of Addresses where address state not in selected state: 13,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2009-2013",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
