"CBLS County-level Summary Data for AL, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,4344,113,28,0.600000005215406%,0,,,
001,Autauga County,29,.,0,0%,0,17662,1215,11.9999997317791%
003,Baldwin County,357,4,2,0.600000005215406%,0,74285,4986,15.0000005960464%
005,Barbour County,23,.,1,4.30000014603138%,0,12461,1784,44.9999988079071%
007,Bibb County,41,.,0,0%,0,8345,1277,30.0000011920929%
009,Blount County,250,3,0,0%,0,21158,2321,11.9999997317791%
011,Bullock County,148,7,1,0.700000021606684%,0,4727,682,61.0000014305115%
013,Butler County,102,2,0,0%,0,9957,1936,31.0000002384186%
015,Calhoun County,269,10,4,1.49999996647239%,0,51322,8676,25%
017,Chambers County,127,2,0,0%,0,16256,4201,23.0000004172325%
019,Cherokee County,47,.,0,0%,0,14025,1330,18.9999997615814%
021,Chilton County,304,5,0,0%,1,17651,2332,20.9999993443489%
023,Choctaw County,15,1,0,0%,0,7839,778,40.9999996423721%
025,Clarke County,133,6,1,0.800000037997961%,0,12631,1710,31.0000002384186%
027,Clay County,63,2,0,0%,0,6612,1266,20.0000002980232%
029,Cleburne County,47,.,1,2.09999997168779%,0,6189,948,15.0000005960464%
031,Coffee County,152,7,1,0.700000021606684%,1,19837,2142,25%
033,Colbert County,297,9,0,0%,0,24980,4033,20.0000002980232%
035,Conecuh County,34,.,0,0%,0,7265,1347,40.9999996423721%
037,Coosa County,7,1,0,0%,0,6142,889,15.0000005960464%
039,Covington Count,321,10,1,0.300000002607703%,0,18578,3837,27.0000010728836%
041,Crenshaw County,77,1,1,1.30000002682209%,0,6644,1388,31.9999992847443%
043,Cullman County,440,6,1,0.20000000949949%,0,35233,4323,15.0000005960464%
045,Dale County,78,6,3,3.79999987781048%,1,21779,1999,23.9999994635582%
047,Dallas County,19,.,7,36.8000000715256%,1,20450,3593,50.9999990463257%
049,DeKalb County,218,4,0,0%,1,28051,4716,20.0000002980232%
051,Elmore County,100,3,0,0%,0,25733,2519,15.0000005960464%
053,Escambia County,92,3,1,1.09999999403954%,0,16544,2326,27.0000010728836%
055,Etowah County,265,5,0,0%,0,45959,10165,25%
057,Fayette County,31,1,2,6.49999976158142%,1,8472,1469,20.9999993443489%
059,Franklin County,177,14,0,0%,0,13749,1998,27.0000010728836%
061,Geneva County,37,3,1,2.70000007003546%,0,12115,2028,28.0000001192093%
063,Greene County,43,1,0,0%,0,5117,494,46.9999998807907%
065,Hale County,23,1,0,0%,0,7756,1156,40.0000005960465%
069,Houston County,12,2,7,58.3000004291534%,4,39571,3591,23.9999994635582%
071,Jackson County,60,.,0,0%,0,24168,3012,20.0000002980232%
