"CBLS County-level Summary Data for AZ, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Apache County,14,0.186915887850467%,0,0,31621,1599,44.9999988079071%,7490
003,Cochise County,90,0.951173113506658%,7,1,51126,6312,28.0000001192093%,9462
005,Coconino County,6,0.058343057176196%,4,0,53443,2496,23.9999994635582%,10284
007,Gila County,5,0.137589433131536%,3,0,28189,2910,27.0000010728836%,3634
009,Graham County,,0%,,,11430,1505,28.0000001192093%,3106
012,La Paz County,,0%,,,15133,498,30.0000011920929%,1173
013,Maricopa County,2593,0.897940243513914%,121,19,1250231,41878,17.0000001788139%,288772
015,Mohave County,20,0.175916967191486%,4,0,80062,1184,23.9999994635582%,11369
017,Navajo County,,0%,,,47413,2755,40.0000005960465%,9885
019,Pima County,48,0.0719931606497383%,26,6,366737,24679,21.9999998807907%,66673
021,Pinal County,5,0.0345494748479823%,5,1,81154,3423,27.0000010728836%,14472
023,Santa Cruz County,256,6.74927498022673%,2,0,13036,1518,31.9999992847443%,3793
025,Yavapai County,,0%,,,81730,5224,20.0000002980232%,10261
027,Yuma County,39,0.256578947368421%,29,4,74140,3278,28.0000001192093%,15200
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Arizona Total Confirmed Cases 2005,,210,,,,,,,
