"CBLS County-level Summary Data for AZ, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Apache County,86,1.09999999403954%,0,0%,0,31621,1599,44.9999988079071%,7638
003,Cochise County,842,7.80000016093254%,11,1.30641330166271%,2,51126,6312,28.0000001192093%,10778
005,Coconino County,574,4.89999987185001%,2,0.348432055749129%,0,53443,2496,23.9999994635582%,11677
007,Gila County,89,2.19999998807907%,4,4.49438202247191%,0,28189,2910,27.0000010728836%,4069
009,Graham County,108,3.90000008046627%,1,0.925925925925926%,0,11430,1505,28.0000001192093%,2750
011,Greenlee County,18,2.8999999165535%,0,0%,0,3744,727,12.9999995231628%,629
012,La Paz County,85,6.40000030398369%,0,0%,0,15133,498,30.0000011920929%,1322
013,Maricopa County,30889,8.39999988675118%,107,0.346401631648807%,19,1250231,41878,17.0000001788139%,368380
015,Mohave County,912,6.40000030398369%,1,0.109649122807018%,0,80062,1184,23.9999994635582%,14149
017,Navajo County,295,2.80000008642673%,2,0.677966101694915%,0,47413,2755,40.0000005960465%,10708
019,Pima County,5523,7.10000023245811%,32,0.57939525620134%,7,366737,24679,21.9999998807907%,78084
021,Pinal County,1217,5.70000000298023%,8,0.657354149548069%,1,81154,3423,27.0000010728836%,21397
023,Santa Cruz County,764,16.0999998450279%,2,0.261780104712042%,0,13036,1518,31.9999992847443%,4740
025,Yavapai County,351,2.80000008642673%,2,0.56980056980057%,0,81730,5224,20.0000002980232%,12760
027,Yuma County,1746,8.79999995231628%,16,0.916380297823597%,3,74140,3278,28.0000001192093%,19755
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Arizona Total Confirmed Cases 2006,,188,,,,,,,,
