"CBLS County-level Summary Data for AZ, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Apache County,80,1.09999999403954%,0,0%,0,31621,1599,44.9999988079071%,6962
003,Cochise County,899,8.50000008940697%,6,0.667408231368187%,1,51126,6312,28.0000001192093%,10580
005,Coconino County,587,5.20000010728836%,0,0%,0,53443,2496,23.9999994635582%,11190
007,Gila County,94,2.30000000447035%,1,1.06382978723404%,0,28189,2910,27.0000010728836%,4044
009,Graham County,63,2.19999998807907%,0,0%,0,11430,1505,28.0000001192093%,2855
011,Greenlee County,5,0.800000037997961%,0,0%,0,3744,727,12.9999995231628%,638
012,La Paz County,68,5.29999993741512%,0,0%,0,15133,498,30.0000011920929%,1286
013,Maricopa County,24537,6.40000030398369%,65,0.264906060235563%,17,1250231,41878,17.0000001788139%,382742
015,Mohave County,936,6.40000030398369%,3,0.32051282051282%,0,80062,1184,23.9999994635582%,14600
017,Navajo County,274,2.60000005364418%,0,0%,0,47413,2755,40.0000005960465%,10655
019,Pima County,5171,6.49999976158142%,7,0.135370334558113%,5,366737,24679,21.9999998807907%,79601
021,Pinal County,1314,4.80000004172325%,4,0.30441400304414%,0,81154,3423,27.0000010728836%,27295
023,Santa Cruz County,674,14.300000667572%,1,0.148367952522255%,0,13036,1518,31.9999992847443%,4703
025,Yavapai County,303,2.19999998807907%,1,0.33003300330033%,0,81730,5224,20.0000002980232%,13740
027,Yuma County,1462,7.40000009536743%,6,0.410396716826265%,3,74140,3278,28.0000001192093%,19724
999,Unknown,15,,0,0%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Arizona Confirmed Cases 2007,,94,,,,,,,
