"CBLS County-level Summary Data for AZ, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Apache,761,10.3650231544538%,4,0.525624178712221%,31621,1599,44.9999988079071%,7342
003,Cochise,1225,11.1505552521391%,7,0.571428571428571%,51126,6312,28.0000001192093%,10986
005,Coconino,1246,10.3000743986112%,4,0.321027287319422%,53443,2496,23.9999994635582%,12097
007,Gila,146,3.59251968503937%,2,1.36986301369863%,28189,2910,27.0000010728836%,4064
009,Graham,185,5.21861777150917%,1,0.540540540540541%,11430,1505,28.0000001192093%,3545
011,Greenlee,31,4.00516795865633%,1,3.2258064516129%,3744,727,12.9999995231628%,774
012,La Paz,136,10.0221075902727%,,0%,15133,498,30.0000011920929%,1357
013,Maricopa,43444,10.9731455474954%,94,0.216370499953964%,1250231,41878,17.0000001788139%,395912
015,Mohave,1375,9.6012848264786%,2,0.145454545454545%,80062,1184,23.9999994635582%,14321
017,Navajo,1034,9.03846153846154%,2,0.193423597678917%,47413,2755,40.0000005960465%,11440
019,Pima,6697,8.02978345843025%,6,0.089592354785725%,366737,24679,21.9999998807907%,83402
021,Pinal,2652,8.19024088943793%,2,0.0754147812971342%,81154,3423,27.0000010728836%,32380
023,Santa Cruz,982,20.1767002260119%,,0%,13036,1518,31.9999992847443%,4867
025,Yavapai,1153,8.36416394631846%,3,0.2601908065915%,81730,5224,20.0000002980232%,13785
027,Yuma,2820,13.76953125%,9,0.319148936170213%,74140,3278,28.0000001192093%,20480
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Arizona Confirmed Cases 2009,,137,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
