"CBLS County-level Summary Data for CA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alameda County,166,0.100000004749745%,100,60.2409638554217%,36,540183,160857,11.9999997317791%,117057
007,Butte County,36,0.300000002607703%,6,16.6666666666667%,0,85523,12381,28.0000001192093%,14172
011,Colusa County,8,0.400000018998981%,8,100%,1,6774,1928,18.9999997615814%,2051
013,Contra Costa County,33,0%,18,54.5454545454545%,3,354577,44272,10.0000001490116%,78451
015,Del Norte County,,,,,,10434,1339,34.0000003576279%,1772
017,El Dorado County,21,0.20000000949949%,2,9.52380952380952%,0,71278,4681,9.00000035762787%,11413
019,Fresno County,507,0.600000005215406%,149,29.3885601577909%,25,270767,36333,34.0000003576279%,90245
021,Glenn County,,,,,,9982,2840,28.999999165535%,2510
023,Humboldt County,18,0.20000000949949%,2,11.1111111111111%,0,55912,14308,27.0000010728836%,8533
025,Imperial County,52,0.300000002607703%,11,21.1538461538462%,1,43891,4536,28.999999165535%,16678
027,Inyo County,,,,,,9042,1779,20.0000002980232%,1144
029,Kern County,159,0.20000000949949%,84,52.8301886792453%,9,231564,28537,31.0000002384186%,79815
031,Kings County,12,0.100000004749745%,7,58.3333333333333%,1,36563,4867,28.999999165535%,14164
033,Lake County,,,,,,32528,3706,27.0000010728836%,4217
037,Los Angeles County,1060,0.100000004749745%,846,79.811320754717%,138,3270909,822456,25%,853639
039,Madera County,80,0.600000005215406%,17,21.25%,2,40387,4271,34.9999994039536%,13910
041,Marin County,14,0.100000004749745%,8,57.1428571428571%,0,104990,21163,7.00000002980232%,16205
043,Mariposa County,,,,,,8826,1090,12.9999995231628%,894
045,Mendocino County,,,,,,36937,6952,25%,6135
047,Merced County,70,0.300000002607703%,25,35.7142857142857%,4,68373,9208,28.999999165535%,25435
049,Modoc County,,,,,,4807,1503,31.0000002384186%,501
053,Monterey County,93,0.20000000949949%,57,61.2903225806452%,15,131708,20478,18.0000007152557%,40145
055,Napa County,8,0.100000004749745%,8,100%,0,48554,9006,11.9999997317791%,9675
057,Nevada County,16,0.300000002607703%,2,12.5%,0,44282,4875,9.00000035762787%,5024
059,Orange County,250,0.100000004749745%,141,56.4%,15,969484,53768,14.0000000596046%,253491
061,Placer County,5,0%,1,20%,0,107302,8875,5.99999986588955%,22889
063,Plumas County,,,,,,13386,2180,20.0000002980232%,1053
065,Riverside County,87,0%,54,62.0689655172414%,6,584674,31225,20.0000002980232%,187466
067,Sacramento County,118,0.100000004749745%,92,77.9661016949153%,9,474814,53989,20.9999993443489%,118777
069,San Benito County,5,0.100000004749745%,3,60%,0,16499,2359,10.0000001490116%,5099
071,San Bernardino County,218,0.100000004749745%,120,55.045871559633%,12,601369,53313,23.0000004172325%,192122
073,San Diego County,350,0.100000004749745%,167,47.7142857142857%,20,1040149,104680,17.0000001788139%,255413
075,San Francisco County,75,0.20000000949949%,49,65.3333333333333%,8,346527,218700,12.9999995231628%,44031
077,San Joaquin County,46,0.100000004749745%,41,89.1304347826087%,6,189160,30144,25%,64087
079,San Luis Obispo County,,,,,,102275,10767,12.9999995231628%,15291
081,San Mateo County,59,0.100000004749745%,27,45.7627118644068%,4,260576,57180,5.99999986588955%,55238
083,Santa Barbara County,27,0.100000004749745%,25,92.5925925925926%,5,142901,20344,18.0000007152557%,33118
085,Santa Clara County,107,0.100000004749745%,65,60.7476635514019%,13,579329,60548,7.99999982118607%,147645
087,Santa Cruz County,38,0.20000000949949%,19,50%,4,98873,21220,14.0000000596046%,18863
089,Shasta County,,,,,,68810,5933,23.9999994635582%,12127
093,Siskiyou County,,,,,,21947,5814,31.0000002384186%,2656
095,Solano County,41,0.100000004749745%,23,56.0975609756098%,3,134513,15489,10.9999999403954%,33218
097,Sonoma County,44,0.100000004749745%,27,61.3636363636364%,3,183153,27376,10.0000001490116%,33320
099,Stanislaus County,51,0.100000004749745%,16,31.3725490196078%,4,150807,20527,21.9999998807907%,48115
101,Sutter County,19,0.20000000949949%,7,36.8421052631579%,2,28319,3852,23.0000004172325%,8136
103,Tehama County,9,0.20000000949949%,0,0%,1,23547,3425,30.0000011920929%,4580
107,Tulare County,132,0.300000002607703%,65,49.2424242424242%,5,119639,15352,34.9999994039536%,46090
109,Tuolumne County,,,,,,28336,2956,20.9999993443489%,2792
111,Ventura County,108,0.20000000949949%,56,51.8518518518519%,9,251712,18864,12.9999995231628%,68213
113,Yolo County,11,0.100000004749745%,9,81.8181818181818%,0,61587,7075,17.0000001788139%,14296
115,Yuba County,20,0.300000002607703%,7,35%,0,22636,3299,28.999999165535%,7136
999,Unknown,,,,,,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Total Confirmed Cases 2006,,,,2364,,,,,,
