"CBLS County-level Summary Data for CA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alameda County,7586,6.3000001013279%,70,0.922752438702874%,40,540183,160857,11.9999997317791%,119843
005,Amador County,18,0.999999977648258%,0,0%,0,15035,2196,15.0000005960464%,1802
007,Butte County,1184,8.10000002384186%,1,0.0844594594594595%,0,85523,12381,28.0000001192093%,14599
009,Calaveras County,27,1.09999999403954%,0,0%,0,22946,1990,18.0000007152557%,2354
011,Colusa County,162,7.59999975562096%,5,3.08641975308642%,1,6774,1928,18.9999997615814%,2119
013,Contra Costa County,5515,7.00000002980232%,10,0.181323662737987%,3,354577,44272,10.0000001490116%,78857
015,Del Norte County,218,11.599999666214%,0,0%,0,10434,1339,34.0000003576279%,1885
017,El Dorado County,478,4.10000011324883%,1,0.209205020920502%,0,71278,4681,9.00000035762787%,11600
019,Fresno County,11201,11.9999997317791%,94,0.839210784751361%,24,270767,36333,34.0000003576279%,93010
021,Glenn County,76,2.99999993294477%,3,3.94736842105263%,1,9982,2840,28.999999165535%,2556
023,Humboldt County,577,6.49999976158142%,3,0.519930675909879%,0,55912,14308,27.0000010728836%,8937
025,Imperial County,4061,23.3999997377396%,15,0.369367150948042%,2,43891,4536,28.999999165535%,17391
027,Inyo County,156,12.6000002026558%,0,0%,0,9042,1779,20.0000002980232%,1236
029,Kern County,13545,16.4000004529953%,83,0.612772240679217%,13,231564,28537,31.0000002384186%,82715
031,Kings County,215,1.49999996647239%,2,0.930232558139535%,1,36563,4867,28.999999165535%,14575
033,Lake County,44,0.999999977648258%,1,2.27272727272727%,0,32528,3706,27.0000010728836%,4274
037,Los Angeles County,132331,15.6000003218651%,668,0.504794794870439%,165,3270909,822456,25%,845884
039,Madera County,1065,7.40000009536743%,12,1.12676056338028%,2,40387,4271,34.9999994039536%,14310
