"CBLS County-level Summary Data for CA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
121,,n,,n,n,n,,,,
171,,n,,n,n,n,,,,
997,Unknown State,n,,n,n,n,,,,
001,Alameda County,3888,3.20000015199184%,54,1.40000004321337%,28,540183,160857,11.9999997317791%,121228
003,Alpine County,n,,n,n,n,1514,404,46.000000834465%,73
005,Amador County,11,0.600000005215406%,0,0%,0,15035,2196,15.0000005960464%,1785
007,Butte County,830,5.49999997019768%,3,0.400000018998981%,0,85523,12381,28.0000001192093%,15039
009,Calaveras County,11,0.499999988824129%,0,0%,0,22946,1990,18.0000007152557%,2350
011,Colusa County,85,3.90000008046627%,0,0%,1,6774,1928,18.9999997615814%,2158
013,Contra Costa County,2404,2.99999993294477%,3,0.100000004749745%,1,354577,44272,10.0000001490116%,79725
015,Del Norte County,109,5.60000017285347%,0,0%,0,10434,1339,34.0000003576279%,1930
017,El Dorado County,220,1.89999993890524%,0,0%,0,71278,4681,9.00000035762787%,11816
019,Fresno County,5056,5.29999993741512%,36,0.700000021606684%,28,270767,36333,34.0000003576279%,95651
021,Glenn County,29,1.09999999403954%,0,0%,1,9982,2840,28.999999165535%,2621
023,Humboldt County,452,4.89999987185001%,5,1.09999999403954%,1,55912,14308,27.0000010728836%,9145
025,Imperial County,1616,8.90000015497208%,7,0.400000018998981%,2,43891,4536,28.999999165535%,18153
027,Inyo County,n,,n,n,n,9042,1779,20.0000002980232%,1265
029,Kern County,7612,8.90000015497208%,37,0.499999988824129%,17,231564,28537,31.0000002384186%,85439
031,Kings County,317,2.09999997168779%,0,0%,1,36563,4867,28.999999165535%,14936
033,Lake County,28,0.600000005215406%,0,0%,0,32528,3706,27.0000010728836%,4370
035,Lassen County,n,,n,n,n,12000,2678,20.9999993443489%,1747
037,Los Angeles County,71007,8.39999988675118%,394,0.600000005215406%,143,3270909,822456,25%,847953
039,Madera County,1158,7.90000036358833%,3,0.300000002607703%,2,40387,4271,34.9999994039536%,14719
041,Marin County,502,3.09999994933605%,1,0.20000000949949%,0,104990,21163,7.00000002980232%,16162
043,Mariposa County,n,,n,n,n,8826,1090,12.9999995231628%,901
045,Mendocino County,18,0.300000002607703%,1,5.60000017285347%,0,36937,6952,25%,6368
047,Merced County,670,2.60000005364418%,8,1.20000001043081%,3,68373,9208,28.999999165535%,26203
049,Modoc County,14,2.70000007003546%,0,0%,0,4807,1503,31.0000002384186%,518
053,Monterey County,2056,4.89999987185001%,19,0.899999961256981%,14,131708,20478,18.0000007152557%,41570
055,Napa County,427,4.30000014603138%,4,0.899999961256981%,0,48554,9006,11.9999997317791%,10008
057,Nevada County,162,3.20000015199184%,0,0%,0,44282,4875,9.00000035762787%,5066
059,Orange County,16257,6.40000030398369%,56,0.300000002607703%,18,969484,53768,14.0000000596046%,255063
061,Placer County,327,1.30000002682209%,1,0.300000002607703%,0,107302,8875,5.99999986588955%,24611
063,Plumas County,5,0.499999988824129%,0,0%,0,13386,2180,20.0000002980232%,1034
065,Riverside County,10432,5.20000010728836%,32,0.300000002607703%,7,584674,31225,20.0000002980232%,199537
067,Sacramento County,3022,2.40000002086163%,30,0.999999977648258%,12,474814,53989,20.9999993443489%,124066
069,San Benito County,181,3.59999984502792%,0,0%,0,16499,2359,10.0000001490116%,5055
071,San Bernardino County,14308,7.29999989271164%,49,0.300000002607703%,14,601369,53313,23.0000004172325%,196997
073,San Diego County,13279,5.00000007450581%,60,0.499999988824129%,30,1040149,104680,17.0000001788139%,266526
075,San Francisco County,2546,5.20000010728836%,33,1.30000002682209%,8,346527,218700,12.9999995231628%,49323
077,San Joaquin County,4769,7.19999969005585%,52,1.09999999403954%,6,189160,30144,25%,66392
079,San Luis Obispo County,456,2.80000008642673%,2,0.400000018998981%,0,102275,10767,12.9999995231628%,16393
081,San Mateo County,2248,3.90000008046627%,13,0.600000005215406%,2,260576,57180,5.99999986588955%,57404
083,Santa Barbara County,1513,4.39999997615814%,15,0.999999977648258%,5,142901,20344,18.0000007152557%,34703
085,Santa Clara County,6135,3.90000008046627%,37,0.600000005215406%,13,579329,60548,7.99999982118607%,155465
087,Santa Cruz County,988,5.00000007450581%,13,1.30000002682209%,2,98873,21220,14.0000000596046%,19654
