"CBLS County-level Summary Data for CA, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alameda,9330,7.49686626169125%,46,0.493033226152197%,540183,160857,11.9999997317791%,124452
003,Alpine,2,2.73972602739726%,,0%,15035,2196,15.0000005960464%,73
005,Amador,50,2.84090909090909%,,0%,85523,12381,28.0000001192093%,1760
007,Butte,1946,12.8465804066543%,2,0.102774922918808%,22946,1990,18.0000007152557%,15148
009,Calaveras,65,2.74030354131535%,1,1.53846153846154%,6774,1928,18.9999997615814%,2372
011,Colusa,130,5.69176882661997%,,0%,354577,44272,10.0000001490116%,2284
013,Contra Costa,5472,6.56004987172417%,14,0.255847953216374%,10434,1339,34.0000003576279%,83414
015,Del Norte,214,10.4339346660166%,,0%,71278,4681,9.00000035762787%,2051
017,El Dorado,542,4.40256681016977%,,0%,270767,36333,34.0000003576279%,12311
019,Fresno,10314,10.46819653496%,63,0.610820244328098%,9982,2840,28.999999165535%,98527
021,Glenn,230,8.40029218407597%,1,0.434782608695652%,55912,14308,27.0000010728836%,2738
023,Humboldt,742,7.99224472210254%,,0%,43891,4536,28.999999165535%,9284
025,Imperial,4142,21.7747870886342%,8,0.193143408981168%,9042,1779,20.0000002980232%,19022
027,Inyo,4,0.308166409861325%,,0%,231564,28537,31.0000002384186%,1298
029,Kern,17214,19.562475140633%,34,0.197513651678866%,36563,4867,28.999999165535%,87995
031,Kings,655,4.28524697415767%,1,0.152671755725191%,32528,3706,27.0000010728836%,15285
033,Lake,151,3.38185890257559%,,0%,3270909,822456,25%,4465
035,Lassen,3,0.161030595813205%,1,33.3333333333333%,40387,4271,34.9999994039536%,1863
037,Los Angeles,165413,19.093576566843%,402,0.243028057045093%,104990,21163,7.00000002980232%,866328
039,Madera,2705,17.8288953335091%,3,0.11090573012939%,8826,1090,12.9999995231628%,15172
041,Marin,1094,6.42508956363423%,1,0.0914076782449726%,36937,6952,25%,17027
043,Mariposa,16,1.78173719376392%,,0%,68373,9208,28.999999165535%,898
045,Mendocino,315,4.7113371223452%,1,0.317460317460317%,4807,1503,31.0000002384186%,6686
047,Merced,1486,5.52211073950204%,3,0.201884253028264%,11757,613,10.9999999403954%,26910
049,Modoc,43,7.87545787545788%,,0%,131708,20478,18.0000007152557%,546
051,Mono,18,1.96078431372549%,,0%,48554,9006,11.9999997317791%,918
053,Monterey,6037,13.9761546475287%,24,0.397548451217492%,44282,4875,9.00000035762787%,43195
055,Napa,778,7.54022097305679%,4,0.51413881748072%,969484,53768,14.0000000596046%,10318
