"CBLS County-level Summary Data for CO, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,26,.,1,3.79999987781048%,0,,,
001,Adams County,2080,34,5,0.20000000949949%,0,132594,6217,10.9999999403954%
003,Alamosa County,89,2,0,0%,0,6088,1561,28.999999165535%
005,Arapahoe County,2103,43,3,0.100000004749745%,0,196835,7809,7.99999982118607%
007,Archuleta Count,5,.,0,0%,0,6212,313,9.00000035762787%
011,Bent County,n,n,n,n,n,2366,1204,25.9999990463257%
013,Boulder County,597,7,0,0%,0,119900,11189,9.00000035762787%
014,Broomfield Coun,101,.,0,0%,0,,,
015,Chaffee County,24,.,0,0%,0,8392,2088,18.0000007152557%
019,Clear Creek Cou,11,1,0,0%,0,5128,1401,7.99999982118607%
021,Conejos County,28,.,0,0%,0,3886,1279,27.0000010728836%
023,Costilla County,26,.,0,0%,0,2202,502,27.0000010728836%
025,Crowley County,5,1,0,0%,0,1542,788,31.0000002384186%
027,Custer County,9,1,0,0%,0,2989,604,14.0000000596046%
029,Delta County,81,1,4,4.89999987185001%,2,12374,3577,18.9999997615814%
031,Denver County,3480,64,3,0.100000004749745%,0,251435,86450,20.0000002980232%
033,Dolores County,n,n,n,n,n,1193,283,5.99999986588955%
035,Douglas County,260,3,0,0%,0,63333,844,1.99999995529652%
037,Eagle County,37,2,0,0%,0,22111,846,9.00000035762787%
039,Elbert County,17,.,0,0%,0,7113,838,3.99999991059303%
041,El Paso County,850,16,3,0.400000018998981%,1,202428,19905,11.9999997317791%
043,Fremont County,104,1,0,0%,0,17145,4031,15.9999996423721%
045,Garfield County,200,5,1,0.499999988824129%,0,17336,2228,9.00000035762787%
047,Gilpin County,5,1,0,0%,0,2929,708,2.99999993294477%
049,Grand County,n,n,n,n,n,10894,1034,7.00000002980232%
051,Gunnison County,6,.,0,0%,0,9135,1231,15.9999996423721%
055,Huerfano County,5,.,0,0%,0,4599,1820,34.0000003576279%
059,Jefferson Count,1274,29,1,0.100000004749745%,0,212488,13095,7.00000002980232%
061,Kiowa County,n,n,n,n,n,817,328,18.9999997615814%
065,Lake County,61,3,2,3.29999998211861%,0,3913,1526,18.0000007152557%
067,La Plata County,42,1,0,0%,0,20765,2740,11.9999997317791%
069,Larimer County,602,6,1,0.20000000949949%,0,105392,11087,7.99999982118607%
071,Las Animas Coun,7,3,0,0%,0,7629,3589,18.9999997615814%
073,Lincoln County,11,1,0,0%,0,2406,928,15.0000005960464%
075,Logan County,10,.,0,0%,0,8424,3046,15.9999996423721%
077,Mesa County,16,.,0,0%,0,48427,7017,15.9999996423721%
081,Moffat County,13,1,0,0%,0,5635,772,15.9999996423721%
083,Montezuma Count,57,3,0,0%,0,10497,1728,28.999999165535%
085,Montrose County,129,10,2,1.60000007599592%,0,14202,2566,20.9999993443489%
087,Morgan County,150,3,0,0%,0,10410,3153,18.0000007152557%
089,Otero County,39,4,0,0%,0,8813,3970,28.999999165535%
091,Ouray County,9,2,0,0%,0,2146,470,7.99999982118607%
093,Park County,5,.,0,0%,0,10697,876,7.99999982118607%
095,Phillips County,8,.,0,0%,0,2014,889,11.9999997317791%
097,Pitkin County,19,1,0,0%,0,10096,648,5.00000007450581%
099,Prowers County,6,.,0,0%,0,5977,2180,34.0000003576279%
101,Pueblo County,335,6,1,0.300000002607703%,0,58926,15870,23.9999994635582%
103,Rio Blanco Coun,n,n,n,n,n,2855,520,14.0000000596046%
105,Rio Grande Coun,59,2,0,0%,0,6003,1879,20.0000002980232%
107,Routt County,5,1,0,0%,0,11217,1386,3.99999991059303%
109,Saguache County,30,3,0,0%,0,3087,694,37.0000004768372%
113,San Miguel Coun,n,n,n,n,n,5197,614,10.0000001490116%
117,Summit County,36,.,0,0%,0,24201,479,7.00000002980232%
119,Teller County,19,.,0,0%,0,10362,1289,5.99999986588955%
121,Washington Coun,5,.,0,0%,0,2307,1070,23.9999994635582%
123,Weld County,1444,44,2,0.100000004749745%,0,66194,12268,15.9999996423721%
125,Yuma County,30,4,0,0%,0,4295,1910,20.9999993443489%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 7,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
