"CBLS County-level Summary Data for CT, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Fairfield Count,20039,700,127,0.600000005215406%,38,339466,106768,7.99999982118607%
003,Hartford County,15826,554,78,0.499999988824129%,24,353022,106709,12.9999995231628%
005,Litchfield Coun,2331,136,20,0.899999961256981%,8,79267,27886,5.00000007450581%
007,Middlesex Count,2193,83,11,0.499999988824129%,1,67285,18551,3.99999991059303%
009,New Haven Count,17975,1107,214,1.20000001043081%,51,340732,113128,14.0000000596046%
011,New London Coun,4284,175,28,0.700000021606684%,3,110674,36188,10.0000001490116%
013,Tolland County,1723,75,11,0.600000005215406%,5,51570,11210,5.00000007450581%
015,Windham County,2062,134,21,0.999999977648258%,2,43959,15444,12.9999995231628%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
