"CBLS County-level Summary Data for CT, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Fairfield County,22444,31.7999988794327%,240,1.06932810550704%,97,339466,106768,7.99999982118607%,70534
003,Hartford County,17989,28.099998831749%,241,1.33970759908833%,81,353022,106709,12.9999995231628%,63948
005,Litchfield County,2856,24.5000004768372%,51,1.78571428571429%,9,79267,27886,5.00000007450581%,11639
007,Middlesex County,2486,23.1000006198883%,11,0.442477876106195%,2,67285,18551,3.99999991059303%,10752
009,New Haven County,21592,34.4999998807907%,462,2.13968136346795%,141,340732,113128,14.0000000596046%,62555
011,New London County,4862,25.4999995231628%,48,0.987248046071576%,15,110674,36188,10.0000001490116%,19060
013,Tolland County,1632,18.7000006437302%,13,0.79656862745098%,4,51570,11210,5.00000007450581%,8725
015,Windham County,2300,28.099998831749%,31,1.34782608695652%,7,43959,15444,12.9999995231628%,8194
999,Unknown,11,.,3,27.2727272727273%,1,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Connecticut 2008 Confirmed Cases,,1100,,,,,,,
