"CBLS County-level Summary Data for CT, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Fairfield,23888,33.4579884308865%,133,0.556764902880107%,339466,106768,7.99999982118607%,71397
003,Hartford,20904,32.7407709054458%,102,0.487944890929966%,353022,106709,12.9999995231628%,63847
005,Litchfield,3313,28.6666089815696%,19,0.573498339873227%,79267,27886,5.00000007450581%,11557
007,Middlesex,3187,30.2774083222497%,7,0.219642296830875%,67285,18551,3.99999991059303%,10526
009,New Haven,23025,37.2910728167919%,202,0.877307274701412%,340732,113128,14.0000000596046%,61744
011,New London,5717,30.9394956164087%,20,0.349833828931258%,110674,36188,10.0000001490116%,18478
013,Tolland,2286,26.1197440585009%,3,0.131233595800525%,51570,11210,5.00000007450581%,8752
015,Windham,2896,35.6518527637572%,25,0.863259668508287%,43959,15444,12.9999995231628%,8123
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Connecticut 2009 Confirmed Cases,,511,,,,,,
