"CBLS County-level Summary Data for FL, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,618,10,2,0.300000002607703%,0,,,
001,Alachua County,2741,70,3,0.100000004749745%,0,95113,6418,21.9999998807907%
003,Baker County,124,5,0,0%,0,7592,454,17.0000001788139%
005,Bay County,605,14,1,0.20000000949949%,0,78435,5335,20.9999993443489%
007,Bradford County,363,13,1,0.300000002607703%,0,9605,988,14.0000000596046%
009,Brevard County,2440,20,1,0%,0,222072,5420,15.0000005960464%
011,Broward County,26924,242,43,0.20000000949949%,1,741043,20377,15.0000005960464%
013,Calhoun County,31,2,0,0%,0,5250,595,27.0000010728836%
015,Charlotte Count,612,8,0,0%,0,79758,1136,15.9999996423721%
017,Citrus County,693,12,0,0%,0,62204,1064,20.0000002980232%
019,Clay County,907,10,0,0%,0,53748,1590,9.00000035762787%
021,Collier County,1216,22,3,0.20000000949949%,1,144536,1129,18.0000007152557%
023,Columbia County,583,24,0,0%,0,23579,1845,18.0000007152557%
027,DeSoto County,321,4,1,0.300000002607703%,0,13608,923,34.9999994039536%
029,Dixie County,162,9,2,1.20000001043081%,0,7362,349,20.9999993443489%
031,Duval County,6326,251,31,0.499999988824129%,2,329778,40449,18.0000007152557%
033,Escambia County,1402,49,2,0.100000004749745%,0,124647,13182,27.0000010728836%
035,Flagler County,278,9,1,0.400000018998981%,1,24452,334,18.0000007152557%
037,Franklin County,134,5,0,0%,0,7180,1094,27.0000010728836%
039,Gadsden County,469,9,2,0.400000018998981%,0,17703,2213,31.0000002384186%
041,Gilchrist Count,159,8,1,0.600000005215406%,0,5906,334,15.9999996423721%
043,Glades County,51,1,0,0%,0,5790,202,18.9999997615814%
045,Gulf County,132,5,1,0.800000037997961%,0,7587,731,21.9999998807907%
047,Hamilton County,123,15,1,0.800000037997961%,0,4966,644,37.9999995231628%
049,Hardee County,605,26,3,0.499999988824129%,0,9820,1232,31.9999992847443%
051,Hendry County,585,5,1,0.20000000949949%,0,12294,608,33.0000013113022%
053,Hernando County,791,6,0,0%,0,62727,925,18.0000007152557%
055,Highlands Count,1490,41,4,0.300000002607703%,0,48846,2188,28.999999165535%
057,Hillsborough Co,16769,354,27,0.20000000949949%,4,425962,34539,18.0000007152557%
059,Holmes County,134,9,0,0%,0,7998,1049,25%
061,Indian River Co,1738,28,3,0.20000000949949%,1,57902,2185,15.9999996423721%
063,Jackson County,96,1,0,0%,0,19490,2900,28.999999165535%
065,Jefferson Count,31,1,0,0%,0,5251,789,25%
067,Lafayette Count,48,.,0,0%,0,2660,279,25.9999990463257%
069,Lake County,1913,38,5,0.300000002607703%,0,102830,6028,15.9999996423721%
071,Lee County,5087,60,7,0.100000004749745%,0,245405,5009,17.0000001788139%
073,Leon County,783,15,2,0.300000002607703%,0,103974,5089,18.9999997615814%
075,Levy County,394,6,2,0.499999988824129%,0,16570,879,28.999999165535%
077,Liberty County,16,1,0,0%,0,3156,246,21.9999998807907%
079,Madison County,139,7,1,0.700000021606684%,0,7836,1079,34.0000003576279%
081,Manatee County,2963,23,6,0.20000000949949%,1,138128,7456,17.0000001788139%
083,Marion County,1936,57,4,0.20000000949949%,0,122663,4284,21.9999998807907%
085,Martin County,1081,18,1,0.100000004749745%,0,65471,1732,17.0000001788139%
086,Miami-Dade,38734,765,63,0.20000000949949%,6,,,
087,Monroe County,146,10,1,0.700000021606684%,0,51617,4848,12.9999995231628%
089,Nassau County,176,9,0,0%,0,25917,1604,10.9999999403954%
091,Okaloosa County,728,13,0,0%,0,78593,2655,14.0000000596046%
093,Okeechobee Coun,646,12,0,0%,0,15504,443,23.0000004172325%
095,Orange County,8365,142,5,0.100000004749745%,1,361349,18809,17.0000001788139%
097,Osceola County,2047,17,0,0%,1,72293,2776,15.9999996423721%
099,Palm Beach Coun,16473,222,22,0.100000004749745%,4,556428,20957,15.0000005960464%
101,Pasco County,2743,54,6,0.20000000949949%,1,173717,4289,15.9999996423721%
103,Pinellas County,4147,83,8,0.20000000949949%,1,481573,38135,15.0000005960464%
105,Polk County,6633,171,13,0.20000000949949%,4,226376,17242,20.9999993443489%
107,Putnam County,616,25,2,0.300000002607703%,2,33870,2515,34.0000003576279%
109,St. Johns Count,475,20,1,0.20000000949949%,0,58008,4321,10.0000001490116%
111,St. Lucie Count,3782,45,10,0.300000002607703%,0,91262,2630,20.9999993443489%
113,Santa Rosa Coun,411,12,0,0%,0,49119,1915,12.9999995231628%
115,Sarasota County,1753,32,2,0.100000004749745%,1,182467,7183,15.0000005960464%
117,Seminole County,1211,44,1,0.100000004749745%,0,147079,4339,9.00000035762787%
119,Sumter County,411,9,1,0.20000000949949%,0,25195,1323,27.0000010728836%
121,Suwannee County,268,8,0,0%,0,15679,1361,23.9999994635582%
123,Taylor County,365,17,0,0%,0,9646,1067,23.9999994635582%
125,Union County,110,5,1,0.899999961256981%,1,3736,275,15.9999996423721%
127,Volusia County,2080,69,2,0.100000004749745%,0,211938,14310,17.0000001788139%
129,Wakulla County,78,1,0,0%,0,9820,451,18.9999997615814%
131,Walton County,250,4,0,0%,0,29083,1544,27.0000010728836%
133,Washington Coun,67,2,1,1.49999996647239%,0,9503,1056,30.0000011920929%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
