"CBLS County-level Summary Data for FL, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alachua County,1809,12.753807106599%,5,1,95113,6418,21.9999998807907%,14184
003,Baker County,118,6.11715914981856%,4,0,7592,454,17.0000001788139%,1929
005,Bay County,365,3.20738137082601%,0,0,78435,5335,20.9999993443489%,11380
007,Bradford County,174,9.47196516058792%,0,0,9605,988,14.0000000596046%,1837
009,Brevard County,3758,12.0205994306369%,13,5,222072,5420,15.0000005960464%,31263
011,Broward County,14770,11.243481901572%,21,6,741043,20377,15.0000005960464%,131365
013,Calhoun County,10,1.0752688172043%,1,0,5250,595,27.0000010728836%,930
015,Charlotte County,439,6.52982299568645%,1,0,79758,1136,15.9999996423721%,6723
017,Citrus County,219,3.84480337078652%,0,1,62204,1064,20.0000002980232%,5696
019,Clay County,471,4.00816951748787%,1,0,53748,1590,9.00000035762787%,11751
021,Collier County,1519,8.58725761772853%,10,2,144536,1129,18.0000007152557%,17689
023,Columbia County,604,13.4731206781173%,3,2,23579,1845,18.0000007152557%,4483
025,Dade County,30786,17.5529822280759%,48,13,,,,175389
027,DeSoto County,178,7.49789385004212%,0,1,13608,923,34.9999994039536%,2374
029,Dixie County,193,20.4883227176221%,4,1,7362,349,20.9999993443489%,942
031,Duval County,4995,7.0717653221582%,22,23,329778,40449,18.0000007152557%,70633
033,Escambia County,619,2.75208963186911%,3,7,124647,13182,27.0000010728836%,22492
035,Flagler County,354,13.0338733431517%,2,0,24452,334,18.0000007152557%,2716
037,Franklin County,91,14.7727272727273%,0,0,7180,1094,27.0000010728836%,616
039,Gadsden County,238,6.28797886393659%,3,0,17703,2213,31.0000002384186%,3785
041,Gilchrist County,173,16.523400191022%,0,0,5906,334,15.9999996423721%,1047
043,Glades County,15,2.04081632653061%,1,0,5790,202,18.9999997615814%,735
045,Gulf County,84,10.1083032490975%,0,0,7587,731,21.9999998807907%,831
047,Hamilton County,164,16.4493480441324%,1,0,4966,644,37.9999995231628%,997
049,Hardee County,381,15.0533386013433%,2,2,9820,1232,31.9999992847443%,2531
051,Hendry County,440,12.2528543581175%,0,0,12294,608,33.0000013113022%,3591
053,Hernando County,185,2.46338215712383%,0,0,62727,925,18.0000007152557%,7510
055,Highlands County,294,5.60640732265446%,2,4,48846,2188,28.999999165535%,5244
057,Hillsborough County,6974,8.04568527918782%,18,7,425962,34539,18.0000007152557%,86680
059,Holmes County,195,15.6375300721732%,0,1,7998,1049,25%,1247
061,Indian River County,1237,18.4406678592725%,5,1,57902,2185,15.9999996423721%,6708
063,Jackson County,181,5.61066336019839%,0,1,19490,2900,28.999999165535%,3226
065,Jefferson County,37,4.42583732057416%,0,0,5251,789,25%,836
067,Lafayette County,15,3.0060120240481%,0,0,2660,279,25.9999990463257%,499
069,Lake County,1212,8.42251563585824%,2,2,102830,6028,15.9999996423721%,14390
071,Lee County,2620,8.77075522228174%,6,1,245405,5009,17.0000001788139%,29872
073,Leon County,996,5.86123697993291%,1,1,103974,5089,18.9999997615814%,16993
075,Levy County,298,12.0843471208435%,4,0,16570,879,28.999999165535%,2466
077,Liberty County,6,1.26582278481013%,0,0,3156,246,21.9999998807907%,474
079,Madison County,141,10.8211818879509%,0,0,7836,1079,34.0000003576279%,1303
081,Manatee County,1606,8.35066555740433%,2,2,138128,7456,17.0000001788139%,19232
083,Marion County,1110,6.48250890614962%,2,0,122663,4284,21.9999998807907%,17123
085,Martin County,757,10.5241206728764%,1,3,65471,1732,17.0000001788139%,7193
087,Monroe County,86,1.99074074074074%,0,0,51617,4848,12.9999995231628%,4320
089,Nassau County,57,1.29604365620737%,0,0,25917,1604,10.9999999403954%,4398
091,Okaloosa County,581,4.15801903671366%,0,0,78593,2655,14.0000000596046%,13973
093,Okeechobee County,333,11.5544760582929%,1,0,15504,443,23.0000004172325%,2882
095,Orange County,2284,2.87104194687818%,3,2,361349,18809,17.0000001788139%,79553
097,Osceola County,685,4.46836268754077%,3,2,72293,2776,15.9999996423721%,15330
099,Palm Beach County,9053,11.3567082732234%,26,3,556428,20957,15.0000005960464%,79715
101,Pasco County,1523,6.54518887790623%,9,4,173717,4289,15.9999996423721%,23269
103,Pinellas County,2689,4.71390505574644%,11,8,481573,38135,15.0000005960464%,57044
105,Polk County,5827,14.8348990554749%,17,9,226376,17242,20.9999993443489%,39279
107,Putnam County,318,5.98081624976491%,0,0,33870,2515,34.0000003576279%,5317
109,St. Johns County,383,4.46907817969662%,5,1,58008,4321,10.0000001490116%,8570
111,St. Lucie County,1274,9.28842228054826%,4,2,91262,2630,20.9999993443489%,13716
113,Santa Rosa County,202,2.10833942177226%,0,0,49119,1915,12.9999995231628%,9581
115,Sarasota County,1259,7.66747868453106%,4,3,182467,7183,15.0000005960464%,16420
117,Seminole County,954,3.30378168721429%,3,2,147079,4339,9.00000035762787%,28876
119,Sumter County,555,20.5784204671858%,18,2,25195,1323,27.0000010728836%,2697
121,Suwannee County,206,7.76186887716654%,1,0,15679,1361,23.9999994635582%,2654
123,Taylor County,79,5.55555555555556%,1,0,9646,1067,23.9999994635582%,1422
125,Union County,75,8.4841628959276%,0,0,3736,275,15.9999996423721%,884
127,Volusia County,1264,4.62580054894785%,10,7,211938,14310,17.0000001788139%,27325
129,Wakulla County,138,8.01393728222996%,0,0,9820,451,18.9999997615814%,1722
131,Walton County,113,4.02135231316726%,0,1,29083,1544,27.0000010728836%,2810
133,Washington County,89,5.87458745874587%,1,0,9503,1056,30.0000011920929%,1515
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Florida Total Confirmed Cases 2005,,307,,,,,,,
