"CBLS County-level Summary Data for FL, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alachua County,5432,35.8999997377396%,9,0.165684830633284%,2,95113,6418,21.9999998807907%,15134
003,Baker County,159,7.19999969005585%,0,0%,0,7592,454,17.0000001788139%,2223
005,Bay County,426,3.29999998211861%,1,0.234741784037559%,0,78435,5335,20.9999993443489%,12957
007,Bradford County,352,18.4000000357628%,1,0.284090909090909%,0,9605,988,14.0000000596046%,1908
009,Brevard County,5576,17.1000003814697%,9,0.161406025824964%,4,222072,5420,15.0000005960464%,32520
011,Broward County,14168,10.1000003516674%,26,0.183512140033879%,7,741043,20377,15.0000005960464%,140448
013,Calhoun County,18,1.99999995529652%,0,0%,0,5250,595,27.0000010728836%,912
015,Charlotte County,613,8.69999974966049%,0,0%,0,79758,1136,15.9999996423721%,7012
017,Citrus County,294,4.80000004172325%,0,0%,0,62204,1064,20.0000002980232%,6185
019,Clay County,728,5.40000014007092%,0,0%,0,53748,1590,9.00000035762787%,13453
021,Collier County,1367,5.79999983310699%,1,0.0731528895391368%,1,144536,1129,18.0000007152557%,23524
023,Columbia County,324,6.40000030398369%,0,0%,2,23579,1845,18.0000007152557%,5078
025,Dade County,28077,,45,0.160273533497168%,15,,,,
027,DeSoto County,151,5.60000017285347%,0,0%,1,13608,923,34.9999994039536%,2695
029,Dixie County,292,29.3999999761581%,1,0.342465753424657%,1,7362,349,20.9999993443489%,992
031,Duval County,5457,7.19999969005585%,13,0.238226131574125%,13,329778,40449,18.0000007152557%,75663
033,Escambia County,794,3.4000001847744%,1,0.125944584382872%,3,124647,13182,27.0000010728836%,23553
035,Flagler County,505,11.599999666214%,0,0%,0,24452,334,18.0000007152557%,4342
