"CBLS County-level Summary Data for FL, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alachua County,2343,14.8000001907349%,14,0.597524541186513%,3,95113,6418,21.9999998807907%,15843
003,Baker County,146,6.40000030398369%,1,0.684931506849315%,0,7592,454,17.0000001788139%,2277
005,Bay County,455,3.4000001847744%,4,0.879120879120879%,1,78435,5335,20.9999993443489%,13336
007,Bradford County,177,8.90000015497208%,0,0%,0,9605,988,14.0000000596046%,1979
009,Brevard County,4420,13.1999999284744%,8,0.180995475113122%,2,222072,5420,15.0000005960464%,33493
011,Broward County,14850,10.8999997377396%,43,0.28956228956229%,11,741043,20377,15.0000005960464%,135854
013,Calhoun County,26,2.70000007003546%,1,3.84615384615385%,0,5250,595,27.0000010728836%,965
015,Charlotte County,426,5.79999983310699%,5,1.17370892018779%,0,79758,1136,15.9999996423721%,7289
017,Citrus County,234,3.4000001847744%,1,0.427350427350427%,0,62204,1064,20.0000002980232%,6907
019,Clay County,694,4.80000004172325%,6,0.864553314121038%,0,53748,1590,9.00000035762787%,14469
021,Collier County,1413,5.90000003576279%,1,0.0707714083510262%,2,144536,1129,18.0000007152557%,23785
023,Columbia County,349,6.70000016689301%,4,1.14613180515759%,3,23579,1845,18.0000007152557%,5213
025,Dade County,25787,,74,0.286966300849265%,18,,,,
027,DeSoto County,170,6.10000006854534%,0,0%,1,13608,923,34.9999994039536%,2776
029,Dixie County,236,23.2999995350838%,1,0.423728813559322%,1,7362,349,20.9999993443489%,1014
031,Duval County,5313,6.89999982714653%,62,1.16694899303595%,13,329778,40449,18.0000007152557%,77002
033,Escambia County,1254,5.20000010728836%,8,0.637958532695375%,2,124647,13182,27.0000010728836%,23958
035,Flagler County,465,8.39999988675118%,4,0.860215053763441%,0,24452,334,18.0000007152557%,5518
037,Franklin County,134,19.3000003695488%,0,0%,0,7180,1094,27.0000010728836%,694
039,Gadsden County,192,4.50000017881393%,1,0.520833333333333%,0,17703,2213,31.0000002384186%,4273
041,Gilchrist County,148,12.2000001370907%,0,0%,0,5906,334,15.9999996423721%,1215
043,Glades County,20,3.99999991059303%,0,0%,0,5790,202,18.9999997615814%,506
045,Gulf County,93,11.9000002741814%,0,0%,0,7587,731,21.9999998807907%,783
047,Hamilton County,76,7.00000002980232%,2,2.63157894736842%,0,4966,644,37.9999995231628%,1084
049,Hardee County,211,7.19999969005585%,11,5.2132701421801%,0,9820,1232,31.9999992847443%,2937
051,Hendry County,435,10.4999996721745%,0,0%,0,12294,608,33.0000013113022%,4136
053,Hernando County,403,3.90000008046627%,4,0.992555831265509%,0,62727,925,18.0000007152557%,10292
055,Highlands County,728,11.6999998688698%,18,2.47252747252747%,6,48846,2188,28.999999165535%,6223
057,Hillsborough County,7973,7.99999982118607%,62,0.777624482628873%,14,425962,34539,18.0000007152557%,100011
059,Holmes County,223,16.4000004529953%,3,1.34529147982063%,0,7998,1049,25%,1357
061,Indian River County,1032,12.2000001370907%,6,0.581395348837209%,2,57902,2185,15.9999996423721%,8453
063,Jackson County,229,6.8000003695488%,0,0%,0,19490,2900,28.999999165535%,3378
065,Jefferson County,40,4.30000014603138%,2,5%,0,5251,789,25%,930
067,Lafayette County,11,1.99999995529652%,0,0%,1,2660,279,25.9999990463257%,561
069,Lake County,1557,7.50000029802322%,8,0.513808606294155%,1,102830,6028,15.9999996423721%,20640
071,Lee County,2190,5.00000007450581%,7,0.319634703196347%,2,245405,5009,17.0000001788139%,43610
073,Leon County,971,5.09999990463257%,5,0.514933058702369%,1,103974,5089,18.9999997615814%,18932
075,Levy County,255,9.0999998152256%,0,0%,0,16570,879,28.999999165535%,2807
077,Liberty County,14,2.40000002086163%,0,0%,0,3156,246,21.9999998807907%,594
079,Madison County,20,1.40000004321337%,0,0%,0,7836,1079,34.0000003576279%,1420
081,Manatee County,1950,8.29999968409538%,3,0.153846153846154%,1,138128,7456,17.0000001788139%,23437
083,Marion County,1115,5.09999990463257%,4,0.358744394618834%,0,122663,4284,21.9999998807907%,21724
085,Martin County,1086,13.6000007390976%,6,0.552486187845304%,2,65471,1732,17.0000001788139%,8013
087,Monroe County,112,2.8999999165535%,0,0%,0,51617,4848,12.9999995231628%,3863
089,Nassau County,81,1.7000000923872%,0,0%,0,25917,1604,10.9999999403954%,4871
091,Okaloosa County,490,3.20000015199184%,1,0.204081632653061%,0,78593,2655,14.0000000596046%,15275
093,Okeechobee County,268,7.59999975562096%,0,0%,0,15504,443,23.0000004172325%,3523
095,Orange County,2176,2.30000000447035%,12,0.551470588235294%,2,361349,18809,17.0000001788139%,95892
097,Osceola County,367,1.60000007599592%,5,1.36239782016349%,2,72293,2776,15.9999996423721%,23141
099,Palm Beach County,9812,10.8999997377396%,43,0.438238891153689%,9,556428,20957,15.0000005960464%,90319
101,Pasco County,1862,5.79999983310699%,32,1.71858216970999%,8,173717,4289,15.9999996423721%,32200
103,Pinellas County,2651,4.80000004172325%,30,1.131648434553%,7,481573,38135,15.0000005960464%,55113
105,Polk County,6460,13.3000001311302%,42,0.65015479876161%,12,226376,17242,20.9999993443489%,48577
107,Putnam County,416,7.10000023245811%,3,0.721153846153846%,0,33870,2515,34.0000003576279%,5894
109,St. Johns County,506,4.39999997615814%,2,0.395256916996047%,0,58008,4321,10.0000001490116%,11497
111,St. Lucie County,2022,9.89999994635582%,11,0.544015825914936%,2,91262,2630,20.9999993443489%,20416
113,Santa Rosa County,440,4.10000011324883%,9,2.04545454545455%,1,49119,1915,12.9999995231628%,10836
115,Sarasota County,1201,6.1999998986721%,7,0.582847626977519%,5,182467,7183,15.0000005960464%,19399
117,Seminole County,748,2.60000005364418%,2,0.267379679144385%,1,147079,4339,9.00000035762787%,29184
119,Sumter County,566,14.5999997854233%,11,1.9434628975265%,2,25195,1323,27.0000010728836%,3882
121,Suwannee County,187,6.1999998986721%,2,1.06951871657754%,0,15679,1361,23.9999994635582%,3037
123,Taylor County,75,5.20000010728836%,0,0%,0,9646,1067,23.9999994635582%,1432
125,Union County,84,9.00000035762787%,0,0%,0,3736,275,15.9999996423721%,933
127,Volusia County,1082,3.4000001847744%,3,0.277264325323475%,2,211938,14310,17.0000001788139%,31830
129,Wakulla County,192,9.49999988079071%,2,1.04166666666667%,0,9820,451,18.9999997615814%,2023
131,Walton County,141,3.79999987781048%,0,0%,0,29083,1544,27.0000010728836%,3710
133,Washington County,103,6.70000016689301%,0,0%,0,9503,1056,30.0000011920929%,1541
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Florida 2007 Confirmed Cases,,596,,,,,,,
