"CBLS County-level Summary Data for FL, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
998,Unknown County,621,.,4,0.600000005215406%,0,,,,
001,Alachua County,2619,16.2000000476837%,5,0.20000000949949%,2,95113,6418,21.9999998807907%,16209
003,Baker County,142,6.10000006854534%,0,0%,0,7592,454,17.0000001788139%,2323
005,Bay County,640,4.80000004172325%,1,0.20000000949949%,1,78435,5335,20.9999993443489%,13437
007,Bradford County,324,15.8999994397163%,0,0%,0,9605,988,14.0000000596046%,2041
009,Brevard County,4341,12.8999993205071%,2,0%,2,222072,5420,15.0000005960464%,33561
011,Broward County,30703,23.2999995350838%,55,0.20000000949949%,8,741043,20377,15.0000005960464%,131589
013,Calhoun County,154,16.3000002503395%,0,0%,0,5250,595,27.0000010728836%,943
015,Charlotte County,875,12.0999999344349%,0,0%,0,79758,1136,15.9999996423721%,7219
017,Citrus County,495,7.10000023245811%,3,0.600000005215406%,0,62204,1064,20.0000002980232%,7007
019,Clay County,1183,7.99999982118607%,2,0.20000000949949%,0,53748,1590,9.00000035762787%,14713
021,Collier County,1614,6.89999982714653%,4,0.20000000949949%,1,144536,1129,18.0000007152557%,23361
023,Columbia County,619,11.8000000715256%,4,0.600000005215406%,2,23579,1845,18.0000007152557%,5234
025,Dade County,13118,.,27,0.20000000949949%,10,,,,
027,DeSoto County,308,11.1000001430511%,2,0.600000005215406%,1,13608,923,34.9999994039536%,2763
029,Dixie County,352,34.400001168251%,0,0%,1,7362,349,20.9999993443489%,1023
031,Duval County,8078,10.5999998748302%,39,0.499999988824129%,12,329778,40449,18.0000007152557%,76359
033,Escambia County,2144,8.90000015497208%,3,0.100000004749745%,1,124647,13182,27.0000010728836%,24181
035,Flagler County,656,11.6999998688698%,1,0.20000000949949%,0,24452,334,18.0000007152557%,5621
037,Franklin County,159,22.6999998092651%,0,0%,0,7180,1094,27.0000010728836%,700
039,Gadsden County,374,8.90000015497208%,1,0.300000002607703%,0,17703,2213,31.0000002384186%,4202
041,Gilchrist County,235,19.3000003695488%,0,0%,0,5906,334,15.9999996423721%,1217
043,Glades County,212,43.7000006437302%,0,0%,0,5790,202,18.9999997615814%,485
045,Gulf County,119,15.1999995112419%,0,0%,0,7587,731,21.9999998807907%,785
047,Hamilton County,75,6.8000003695488%,1,1.30000002682209%,0,4966,644,37.9999995231628%,1095
049,Hardee County,637,21.7999994754791%,3,0.499999988824129%,0,9820,1232,31.9999992847443%,2921
051,Hendry County,1054,25.900000333786%,6,0.600000005215406%,0,12294,608,33.0000013113022%,4070
053,Hernando County,1158,11.1000001430511%,2,0.20000000949949%,0,62727,925,18.0000007152557%,10464
055,Highlands County,1364,21.8999996781349%,2,0.100000004749745%,4,48846,2188,28.999999165535%,6217
057,Hillsborough County,14720,14.8000001907349%,37,0.300000002607703%,11,425962,34539,18.0000007152557%,99779
059,Holmes County,265,19.3000003695488%,2,0.800000037997961%,0,7998,1049,25%,1375
061,Indian River County,1803,20.9999993443489%,4,0.20000000949949%,2,57902,2185,15.9999996423721%,8604
063,Jackson County,25,0.700000021606684%,1,3.99999991059303%,0,19490,2900,28.999999165535%,3385
065,Jefferson County,170,18.1999996304512%,0,0%,0,5251,789,25%,933
067,Lafayette County,24,4.10000011324883%,1,4.19999994337559%,1,2660,279,25.9999990463257%,584
069,Lake County,2685,12.8999993205071%,1,0%,0,102830,6028,15.9999996423721%,20846
071,Lee County,4900,11.2000003457069%,7,0.100000004749745%,2,245405,5009,17.0000001788139%,43714
073,Leon County,1451,7.59999975562096%,0,0%,1,103974,5089,18.9999997615814%,19088
075,Levy County,526,18.7000006437302%,1,0.20000000949949%,0,16570,879,28.999999165535%,2812
077,Liberty County,34,5.60000017285347%,0,0%,0,3156,246,21.9999998807907%,603
079,Madison County,52,3.70000004768372%,0,0%,0,7836,1079,34.0000003576279%,1399
081,Manatee County,3751,16.0999998450279%,4,0.100000004749745%,1,138128,7456,17.0000001788139%,23268
083,Marion County,2325,10.4999996721745%,5,0.20000000949949%,0,122663,4284,21.9999998807907%,22090
085,Martin County,1691,20.9999993443489%,1,0.100000004749745%,1,65471,1732,17.0000001788139%,8046
086,Miami-Dade,40410,.,98,0.20000000949949%,4,,,,
087,Monroe County,534,13.8999998569489%,1,0.20000000949949%,0,51617,4848,12.9999995231628%,3842
089,Nassau County,167,3.29999998211861%,1,0.600000005215406%,0,25917,1604,10.9999999403954%,5053
091,Okaloosa County,622,4.10000011324883%,1,0.20000000949949%,0,78593,2655,14.0000000596046%,15259
093,Okeechobee County,326,9.20000001788139%,0,0%,0,15504,443,23.0000004172325%,3543
095,Orange County,8480,8.90000015497208%,13,0.20000000949949%,3,361349,18809,17.0000001788139%,95382
097,Osceola County,2650,11.2000003457069%,5,0.20000000949949%,2,72293,2776,15.9999996423721%,23652
099,Palm Beach County,19401,21.8999996781349%,39,0.20000000949949%,10,556428,20957,15.0000005960464%,88715
101,Pasco County,3834,11.5000002086163%,14,0.400000018998981%,9,173717,4289,15.9999996423721%,33254
103,Pinellas County,5447,10.0000001490116%,10,0.20000000949949%,4,481573,38135,15.0000005960464%,54352
105,Polk County,9367,18.9999997615814%,29,0.300000002607703%,13,226376,17242,20.9999993443489%,49224
107,Putnam County,931,15.8000007271767%,5,0.499999988824129%,1,33870,2515,34.0000003576279%,5906
109,St. Johns County,429,3.59999984502792%,1,0.20000000949949%,0,58008,4321,10.0000001490116%,12012
111,St. Lucie County,4352,20.9000006318092%,8,0.20000000949949%,2,91262,2630,20.9999993443489%,20839
113,Santa Rosa County,347,3.09999994933605%,1,0.300000002607703%,1,49119,1915,12.9999995231628%,11047
115,Sarasota County,2195,11.4000000059605%,4,0.20000000949949%,6,182467,7183,15.0000005960464%,19279
117,Seminole County,1133,3.90000008046627%,2,0.20000000949949%,1,147079,4339,9.00000035762787%,28915
119,Sumter County,537,13.1999999284744%,2,0.400000018998981%,1,25195,1323,27.0000010728836%,4057
121,Suwannee County,398,12.9999995231628%,0,0%,0,15679,1361,23.9999994635582%,3062
123,Taylor County,256,17.9000005125999%,0,0%,0,9646,1067,23.9999994635582%,1432
125,Union County,110,11.6999998688698%,0,0%,0,3736,275,15.9999996423721%,942
127,Volusia County,2197,7.00000002980232%,7,0.300000002607703%,1,211938,14310,17.0000001788139%,31502
129,Wakulla County,111,5.29999993741512%,0,0%,0,9820,451,18.9999997615814%,2101
131,Walton County,448,11.599999666214%,1,0.20000000949949%,0,29083,1544,27.0000010728836%,3867
133,Washington County,205,12.7000004053116%,1,0.499999988824129%,0,9503,1056,30.0000011920929%,1608
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 5,,,,,,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
