"CBLS County-level Summary Data for FL, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alachua,1538,9.46636302086539%,1,0.0650195058517555%,95113,6418,21.9999998807907%,16247
003,Baker,111,4.61154964686332%,1,0.900900900900901%,7592,454,17.0000001788139%,2407
005,Bay,942,7.02460850111857%,2,0.212314225053079%,78435,5335,20.9999993443489%,13410
007,Bradford,307,14.8237566393047%,,0%,9605,988,14.0000000596046%,2071
009,Brevard,2659,7.91157130530513%,3,0.112824370063934%,222072,5420,15.0000005960464%,33609
011,Broward,24919,18.1556552909976%,13,0.0521690276495847%,741043,20377,15.0000005960464%,137252
013,Calhoun,170,16.9322709163347%,,0%,5250,595,27.0000010728836%,1004
015,Charlotte,785,10.9759507829978%,,0%,79758,1136,15.9999996423721%,7152
017,Citrus,492,7.19403421552859%,,0%,62204,1064,20.0000002980232%,6839
019,Clay,843,5.63728768222549%,1,0.118623962040332%,53748,1590,9.00000035762787%,14954
021,Collier,1561,6.56240803800395%,1,0.0640614990390775%,144536,1129,18.0000007152557%,23787
023,Columbia,392,7.48234395877076%,,0%,23579,1845,18.0000007152557%,5239
027,DeSoto,312,11.2028725314183%,,0%,,,,2785
029,Dixie,242,22.9383886255924%,,0%,13608,923,34.9999994039536%,1055
031,Duval,5299,6.93132766514061%,11,0.207586337044725%,7362,349,20.9999993443489%,76450
033,Escambia,2159,8.91154497048747%,3,0.138953219082909%,329778,40449,18.0000007152557%,24227
035,Flagler,445,7.9435915744377%,,0%,124647,13182,27.0000010728836%,5602
037,Franklin,141,20.6442166910688%,,0%,24452,334,18.0000007152557%,683
039,Gadsden,278,6.53195488721805%,,0%,7180,1094,27.0000010728836%,4256
041,Gilchrist,190,15.9663865546218%,,0%,17703,2213,31.0000002384186%,1190
043,Glades,287,52.9520295202952%,,0%,5906,334,15.9999996423721%,542
045,Gulf,137,18.0738786279683%,1,0.72992700729927%,5790,202,18.9999997615814%,758
047,Hamilton,48,4.45682451253482%,,0%,7587,731,21.9999998807907%,1077
049,Hardee,502,16.1883263463399%,,0%,4966,644,37.9999995231628%,3101
051,Hendry,667,15.8960915157293%,,0%,9820,1232,31.9999992847443%,4196
053,Hernando,1084,10.532452390206%,3,0.276752767527675%,12294,608,33.0000013113022%,10292
055,Highlands,1290,20.2575376884422%,1,0.0775193798449612%,62727,925,18.0000007152557%,6368
057,Hillsborough,13100,12.8212656840292%,19,0.145038167938931%,48846,2188,28.999999165535%,102174
059,Holmes,161,11.8469462840324%,,0%,425962,34539,18.0000007152557%,1359
061,Indian River,1620,18.8262638001162%,1,0.0617283950617284%,7998,1049,25%,8605
063,Jackson,202,5.80793559516964%,1,0.495049504950495%,57902,2185,15.9999996423721%,3478
