"CBLS County-level Summary Data for GA, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,56630,1995,94,0.20000000949949%,11,,,
001,Appling County,346,13,1,0.300000002607703%,0,7854,1012,28.999999165535%
003,Atkinson County,154,5,0,0%,0,3171,370,28.999999165535%
005,Bacon County,147,8,0,0%,0,4464,546,44.9999988079071%
007,Baker County,n,n,n,n,n,1740,198,31.0000002384186%
009,Baldwin County,397,10,0,0%,0,17173,1889,25%
011,Banks County,139,4,0,0%,0,5808,708,11.9999997317791%
013,Barrow County,461,11,1,0.20000000949949%,0,17304,1453,5.99999986588955%
015,Bartow County,223,5,0,0%,0,28751,2706,10.9999999403954%
017,Ben Hill County,160,15,1,0.600000005215406%,1,7623,1308,40.9999996423721%
019,Berrien County,66,5,0,0%,1,7100,951,28.0000001192093%
021,Bibb County,1284,44,6,0.499999988824129%,1,67194,11847,31.9999992847443%
023,Bleckley County,143,10,0,0%,0,4866,699,25%
025,Brantley County,99,4,0,0%,0,6490,525,20.0000002980232%
027,Brooks County,65,4,0,0%,0,7118,1112,36.0000014305115%
029,Bryan County,137,2,0,0%,0,8675,698,15.9999996423721%
031,Bulloch County,400,9,0,0%,0,22742,1957,23.9999994635582%
033,Burke County,158,2,0,0%,0,8842,1001,50%
035,Butts County,106,.,0,0%,0,7380,956,14.0000000596046%
037,Calhoun County,31,3,0,0%,0,2305,402,43.9999997615814%
039,Camden County,278,10,0,0%,0,16958,854,10.9999999403954%
043,Candler County,82,3,0,0%,0,3893,633,37.9999995231628%
045,Carroll County,976,28,1,0.100000004749745%,0,34067,3803,15.9999996423721%
047,Catoosa County,178,3,0,0%,0,21794,1696,15.0000005960464%
049,Charlton County,60,3,0,0%,0,3859,281,34.0000003576279%
051,Chatham County,1304,65,4,0.300000002607703%,4,99683,19434,23.9999994635582%
053,Chattahoochee C,15,1,1,6.70000016689301%,0,3316,495,14.0000000596046%
055,Chattooga Count,55,2,1,1.79999992251396%,0,10677,2403,20.0000002980232%
057,Cherokee County,742,16,8,1.09999999403954%,1,51937,2062,5.99999986588955%
059,Clarke County,1103,23,3,0.300000002607703%,0,42126,4718,27.0000010728836%
061,Clay County,n,n,n,n,n,1925,358,56.0000002384186%
063,Clayton County,1898,31,1,0.100000004749745%,0,86461,2196,14.0000000596046%
065,Clinch County,59,3,0,0%,0,2837,425,36.0000014305115%
067,Cobb County,3106,63,2,0.100000004749745%,2,237522,7270,7.99999982118607%
069,Coffee County,428,8,2,0.499999988824129%,1,15610,1658,23.9999994635582%
071,Colquitt County,514,31,2,0.400000018998981%,1,17554,2753,27.0000010728836%
073,Columbia County,90,4,2,2.19999998807907%,0,33321,641,7.00000002980232%
075,Cook County,72,8,0,0%,0,6558,1091,27.0000010728836%
077,Coweta County,581,24,1,0.20000000949949%,0,33182,3402,9.00000035762787%
079,Crawford County,72,4,0,0%,0,4872,472,20.0000002980232%
081,Crisp County,153,3,2,1.30000002682209%,1,9559,1445,43.0000007152557%
083,Dade County,22,.,0,0%,0,6224,700,5.99999986588955%
085,Dawson County,181,9,4,2.19999998807907%,0,7163,347,7.00000002980232%
087,Decatur County,175,16,1,0.600000005215406%,1,11968,1509,34.9999994039536%
091,Dodge County,135,25,2,1.49999996647239%,0,8186,1042,23.0000004172325%
093,Dooly County,85,9,0,0%,0,4499,834,31.9999992847443%
095,Dougherty Count,585,20,2,0.300000002607703%,1,39656,3835,37.0000004768372%
097,Douglas County,730,23,0,0%,0,34825,1409,10.0000001490116%
099,Early County,146,15,0,0%,0,5338,806,40.0000005960465%
101,Echols County,5,.,0,0%,0,1482,156,43.0000007152557%
103,Effingham Count,217,4,1,0.499999988824129%,0,14169,1042,10.9999999403954%
105,Elbert County,287,13,3,0.999999977648258%,0,9136,2043,23.0000004172325%
107,Emanuel County,116,4,0,0%,0,9419,1606,40.9999996423721%
109,Evans County,114,2,0,0%,0,4381,637,37.0000004768372%
111,Fannin County,182,4,1,0.499999988824129%,0,11134,1347,15.0000005960464%
113,Fayette County,292,6,0,0%,0,32726,534,1.99999995529652%
115,Floyd County,129,9,0,0%,0,36615,7156,21.9999998807907%
117,Forsyth County,767,23,2,0.300000002607703%,0,36505,855,5.00000007450581%
119,Franklin County,200,8,0,0%,0,9303,1386,15.0000005960464%
121,Fulton County,5597,91,9,0.20000000949949%,4,348632,53205,23.9999994635582%
123,Gilmer County,182,5,0,0%,0,11924,768,15.0000005960464%
125,Glascock County,n,n,n,n,n,1192,244,10.0000001490116%
127,Glynn County,1024,94,2,0.20000000949949%,1,32636,3943,23.9999994635582%
129,Gordon County,97,2,0,0%,1,17145,1654,11.9999997317791%
131,Grady County,461,4,0,0%,0,9991,1439,28.999999165535%
133,Greene County,124,5,0,0%,0,6653,1057,40.9999996423721%
135,Gwinnett County,4795,94,9,0.20000000949949%,1,209682,2917,5.99999986588955%
137,Habersham Count,334,5,1,0.300000002607703%,0,14634,1920,15.0000005960464%
139,Hall County,1748,46,9,0.499999988824129%,3,51046,3916,15.9999996423721%
141,Hancock County,122,5,0,0%,0,4287,797,55.0000011920929%
143,Haralson County,202,8,0,0%,0,10719,1390,18.9999997615814%
145,Harris County,64,3,0,0%,0,10288,1047,7.00000002980232%
147,Hart County,205,9,1,0.499999988824129%,0,11111,1139,15.9999996423721%
149,Heard County,76,1,0,0%,0,4512,606,18.9999997615814%
151,Henry County,694,7,0,0%,0,43166,1413,5.00000007450581%
