"CBLS County-level Summary Data for GA, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,7594,193,11,0.100000004749745%,6,,,
001,Appling County,290,10,0,0%,0,7854,1012,28.999999165535%
003,Atkinson County,134,4,0,0%,0,3171,370,28.999999165535%
005,Bacon County,84,1,0,0%,0,4464,546,44.9999988079071%
007,Baker County,24,.,0,0%,0,1740,198,31.0000002384186%
009,Baldwin County,499,9,1,0.20000000949949%,0,17173,1889,25%
011,Banks County,221,5,0,0%,0,5808,708,11.9999997317791%
013,Barrow County,891,12,1,0.100000004749745%,0,17304,1453,5.99999986588955%
015,Bartow County,999,18,2,0.20000000949949%,0,28751,2706,10.9999999403954%
017,Ben Hill County,197,13,0,0%,0,7623,1308,40.9999996423721%
019,Berrien County,128,6,0,0%,0,7100,951,28.0000001192093%
021,Bibb County,1032,30,11,1.09999999403954%,1,67194,11847,31.9999992847443%
023,Bleckley County,247,18,0,0%,0,4866,699,25%
025,Brantley County,155,4,0,0%,0,6490,525,20.0000002980232%
027,Brooks County,144,6,0,0%,0,7118,1112,36.0000014305115%
029,Bryan County,288,6,1,0.300000002607703%,0,8675,698,15.9999996423721%
031,Bulloch County,694,14,0,0%,0,22742,1957,23.9999994635582%
033,Burke County,350,11,4,1.09999999403954%,0,8842,1001,50%
035,Butts County,169,4,0,0%,0,7380,956,14.0000000596046%
037,Calhoun County,94,5,0,0%,0,2305,402,43.9999997615814%
039,Camden County,339,7,0,0%,0,16958,854,10.9999999403954%
043,Candler County,98,2,0,0%,0,3893,633,37.9999995231628%
045,Carroll County,1435,44,2,0.100000004749745%,0,34067,3803,15.9999996423721%
047,Catoosa County,418,8,0,0%,0,21794,1696,15.0000005960464%
049,Charlton County,63,2,0,0%,0,3859,281,34.0000003576279%
051,Chatham County,2733,129,13,0.499999988824129%,4,99683,19434,23.9999994635582%
053,Chattahoochee C,31,3,0,0%,0,3316,495,14.0000000596046%
055,Chattooga Count,263,7,1,0.400000018998981%,0,10677,2403,20.0000002980232%
057,Cherokee County,1304,25,1,0.100000004749745%,1,51937,2062,5.99999986588955%
059,Clarke County,1681,33,0,0%,0,42126,4718,27.0000010728836%
061,Clay County,37,1,0,0%,0,1925,358,56.0000002384186%
063,Clayton County,3009,30,2,0.100000004749745%,0,86461,2196,14.0000000596046%
065,Clinch County,83,2,1,1.20000001043081%,0,2837,425,36.0000014305115%
067,Cobb County,5638,61,5,0.100000004749745%,1,237522,7270,7.99999982118607%
069,Coffee County,510,7,0,0%,1,15610,1658,23.9999994635582%
071,Colquitt County,620,22,2,0.300000002607703%,1,17554,2753,27.0000010728836%
073,Columbia County,253,8,0,0%,0,33321,641,7.00000002980232%
075,Cook County,155,3,0,0%,0,6558,1091,27.0000010728836%
077,Coweta County,746,15,0,0%,0,33182,3402,9.00000035762787%
079,Crawford County,50,.,0,0%,0,4872,472,20.0000002980232%
081,Crisp County,221,13,2,0.899999961256981%,1,9559,1445,43.0000007152557%
083,Dade County,107,2,0,0%,0,6224,700,5.99999986588955%
085,Dawson County,280,11,0,0%,0,7163,347,7.00000002980232%
087,Decatur County,317,5,0,0%,0,11968,1509,34.9999994039536%
089,De Kalb County,7652,116,17,0.20000000949949%,5,261231,23724,14.0000000596046%
091,Dodge County,281,9,4,1.40000004321337%,1,8186,1042,23.0000004172325%
093,Dooly County,176,11,0,0%,0,4499,834,31.9999992847443%
095,Dougherty Count,961,31,3,0.300000002607703%,1,39656,3835,37.0000004768372%
097,Douglas County,1305,36,1,0.100000004749745%,0,34825,1409,10.0000001490116%
099,Early County,93,4,1,1.09999999403954%,0,5338,806,40.0000005960465%
101,Echols County,12,1,0,0%,0,1482,156,43.0000007152557%
103,Effingham Count,558,11,2,0.400000018998981%,0,14169,1042,10.9999999403954%
105,Elbert County,394,11,2,0.499999988824129%,1,9136,2043,23.0000004172325%
107,Emanuel County,161,7,0,0%,0,9419,1606,40.9999996423721%
109,Evans County,173,5,1,0.600000005215406%,0,4381,637,37.0000004768372%
111,Fannin County,333,6,0,0%,0,11134,1347,15.0000005960464%
113,Fayette County,507,12,0,0%,0,32726,534,1.99999995529652%
115,Floyd County,1031,20,1,0.100000004749745%,0,36615,7156,21.9999998807907%
117,Forsyth County,836,17,1,0.100000004749745%,0,36505,855,5.00000007450581%
119,Franklin County,346,5,0,0%,0,9303,1386,15.0000005960464%
121,Fulton County,7689,117,6,0.100000004749745%,2,348632,53205,23.9999994635582%
