"CBLS County-level Summary Data for GA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Appling County,128,8.25274016763379%,1,0,7854,1012,28.999999165535%,1551
003,Atkinson County,12,1.4218009478673%,0,0,3171,370,28.999999165535%,844
005,Bacon County,30,3.26441784548422%,0,0,4464,546,44.9999988079071%,919
007,Baker County,35,10.6382978723404%,1,0,1740,198,31.0000002384186%,329
009,Baldwin County,246,8.61646234676007%,0,1,17173,1889,25%,2855
011,Banks County,121,9.22959572845156%,0,0,5808,708,11.9999997317791%,1311
013,Barrow County,539,11.4413075780089%,1,0,17304,1453,5.99999986588955%,4711
015,Bartow County,538,7.10887949260042%,2,1,28751,2706,10.9999999403954%,7568
017,Ben Hill County,169,10.4773713577185%,2,1,7623,1308,40.9999996423721%,1613
019,Berrien County,150,10.9729334308705%,0,0,7100,951,28.0000001192093%,1367
021,Bibb County,995,7.15209890741806%,13,8,67194,11847,31.9999992847443%,13912
023,Bleckley County,102,11.1597374179431%,0,0,4866,699,25%,914
025,Brantley County,108,8.85245901639344%,0,0,6490,525,20.0000002980232%,1220
027,Brooks County,53,4.00907715582451%,0,0,7118,1112,36.0000014305115%,1322
029,Bryan County,175,7.73993808049536%,0,0,8675,698,15.9999996423721%,2261
031,Bulloch County,111,2.77292030976767%,1,1,22742,1957,23.9999994635582%,4003
033,Burke County,51,2.25763612217795%,2,0,8842,1001,50%,2259
035,Butts County,140,8.95140664961637%,0,0,7380,956,14.0000000596046%,1564
037,Calhoun County,110,23.8611713665944%,1,1,2305,402,43.9999997615814%,461
039,Camden County,66,1.43603133159269%,1,0,16958,854,10.9999999403954%,4596
043,Candler County,18,2.14797136038186%,0,0,3893,633,37.9999995231628%,838
045,Carroll County,686,8.79149045239011%,2,0,34067,3803,15.9999996423721%,7803
047,Catoosa County,324,7.23052889979915%,0,0,21794,1696,15.0000005960464%,4481
049,Charlton County,13,1.55875299760192%,0,0,3859,281,34.0000003576279%,834
051,Chatham County,1508,7.78161927860055%,7,4,99683,19434,23.9999994635582%,19379
053,Chattahoochee County,12,0.767263427109974%,0,0,3316,495,14.0000000596046%,1564
055,Chattooga County,163,8.21158690176322%,0,0,10677,2403,20.0000002980232%,1985
057,Cherokee County,1278,8.71225032381212%,2,1,51937,2062,5.99999986588955%,14669
059,Clarke County,481,7.29672330097087%,0,0,42126,4718,27.0000010728836%,6592
061,Clay County,20,7.43494423791822%,1,0,1925,358,56.0000002384186%,269
063,Clayton County,2251,8.89125883793498%,8,2,86461,2196,14.0000000596046%,25317
065,Clinch County,44,6.84292379471229%,1,0,2837,425,36.0000014305115%,643
067,Cobb County,4994,8.81818021295005%,9,8,237522,7270,7.99999982118607%,56633
069,Coffee County,29,0.803769401330377%,0,0,15610,1658,23.9999994635582%,3608
071,Colquitt County,646,16.6366211691991%,1,3,17554,2753,27.0000010728836%,3883
073,Columbia County,484,6.26050963652826%,4,4,33321,641,7.00000002980232%,7731
075,Cook County,138,9.36227951153324%,0,1,6558,1091,27.0000010728836%,1474
077,Coweta County,624,6.83760683760684%,0,0,33182,3402,9.00000035762787%,9126
079,Crawford County,56,5.71428571428571%,0,1,4872,472,20.0000002980232%,980
081,Crisp County,179,8.76162506118453%,2,4,9559,1445,43.0000007152557%,2043
083,Dade County,140,13.1332082551595%,0,0,6224,700,5.99999986588955%,1066
085,Dawson County,177,12.4210526315789%,0,0,7163,347,7.00000002980232%,1425
087,Decatur County,241,9.39204988308652%,4,1,11968,1509,34.9999994039536%,2566
091,Dodge County,285,20.2127659574468%,2,0,8186,1042,23.0000004172325%,1410
093,Dooly County,192,19.6319018404908%,0,0,4499,834,31.9999992847443%,978
095,Dougherty County,1087,12.2852622061483%,4,2,39656,3835,37.0000004768372%,8848
097,Douglas County,830,9.73949777047642%,1,0,34825,1409,10.0000001490116%,8522
099,Early County,147,14.1482194417709%,2,0,5338,806,40.0000005960465%,1039
101,Echols County,,0%,,,1482,156,43.0000007152557%,318
103,Effingham County,222,6.25%,0,1,14169,1042,10.9999999403954%,3552
105,Elbert County,243,15.4580152671756%,1,0,9136,2043,23.0000004172325%,1572
107,Emanuel County,169,9.20479302832244%,1,0,9419,1606,40.9999996423721%,1836
109,Evans County,26,2.77777777777778%,0,0,4381,637,37.0000004768372%,936
111,Fannin County,198,14.9433962264151%,0,0,11134,1347,15.0000005960464%,1325
113,Fayette County,348,5.22130532633158%,1,0,32726,534,1.99999995529652%,6665
115,Floyd County,730,9.84490896830748%,3,2,36615,7156,21.9999998807907%,7415
117,Forsyth County,534,4.50214990304359%,2,0,36505,855,5.00000007450581%,11861
119,Franklin County,205,13.4426229508197%,3,0,9303,1386,15.0000005960464%,1525
121,Fulton County,7666,10.8186680591033%,18,14,348632,53205,23.9999994635582%,70859
123,Gilmer County,251,12.1549636803874%,0,0,11924,768,15.0000005960464%,2065
125,Glascock County,10,4.95049504950495%,0,0,1192,244,10.0000001490116%,202
127,Glynn County,967,17.7790034932892%,2,0,32636,3943,23.9999994635582%,5439
129,Gordon County,458,11.2724587743047%,1,1,17145,1654,11.9999997317791%,4063
131,Grady County,222,10.8983799705449%,0,0,9991,1439,28.999999165535%,2037
133,Greene County,70,6.09225413402959%,0,1,6653,1057,40.9999996423721%,1149
135,Gwinnett County,5629,9.30674735049518%,3,1,209682,2917,5.99999986588955%,60483
137,Habersham County,547,18.7392942788626%,0,0,14634,1920,15.0000005960464%,2919
139,Hall County,2326,15.9928492849285%,16,8,51046,3916,15.9999996423721%,14544
141,Hancock County,56,8.13953488372093%,1,0,4287,797,55.0000011920929%,688
143,Haralson County,112,5.07936507936508%,1,0,10719,1390,18.9999997615814%,2205
145,Harris County,69,3.94962793360046%,0,0,10288,1047,7.00000002980232%,1747
147,Hart County,193,11.2536443148688%,0,0,11111,1139,15.9999996423721%,1715
149,Heard County,120,11.3314447592068%,0,0,4512,606,18.9999997615814%,1059
151,Henry County,860,6.89213014906235%,1,0,43166,1413,5.00000007450581%,12478
153,Houston County,855,8.75486381322957%,2,0,44509,1909,14.0000000596046%,9766
155,Irwin County,70,8.79396984924623%,0,0,4149,683,21.9999998807907%,796
157,Jackson County,330,8.67964229352972%,1,0,16226,2175,11.9999997317791%,3802
159,Jasper County,118,11.9918699186992%,0,0,4806,801,15.9999996423721%,984
161,Jeff Davis County,61,5.09181969949917%,0,0,5581,545,21.9999998807907%,1198
163,Jefferson County,98,6.43889618922471%,1,0,7221,1077,31.0000002384186%,1522
165,Jenkins County,41,5.3177691309987%,0,0,3907,642,47.9999989271164%,771
167,Johnson County,114,15.9887798036466%,1,0,3634,663,30.0000011920929%,713
169,Jones County,64,3.4279592929834%,0,0,9272,713,11.9999997317791%,1867
171,Lamar County,53,4.09582689335394%,0,0,6145,1073,17.0000001788139%,1294
173,Lanier County,51,8.29268292682927%,0,0,3011,303,31.9999992847443%,615
