"CBLS County-level Summary Data for GA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Appling County,143,9.39999967813492%,1,0.699300699300699%,0,7854,1012,28.999999165535%,1528
003,Atkinson County,19,2.19999998807907%,0,0%,0,3171,370,28.999999165535%,870
005,Bacon County,32,3.4000001847744%,0,0%,0,4464,546,44.9999988079071%,938
007,Baker County,14,5.79999983310699%,0,0%,0,1740,198,31.0000002384186%,240
009,Baldwin County,223,7.10000023245811%,0,0%,1,17173,1889,25%,3163
011,Banks County,106,7.50000029802322%,0,0%,0,5808,708,11.9999997317791%,1410
013,Barrow County,589,9.79999974370003%,0,0%,0,17304,1453,5.99999986588955%,5994
015,Bartow County,572,6.49999976158142%,1,0.174825174825175%,1,28751,2706,10.9999999403954%,8747
017,Ben Hill County,221,13.0999997258186%,5,2.26244343891403%,0,7623,1308,40.9999996423721%,1690
019,Berrien County,143,9.79999974370003%,1,0.699300699300699%,0,7100,951,28.0000001192093%,1466
021,Bibb County,919,6.40000030398369%,3,0.326441784548422%,5,67194,11847,31.9999992847443%,14361
023,Bleckley County,116,13.0999997258186%,2,1.72413793103448%,0,4866,699,25%,888
025,Brantley County,78,7.19999969005585%,0,0%,0,6490,525,20.0000002980232%,1087
027,Brooks County,133,10.1000003516674%,0,0%,0,7118,1112,36.0000014305115%,1315
029,Bryan County,137,5.29999993741512%,0,0%,0,8675,698,15.9999996423721%,2585
031,Bulloch County,170,3.59999984502792%,1,0.588235294117647%,1,22742,1957,23.9999994635582%,4686
033,Burke County,43,1.89999993890524%,3,6.97674418604651%,0,8842,1001,50%,2283
035,Butts County,154,8.69999974966049%,1,0.649350649350649%,0,7380,956,14.0000000596046%,1772
037,Calhoun County,82,15.3999999165535%,0,0%,0,2305,402,43.9999997615814%,533
039,Camden County,127,2.80000008642673%,0,0%,0,16958,854,10.9999999403954%,4485
043,Candler County,33,3.09999994933605%,0,0%,0,3893,633,37.9999995231628%,1075
045,Carroll County,490,5.29999993741512%,2,0.408163265306122%,1,34067,3803,15.9999996423721%,9179
047,Catoosa County,306,6.40000030398369%,0,0%,0,21794,1696,15.0000005960464%,4771
049,Charlton County,24,3.50000001490116%,0,0%,0,3859,281,34.0000003576279%,694
051,Chatham County,1137,5.29999993741512%,15,1.31926121372032%,2,99683,19434,23.9999994635582%,21628
053,Chattahoochee County,7,0.600000005215406%,0,0%,0,3316,495,14.0000000596046%,1228
055,Chattooga County,156,8.29999968409538%,0,0%,0,10677,2403,20.0000002980232%,1884
057,Cherokee County,1023,5.60000017285347%,0,0%,1,51937,2062,5.99999986588955%,18342
059,Clarke County,556,7.00000002980232%,3,0.539568345323741%,1,42126,4718,27.0000010728836%,7926
061,Clay County,15,5.99999986588955%,0,0%,0,1925,358,56.0000002384186%,250
063,Clayton County,2238,8.10000002384186%,7,0.31277926720286%,4,86461,2196,14.0000000596046%,27694
065,Clinch County,26,3.90000008046627%,0,0%,0,2837,425,36.0000014305115%,674
067,Cobb County,4759,7.50000029802322%,12,0.252153813826434%,4,237522,7270,7.99999982118607%,63295
069,Coffee County,49,1.30000002682209%,0,0%,0,15610,1658,23.9999994635582%,3794
071,Colquitt County,665,15.6000003218651%,1,0.150375939849624%,2,17554,2753,27.0000010728836%,4263
073,Columbia County,450,5.40000014007092%,0,0%,4,33321,641,7.00000002980232%,8394
075,Cook County,124,8.69999974966049%,0,0%,1,6558,1091,27.0000010728836%,1431
077,Coweta County,826,8.20000022649765%,0,0%,0,33182,3402,9.00000035762787%,10093
079,Crawford County,56,5.99999986588955%,0,0%,1,4872,472,20.0000002980232%,935
081,Crisp County,182,9.30000022053719%,3,1.64835164835165%,2,9559,1445,43.0000007152557%,1949
083,Dade County,109,10.0000001490116%,0,0%,0,6224,700,5.99999986588955%,1091
085,Dawson County,195,11.9999997317791%,0,0%,0,7163,347,7.00000002980232%,1626
087,Decatur County,341,14.300000667572%,3,0.879765395894428%,1,11968,1509,34.9999994039536%,2387
091,Dodge County,221,15.0000005960464%,1,0.452488687782805%,0,8186,1042,23.0000004172325%,1478
093,Dooly County,114,11.5000002086163%,1,0.87719298245614%,0,4499,834,31.9999992847443%,995
095,Dougherty County,1078,12.3000003397465%,4,0.371057513914657%,2,39656,3835,37.0000004768372%,8795
097,Douglas County,738,6.89999982714653%,1,0.13550135501355%,0,34825,1409,10.0000001490116%,10655
099,Early County,110,9.6000000834465%,2,1.81818181818182%,0,5338,806,40.0000005960465%,1150
101,Echols County,5,1.09999999403954%,0,0%,0,1482,156,43.0000007152557%,466
103,Effingham County,156,3.90000008046627%,0,0%,0,14169,1042,10.9999999403954%,4040
105,Elbert County,201,12.6000002026558%,1,0.497512437810945%,0,9136,2043,23.0000004172325%,1594
107,Emanuel County,295,14.0000000596046%,0,0%,0,9419,1606,40.9999996423721%,2102
109,Evans County,26,2.40000002086163%,0,0%,0,4381,637,37.0000004768372%,1097
111,Fannin County,179,11.9000002741814%,0,0%,0,11134,1347,15.0000005960464%,1503
113,Fayette County,311,4.89999987185001%,0,0%,0,32726,534,1.99999995529652%,6334
115,Floyd County,558,6.8000003695488%,0,0%,3,36615,7156,21.9999998807907%,8174
117,Forsyth County,420,2.8999999165535%,0,0%,0,36505,855,5.00000007450581%,14725
119,Franklin County,168,10.3000000119209%,2,1.19047619047619%,0,9303,1386,15.0000005960464%,1639
121,Fulton County,7687,9.30000022053719%,14,0.18212566671003%,8,348632,53205,23.9999994635582%,82373
123,Gilmer County,169,7.40000009536743%,1,0.591715976331361%,0,11924,768,15.0000005960464%,2273
125,Glascock County,,,,,,1192,244,10.0000001490116%,202
127,Glynn County,660,10.8999997377396%,0,0%,0,32636,3943,23.9999994635582%,6060
129,Gordon County,644,13.5000005364418%,0,0%,1,17145,1654,11.9999997317791%,4784
131,Grady County,190,7.99999982118607%,0,0%,0,9991,1439,28.999999165535%,2385
133,Greene County,102,8.69999974966049%,0,0%,0,6653,1057,40.9999996423721%,1177
135,Gwinnett County,5940,7.69999995827675%,6,0.101010101010101%,0,209682,2917,5.99999986588955%,77161
137,Habersham County,398,11.8000000715256%,1,0.251256281407035%,0,14634,1920,15.0000005960464%,3381
139,Hall County,1958,10.8000002801418%,11,0.561797752808989%,6,51046,3916,15.9999996423721%,18123
141,Hancock County,61,9.7000002861023%,1,1.63934426229508%,0,4287,797,55.0000011920929%,629
143,Haralson County,140,6.10000006854534%,1,0.714285714285714%,0,10719,1390,18.9999997615814%,2288
145,Harris County,51,2.60000005364418%,0,0%,0,10288,1047,7.00000002980232%,1975
147,Hart County,231,13.400000333786%,0,0%,0,11111,1139,15.9999996423721%,1725
149,Heard County,83,9.30000022053719%,0,0%,0,4512,606,18.9999997615814%,897
151,Henry County,955,5.90000003576279%,4,0.418848167539267%,0,43166,1413,5.00000007450581%,16280
153,Houston County,768,7.00000002980232%,0,0%,0,44509,1909,14.0000000596046%,10950
155,Irwin County,65,8.69999974966049%,0,0%,0,4149,683,21.9999998807907%,748
157,Jackson County,422,8.79999995231628%,2,0.4739336492891%,0,16226,2175,11.9999997317791%,4817
159,Jasper County,96,8.50000008940697%,1,1.04166666666667%,1,4806,801,15.9999996423721%,1130
161,Jeff Davis County,49,3.79999987781048%,0,0%,0,5581,545,21.9999998807907%,1305
163,Jefferson County,102,6.8000003695488%,1,0.980392156862745%,0,7221,1077,31.0000002384186%,1497
165,Jenkins County,52,7.00000002980232%,0,0%,0,3907,642,47.9999989271164%,745
167,Johnson County,94,14.300000667572%,0,0%,0,3634,663,30.0000011920929%,659
169,Jones County,96,4.69999983906746%,0,0%,0,9272,713,11.9999997317791%,2051
171,Lamar County,75,6.1999998986721%,0,0%,0,6145,1073,17.0000001788139%,1201
173,Lanier County,49,7.00000002980232%,0,0%,0,3011,303,31.9999992847443%,697
175,Laurens County,644,15.8999994397163%,3,0.46583850931677%,0,19687,2208,28.0000001192093%,4045
177,Lee County,157,6.89999982714653%,0,0%,0,8813,405,12.9999995231628%,2266
179,Liberty County,407,4.89999987185001%,0,0%,0,21977,622,18.9999997615814%,8255
181,Lincoln County,71,14.1000002622604%,0,0%,0,4514,552,15.9999996423721%,503
183,Long County,98,9.0999998152256%,0,0%,0,4232,308,27.0000010728836%,1081
185,Lowndes County,456,5.09999990463257%,1,0.219298245614035%,1,36551,3263,25.9999990463257%,8866
187,Lumpkin County,104,5.29999993741512%,0,0%,0,8263,625,11.9999997317791%,1952
189,McDuffie County,133,7.00000002980232%,1,0.75187969924812%,0,8916,1109,25.9999990463257%,1904
191,McIntosh County,59,7.00000002980232%,0,0%,0,5735,443,23.9999994635582%,846
193,Macon County,84,7.50000029802322%,0,0%,0,5495,919,41.9999986886978%,1122
195,Madison County,111,5.29999993741512%,0,0%,0,10520,1237,15.9999996423721%,2113
197,Marion County,36,5.49999997019768%,1,2.77777777777778%,0,3130,249,44.9999988079071%,650
199,Meriwether County,121,6.40000030398369%,0,0%,0,9211,1981,27.0000010728836%,1901
201,Miller County,28,5.79999983310699%,0,0%,0,2770,502,40.9999996423721%,484
205,Mitchell County,308,15.9999996423721%,2,0.649350649350649%,0,8880,1395,40.0000005960465%,1921
207,Monroe County,57,3.4000001847744%,0,0%,0,8425,927,15.9999996423721%,1681
209,Montgomery County,59,8.20000022649765%,0,0%,0,3492,585,21.9999998807907%,722
211,Morgan County,71,5.20000010728836%,0,0%,0,6128,1102,18.0000007152557%,1353
213,Murray County,370,9.6000000834465%,2,0.540540540540541%,0,14320,998,20.0000002980232%,3851
