"CBLS County-level Summary Data for GA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Appling County,184,11.5000002086163%,0,0%,0,7854,1012,28.999999165535%,1600
003,Atkinson County,72,7.80000016093254%,0,0%,0,3171,370,28.999999165535%,927
005,Bacon County,141,15.1999995112419%,1,0.709219858156028%,0,4464,546,44.9999988079071%,929
007,Baker County,11,5.49999997019768%,0,0%,0,1740,198,31.0000002384186%,200
009,Baldwin County,361,10.8999997377396%,0,0%,0,17173,1889,25%,3305
011,Banks County,172,12.3999997973442%,0,0%,0,5808,708,11.9999997317791%,1385
013,Barrow County,535,7.10000023245811%,0,0%,0,17304,1453,5.99999986588955%,7573
015,Bartow County,731,7.69999995827675%,0,0%,0,28751,2706,10.9999999403954%,9448
017,Ben Hill County,205,11.2000003457069%,0,0%,0,7623,1308,40.9999996423721%,1832
019,Berrien County,134,8.29999968409538%,2,1.49253731343284%,1,7100,951,28.0000001192093%,1618
021,Bibb County,916,6.3000001013279%,5,0.545851528384279%,3,67194,11847,31.9999992847443%,14567
023,Bleckley County,131,14.4999995827675%,0,0%,0,4866,699,25%,902
025,Brantley County,80,7.99999982118607%,0,0%,0,6490,525,20.0000002980232%,996
027,Brooks County,186,14.6999999880791%,0,0%,0,7118,1112,36.0000014305115%,1265
029,Bryan County,255,8.50000008940697%,1,0.392156862745098%,0,8675,698,15.9999996423721%,2990
031,Bulloch County,290,5.60000017285347%,1,0.344827586206897%,1,22742,1957,23.9999994635582%,5175
033,Burke County,45,1.99999995529652%,2,4.44444444444444%,0,8842,1001,50%,2249
035,Butts County,135,6.8000003695488%,0,0%,0,7380,956,14.0000000596046%,1995
037,Calhoun County,44,8.90000015497208%,0,0%,0,2305,402,43.9999997615814%,492
039,Camden County,238,5.00000007450581%,0,0%,0,16958,854,10.9999999403954%,4760
043,Candler County,100,9.30000022053719%,0,0%,0,3893,633,37.9999995231628%,1077
045,Carroll County,602,5.70000000298023%,1,0.166112956810631%,1,34067,3803,15.9999996423721%,10481
047,Catoosa County,428,8.79999995231628%,0,0%,0,21794,1696,15.0000005960464%,4887
049,Charlton County,90,12.0999999344349%,0,0%,0,3859,281,34.0000003576279%,742
051,Chatham County,2148,9.30000022053719%,11,0.512104283054004%,4,99683,19434,23.9999994635582%,23065
053,Chattahoochee County,14,1.30000002682209%,0,0%,0,3316,495,14.0000000596046%,1109
055,Chattooga County,180,9.30000022053719%,1,0.555555555555556%,0,10677,2403,20.0000002980232%,1926
057,Cherokee County,1289,5.99999986588955%,2,0.155159038013964%,1,51937,2062,5.99999986588955%,21534
059,Clarke County,549,5.99999986588955%,3,0.546448087431694%,0,42126,4718,27.0000010728836%,9120
061,Clay County,7,2.30000000447035%,0,0%,0,1925,358,56.0000002384186%,308
063,Clayton County,2566,9.30000022053719%,3,0.116913484021824%,4,86461,2196,14.0000000596046%,27493
065,Clinch County,51,7.59999975562096%,0,0%,0,2837,425,36.0000014305115%,669
067,Cobb County,4247,6.49999976158142%,8,0.188368259948199%,0,237522,7270,7.99999982118607%,64995
069,Coffee County,251,6.49999976158142%,0,0%,0,15610,1658,23.9999994635582%,3837
071,Colquitt County,572,12.9999995231628%,0,0%,1,17554,2753,27.0000010728836%,4391
073,Columbia County,447,4.69999983906746%,1,0.223713646532438%,2,33321,641,7.00000002980232%,9515
075,Cook County,175,11.5000002086163%,0,0%,0,6558,1091,27.0000010728836%,1516
077,Coweta County,674,5.90000003576279%,3,0.445103857566766%,0,33182,3402,9.00000035762787%,11442
079,Crawford County,80,9.00000035762787%,0,0%,0,4872,472,20.0000002980232%,884
081,Crisp County,139,6.8000003695488%,0,0%,0,9559,1445,43.0000007152557%,2042
083,Dade County,91,8.60000029206276%,0,0%,0,6224,700,5.99999986588955%,1060
085,Dawson County,207,10.8999997377396%,0,0%,0,7163,347,7.00000002980232%,1899
087,Decatur County,233,9.6000000834465%,3,1.28755364806867%,1,11968,1509,34.9999994039536%,2433
089,De Kalb County,874,1.40000004321337%,1,0.11441647597254%,1,261231,23724,14.0000000596046%,64252
091,Dodge County,290,18.7000006437302%,3,1.03448275862069%,0,8186,1042,23.0000004172325%,1552
093,Dooly County,85,9.00000035762787%,0,0%,0,4499,834,31.9999992847443%,946
095,Dougherty County,1043,11.5000002086163%,2,0.191754554170662%,1,39656,3835,37.0000004768372%,9032
097,Douglas County,879,7.19999969005585%,1,0.113765642775882%,0,34825,1409,10.0000001490116%,12243
099,Early County,100,9.7000002861023%,0,0%,0,5338,806,40.0000005960465%,1035
101,Echols County,6,1.79999992251396%,0,0%,0,1482,156,43.0000007152557%,333
103,Effingham County,440,9.49999988079071%,1,0.227272727272727%,0,14169,1042,10.9999999403954%,4623
105,Elbert County,237,14.9000003933907%,0,0%,0,9136,2043,23.0000004172325%,1589
107,Emanuel County,369,17.399999499321%,2,0.542005420054201%,0,9419,1606,40.9999996423721%,2117
109,Evans County,106,9.00000035762787%,0,0%,0,4381,637,37.0000004768372%,1174
