"CBLS County-level Summary Data for GA, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Appling,188,11.3526570048309%,,0%,7854,1012,28.999999165535%,1656
003,Atkinson,100,10.7642626480086%,,0%,3171,370,28.999999165535%,929
005,Bacon,106,10.8941418293936%,,0%,4464,546,44.9999988079071%,973
007,Baker,32,15.9203980099503%,,0%,1740,198,31.0000002384186%,201
009,Baldwin,495,14.6884272997033%,2,0.404040404040404%,17173,1889,25%,3370
011,Banks,200,14.5137880986938%,,0%,5808,708,11.9999997317791%,1378
013,Barrow,611,8.19364355638997%,1,0.16366612111293%,17304,1453,5.99999986588955%,7457
015,Bartow,1012,10.8235294117647%,1,0.0988142292490119%,28751,2706,10.9999999403954%,9350
017,Ben Hill,292,15.4089709762533%,2,0.684931506849315%,7623,1308,40.9999996423721%,1895
019,Berrien,160,9.72053462940462%,,0%,7100,951,28.0000001192093%,1646
021,Bibb,725,4.92594102459573%,,0%,67194,11847,31.9999992847443%,14718
023,Bleckley,167,17.3056994818653%,,0%,4866,699,25%,965
025,Brantley,88,8.69565217391304%,,0%,6490,525,20.0000002980232%,1012
027,Brooks,224,17.4863387978142%,1,0.446428571428571%,7118,1112,36.0000014305115%,1281
029,Bryan,332,10.7339152925962%,1,0.301204819277108%,8675,698,15.9999996423721%,3093
031,Bulloch,602,11.7417593134387%,1,0.166112956810631%,22742,1957,23.9999994635582%,5127
033,Burke,69,3.15934065934066%,,0%,8842,1001,50%,2184
035,Butts,120,6.21761658031088%,,0%,7380,956,14.0000000596046%,1930
037,Calhoun,93,17.7142857142857%,,0%,2305,402,43.9999997615814%,525
039,Camden,227,4.93800304546443%,,0%,16958,854,10.9999999403954%,4597
043,Candler,106,9.71585701191567%,,0%,3893,633,37.9999995231628%,1091
045,Carroll,865,8.47789865725767%,3,0.346820809248555%,34067,3803,15.9999996423721%,10203
047,Catoosa,485,9.88988580750408%,,0%,21794,1696,15.0000005960464%,4904
049,Charlton,123,16.4658634538153%,,0%,3859,281,34.0000003576279%,747
051,Chatham,2959,12.7372906891653%,9,0.304156809733018%,99683,19434,23.9999994635582%,23231
053,Chattahoochee,18,1.22365737593474%,,0%,3316,495,14.0000000596046%,1471
055,Chattooga,224,11.795681937862%,,0%,10677,2403,20.0000002980232%,1899
057,Cherokee,1473,6.81502729712224%,,0%,51937,2062,5.99999986588955%,21614
