"CBLS County-level Summary Data for IA, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Adair County,93,3,0,0%,0,3690,1943,14.0000000596046%
003,Adams County,66,4,0,0%,0,2109,1286,18.9999997615814%
005,Allamakee Count,333,202,5,1.49999996647239%,0,7142,3095,11.9999997317791%
007,Appanoose Count,165,88,2,1.20000001043081%,1,6697,3042,20.0000002980232%
009,Audubon County,92,35,2,2.19999998807907%,0,2995,1731,11.9999997317791%
011,Benton County,392,259,2,0.499999988824129%,1,10377,4912,9.00000035762787%
013,Black Hawk Coun,753,668,10,1.30000002682209%,11,51759,16730,18.0000007152557%
015,Boone County,396,179,0,0%,0,10968,5583,10.9999999403954%
017,Bremer County,101,60,0,0%,0,9337,4108,5.00000007450581%
019,Buchanan County,99,86,0,0%,0,8697,3640,14.0000000596046%
021,Buena Vista Cou,333,60,3,0.899999961256981%,2,8145,3943,17.0000001788139%
023,Butler County,110,70,1,0.899999961256981%,0,6578,3573,11.9999997317791%
025,Calhoun County,171,36,0,0%,0,5219,2784,10.9999999403954%
027,Carroll County,503,302,1,0.20000000949949%,0,9019,3971,7.99999982118607%
029,Cass County,143,11,5,3.50000001490116%,2,6590,3684,14.0000000596046%
031,Cedar County,312,104,3,0.999999977648258%,0,7570,3722,5.00000007450581%
033,Cerro Gordo Cou,753,327,1,0.100000004749745%,1,21488,9484,11.9999997317791%
035,Cherokee County,125,103,4,3.20000015199184%,1,5850,3125,12.9999995231628%
037,Chickasaw Count,120,78,0,0%,0,5593,2780,9.00000035762787%
039,Clarke County,149,17,1,0.700000021606684%,0,3934,1644,12.9999995231628%
041,Clay County,312,15,3,0.999999977648258%,0,7828,3284,18.9999997615814%
043,Clayton County,307,218,1,0.300000002607703%,1,8619,4861,14.0000000596046%
045,Clinton County,494,140,2,0.400000018998981%,0,21585,10666,18.9999997615814%
047,Crawford County,312,110,6,1.89999993890524%,2,6958,3417,12.9999995231628%
049,Dallas County,1850,62,2,0.100000004749745%,2,16529,5108,7.00000002980232%
051,Davis County,141,67,0,0%,1,3530,1607,11.9999997317791%
053,Decatur County,173,16,0,0%,1,3833,1672,12.9999995231628%
055,Delaware County,159,122,3,1.89999993890524%,3,7682,3325,9.00000035762787%
057,Des Moines Coun,791,57,23,2.8999999165535%,7,18643,9412,20.9999993443489%
059,Dickinson Count,147,14,0,0%,0,11375,2993,10.0000001490116%
061,Dubuque County,1128,1105,9,0.800000037997961%,0,35505,13795,10.0000001490116%
063,Emmet County,195,83,2,0.999999977648258%,2,4889,2650,7.99999982118607%
065,Fayette County,219,157,0,0%,1,9505,5150,14.0000000596046%
067,Floyd County,111,74,0,0%,3,7317,3401,15.0000005960464%
069,Franklin County,120,54,1,0.800000037997961%,2,4763,2719,7.00000002980232%
071,Fremont County,128,15,0,0%,0,3514,1815,17.0000001788139%
073,Greene County,238,45,3,1.30000002682209%,0,4623,2594,12.9999995231628%
075,Grundy County,48,38,0,0%,0,5304,2585,3.99999991059303%
077,Guthrie County,165,19,1,0.600000005215406%,0,5467,2588,7.00000002980232%
079,Hamilton County,380,233,2,0.499999988824129%,1,7082,3493,7.99999982118607%
081,Hancock County,151,66,1,0.700000021606684%,1,5164,2451,7.00000002980232%
083,Hardin County,384,291,1,0.300000002607703%,1,8318,4385,10.9999999403954%
085,Harrison County,183,34,1,0.499999988824129%,1,6602,3639,10.9999999403954%
087,Henry County,352,29,1,0.300000002607703%,1,8246,3213,11.9999997317791%
089,Howard County,166,75,0,0%,0,4327,2342,10.0000001490116%
091,Humboldt County,162,116,1,0.600000005215406%,1,4645,2198,21.9999998807907%
093,Ida County,85,69,1,1.20000001043081%,2,3506,1987,9.00000035762787%
095,Iowa County,175,53,1,0.600000005215406%,2,6545,3274,5.00000007450581%
097,Jackson County,206,116,1,0.499999988824129%,0,8949,3719,17.0000001788139%
099,Jasper County,499,34,2,0.400000018998981%,1,15659,6195,9.00000035762787%
101,Jefferson Count,149,54,1,0.700000021606684%,0,7241,3023,18.9999997615814%
103,Johnson County,1565,371,2,0.100000004749745%,0,45831,8227,10.0000001490116%
105,Jones County,212,181,3,1.40000004321337%,2,8126,3601,9.00000035762787%
107,Keokuk County,138,29,3,2.19999998807907%,2,5013,2891,14.0000000596046%
109,Kossuth County,122,39,1,0.800000037997961%,1,7605,3799,14.0000000596046%
111,Lee County,485,59,15,3.09999994933605%,6,16612,7955,14.0000000596046%
113,Linn County,2282,1737,14,0.600000005215406%,6,80551,21067,9.00000035762787%
115,Louisa County,89,12,1,1.09999999403954%,1,5133,2290,12.9999995231628%
117,Lucas County,200,51,0,0%,0,4239,2180,18.0000007152557%
119,Lyon County,165,139,2,1.20000001043081%,1,4758,2467,5.99999986588955%
121,Madison County,159,4,2,1.30000002682209%,0,5661,2733,7.00000002980232%
123,Mahaska County,470,202,2,0.400000018998981%,1,9551,4480,14.0000000596046%
125,Marion County,528,24,3,0.600000005215406%,1,12755,4340,10.0000001490116%
127,Marshall County,1621,958,17,0.999999977648258%,4,16324,7120,15.9999996423721%
129,Mills County,246,126,1,0.400000018998981%,0,5671,2153,10.9999999403954%
131,Mitchell County,61,17,1,1.60000007599592%,0,4594,2499,18.9999997615814%
133,Monona County,106,38,0,0%,0,4660,2573,11.9999997317791%
135,Monroe County,220,14,2,0.899999961256981%,0,3588,1841,10.9999999403954%
137,Montgomery Coun,214,20,7,3.29999998211861%,3,5399,3119,15.9999996423721%
139,Muscatine Count,646,96,3,0.499999988824129%,1,16786,7062,14.0000000596046%
141,O'Brien County,220,54,3,1.40000004321337%,0,6509,3225,10.9999999403954%
143,Osceola County,57,7,0,0%,0,3012,1669,7.99999982118607%
145,Page County,230,21,1,0.400000018998981%,1,7302,3986,23.9999994635582%
147,Palo Alto Count,151,30,1,0.700000021606684%,0,4631,2240,15.0000005960464%
149,Plymouth County,517,261,1,0.20000000949949%,0,9880,4212,9.00000035762787%
151,Pocahontas Coun,153,19,1,0.700000021606684%,0,3988,2309,12.9999995231628%
153,Polk County,8323,259,27,0.300000002607703%,13,156447,42467,10.9999999403954%
155,Pottawattamie C,701,25,8,1.09999999403954%,0,35761,13655,14.0000000596046%
157,Poweshiek Count,235,141,3,1.30000002682209%,2,8556,3487,11.9999997317791%
159,Ringgold County,53,.,1,1.89999993890524%,0,2789,1413,25.9999990463257%
161,Sac County,173,65,2,1.20000001043081%,1,5460,3013,20.9999993443489%
163,Scott County,2095,324,25,1.20000001043081%,15,65649,20065,18.0000007152557%
165,Shelby County,132,7,1,0.800000037997961%,0,5459,2810,7.99999982118607%
167,Sioux County,771,625,5,0.600000005215406%,1,11260,4468,9.00000035762787%
169,Story County,1716,549,4,0.20000000949949%,1,30630,7389,10.0000001490116%
171,Tama County,461,298,4,0.899999961256981%,2,7583,4164,18.0000007152557%
173,Taylor County,108,19,0,0%,1,3199,1918,15.9999996423721%
175,Union County,200,9,4,1.99999995529652%,2,5657,2946,17.0000001788139%
177,Van Buren Count,82,10,1,1.20000001043081%,1,3581,1840,18.9999997615814%
179,Wapello County,845,152,11,1.30000002682209%,2,15873,7901,20.0000002980232%
181,Warren County,566,18,1,0.20000000949949%,1,15289,3347,9.00000035762787%
183,Washington Coun,274,20,2,0.700000021606684%,2,8543,4212,12.9999995231628%
185,Wayne County,56,10,1,1.79999992251396%,0,3357,1777,21.9999998807907%
187,Webster County,840,598,3,0.400000018998981%,1,16969,8097,15.0000005960464%
189,Winnebago Count,92,25,0,0%,0,5065,2243,10.0000001490116%
191,Winneshiek Coun,279,127,0,0%,1,8208,4207,7.99999982118607%
193,Woodbury County,1481,128,19,1.30000002682209%,16,41394,18734,15.0000005960464%
195,Worth County,111,46,2,1.79999992251396%,1,3534,2043,7.00000002980232%
197,Wright County,311,217,1,0.300000002607703%,1,6559,3274,5.99999986588955%
097,Morrison County,n,n,n,n,n,13870,4347,17.0000001788139%
*# of Addresses where address state not in selected state: 50,# of Addresses where program state is not in selected state: 0,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
