"CBLS County-level Summary Data for IA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,46,8.15602836879433%,0,0,3690,1943,14.0000000596046%,564
003,Adams County,34,10.3658536585366%,0,0,2109,1286,18.9999997615814%,328
005,Allamakee County,325,30.631479736098%,6,1,7142,3095,11.9999997317791%,1061
007,Appanoose County,214,23.4906695938529%,5,0,6697,3042,20.0000002980232%,911
009,Audubon County,103,21.5031315240083%,1,1,2995,1731,11.9999997317791%,479
011,Benton County,425,21.1442786069652%,11,3,10377,4912,9.00000035762787%,2010
013,Black Hawk County,2606,27.9164434922335%,63,19,51759,16730,18.0000007152557%,9335
015,Boone County,507,26.1609907120743%,10,3,10968,5583,10.9999999403954%,1938
017,Bremer County,303,19.3363114231015%,4,0,9337,4108,5.00000007450581%,1567
019,Buchanan County,380,22.196261682243%,4,5,8697,3640,14.0000000596046%,1712
021,Buena Vista County,217,15.0069156293223%,2,1,8145,3943,17.0000001788139%,1446
023,Butler County,200,18.8679245283019%,4,0,6578,3573,11.9999997317791%,1060
025,Calhoun County,186,28.7480680061824%,2,1,5219,2784,10.9999999403954%,647
027,Carroll County,391,24.3310516490355%,6,2,9019,3971,7.99999982118607%,1607
029,Cass County,170,18.0084745762712%,7,8,6590,3684,14.0000000596046%,944
031,Cedar County,381,28.6250939143501%,8,1,7570,3722,5.00000007450581%,1331
033,Cerro Gordo County,919,27.5149700598802%,19,5,21488,9484,11.9999997317791%,3340
035,Cherokee County,191,20.8515283842795%,4,3,5850,3125,12.9999995231628%,916
037,Chickasaw County,297,32.8176795580111%,3,2,5593,2780,9.00000035762787%,905
039,Clarke County,140,21.2443095599393%,1,1,3934,1644,12.9999995231628%,659
041,Clay County,254,18.6902133922001%,3,2,7828,3284,18.9999997615814%,1359
043,Clayton County,311,24.4304791830322%,4,2,8619,4861,14.0000000596046%,1273
045,Clinton County,1136,29.2105939830291%,23,14,21585,10666,18.9999997615814%,3889
047,Crawford County,304,23.8057948316366%,6,2,6958,3417,12.9999995231628%,1277
