"CBLS County-level Summary Data for IA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,62,14.5999997854233%,0,0%,0,3690,1943,14.0000000596046%,424
003,Adams County,60,24.3000000715256%,1,1.66666666666667%,0,2109,1286,18.9999997615814%,247
005,Allamakee County,314,27.700001001358%,7,2.22929936305732%,1,7142,3095,11.9999997317791%,1135
007,Appanoose County,178,19.4999992847443%,3,1.68539325842697%,0,6697,3042,20.0000002980232%,911
009,Audubon County,112,32.3000013828278%,2,1.78571428571429%,1,2995,1731,11.9999997317791%,347
011,Benton County,437,22.5999996066093%,12,2.74599542334096%,3,10377,4912,9.00000035762787%,1930
013,Black Hawk County,2755,28.2999992370605%,50,1.81488203266788%,15,51759,16730,18.0000007152557%,9740
015,Boone County,551,30.799999833107%,9,1.63339382940109%,2,10968,5583,10.9999999403954%,1791
017,Bremer County,321,21.8999996781349%,0,0%,0,9337,4108,5.00000007450581%,1463
019,Buchanan County,403,22.8000000119209%,4,0.992555831265509%,3,8697,3640,14.0000000596046%,1765
021,Buena Vista County,280,17.9000005125999%,5,1.78571428571429%,1,8145,3943,17.0000001788139%,1560
023,Butler County,209,20.9999993443489%,2,0.956937799043062%,0,6578,3573,11.9999997317791%,993
025,Calhoun County,180,28.4000009298325%,1,0.555555555555556%,1,5219,2784,10.9999999403954%,633
027,Carroll County,392,25.2000004053116%,11,2.80612244897959%,3,9019,3971,7.99999982118607%,1555
029,Cass County,173,19.0999999642372%,13,7.51445086705202%,9,6590,3684,14.0000000596046%,904
031,Cedar County,376,30.5999994277954%,9,2.3936170212766%,2,7570,3722,5.00000007450581%,1227
033,Cerro Gordo County,1035,34.9999994039536%,23,2.22222222222222%,7,21488,9484,11.9999997317791%,2955
035,Cherokee County,192,27.5000005960464%,6,3.125%,1,5850,3125,12.9999995231628%,698
037,Chickasaw County,241,29.3000012636185%,1,0.4149377593361%,1,5593,2780,9.00000035762787%,822
039,Clarke County,119,16.2000000476837%,0,0%,1,3934,1644,12.9999995231628%,733
041,Clay County,268,21.6999992728233%,2,0.746268656716418%,2,7828,3284,18.9999997615814%,1234
043,Clayton County,288,22.9000002145767%,5,1.73611111111111%,0,8619,4861,14.0000000596046%,1260
045,Clinton County,1208,33.899998664856%,32,2.64900662251656%,10,21585,10666,18.9999997615814%,3559
047,Crawford County,325,22.1000000834465%,11,3.38461538461538%,4,6958,3417,12.9999995231628%,1470
049,Dallas County,811,19.9000000953674%,8,0.986436498150431%,0,16529,5108,7.00000002980232%,4070
051,Davis County,114,15.9999996423721%,1,0.87719298245614%,0,3530,1607,11.9999997317791%,714
053,Decatur County,122,20.9999993443489%,2,1.63934426229508%,1,3833,1672,12.9999995231628%,581
055,Delaware County,130,10.700000077486%,3,2.30769230769231%,2,7682,3325,9.00000035762787%,1212
057,Des Moines County,889,28.999999165535%,24,2.69966254218223%,6,18643,9412,20.9999993443489%,3066
059,Dickinson County,75,7.19999969005585%,0,0%,0,11375,2993,10.0000001490116%,1048
061,Dubuque County,990,13.6999994516373%,28,2.82828282828283%,19,35505,13795,10.0000001490116%,7248
063,Emmet County,118,15.0999993085861%,4,3.38983050847458%,0,4889,2650,7.99999982118607%,783
065,Fayette County,411,31.6000014543533%,4,0.97323600973236%,1,9505,5150,14.0000000596046%,1301
067,Floyd County,284,25%,5,1.76056338028169%,2,7317,3401,15.0000005960464%,1135
069,Franklin County,341,44.2999988794327%,8,2.34604105571848%,3,4763,2719,7.00000002980232%,770
071,Fremont County,95,18.9999997615814%,1,1.05263157894737%,0,3514,1815,17.0000001788139%,499
073,Greene County,265,42.399999499321%,2,0.754716981132076%,2,4623,2594,12.9999995231628%,625
