"CBLS County-level Summary Data for IA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,161,34.2000007629395%,1,0.62111801242236%,0,3690,1943,14.0000000596046%,471
003,Adams County,136,51.8999993801117%,2,1.47058823529412%,0,2109,1286,18.9999997615814%,262
005,Allamakee County,466,40.0999993085861%,3,0.643776824034335%,1,7142,3095,11.9999997317791%,1162
007,Appanoose County,333,35.4000002145767%,3,0.900900900900901%,0,6697,3042,20.0000002980232%,942
009,Audubon County,134,37.2999995946884%,5,3.73134328358209%,1,2995,1731,11.9999997317791%,359
011,Benton County,595,31.7999988794327%,5,0.840336134453782%,3,10377,4912,9.00000035762787%,1870
013,Black Hawk County,3482,34.2999994754791%,36,1.03388856978748%,12,51759,16730,18.0000007152557%,10160
015,Boone County,614,32.8000009059906%,1,0.162866449511401%,2,10968,5583,10.9999999403954%,1870
017,Bremer County,537,33.500000834465%,3,0.558659217877095%,0,9337,4108,5.00000007450581%,1603
019,Buchanan County,541,29.3999999761581%,5,0.924214417744917%,2,8697,3640,14.0000000596046%,1838
021,Buena Vista County,378,23.6000001430511%,9,2.38095238095238%,1,8145,3943,17.0000001788139%,1602
023,Butler County,211,19.7999998927116%,1,0.4739336492891%,0,6578,3573,11.9999997317791%,1066
025,Calhoun County,228,37.7999991178513%,1,0.43859649122807%,0,5219,2784,10.9999999403954%,603
027,Carroll County,653,40.5000001192093%,5,0.765696784073507%,2,9019,3971,7.99999982118607%,1611
029,Cass County,242,25.2999991178513%,6,2.47933884297521%,4,6590,3684,14.0000000596046%,955
031,Cedar County,616,49.3999987840652%,6,0.974025974025974%,2,7570,3722,5.00000007450581%,1246
033,Cerro Gordo County,1437,48.8000005483627%,8,0.556715379262352%,5,21488,9484,11.9999997317791%,2945
035,Cherokee County,203,29.4999986886978%,4,1.97044334975369%,0,5850,3125,12.9999995231628%,688
037,Chickasaw County,185,20.2999994158745%,1,0.540540540540541%,1,5593,2780,9.00000035762787%,911
039,Clarke County,309,40.2999997138977%,1,0.323624595469256%,0,3934,1644,12.9999995231628%,766
041,Clay County,453,37.0000004768372%,2,0.441501103752759%,1,7828,3284,18.9999997615814%,1224
043,Clayton County,383,31.4999997615814%,10,2.61096605744125%,2,8619,4861,14.0000000596046%,1214
045,Clinton County,1386,37.7000004053116%,18,1.2987012987013%,7,21585,10666,18.9999997615814%,3674
047,Crawford County,482,33.3000004291534%,3,0.622406639004149%,4,6958,3417,12.9999995231628%,1449
049,Dallas County,2506,46.2000012397766%,9,0.359138068635275%,2,16529,5108,7.00000002980232%,5430
051,Davis County,220,28.0000001192093%,2,0.909090909090909%,0,3530,1607,11.9999997317791%,786
053,Decatur County,196,32.8000009059906%,0,0%,1,3833,1672,12.9999995231628%,597
055,Delaware County,102,8.20000022649765%,2,1.96078431372549%,1,7682,3325,9.00000035762787%,1238
057,Des Moines County,965,30.3999990224838%,23,2.38341968911917%,11,18643,9412,20.9999993443489%,3178
059,Dickinson County,104,9.79999974370003%,0,0%,0,11375,2993,10.0000001490116%,1065
061,Dubuque County,1245,17.0000001788139%,13,1.04417670682731%,14,35505,13795,10.0000001490116%,7331
063,Emmet County,306,37.9000008106232%,6,1.96078431372549%,1,4889,2650,7.99999982118607%,808
065,Fayette County,376,28.099998831749%,5,1.32978723404255%,2,9505,5150,14.0000000596046%,1340
067,Floyd County,234,19.4999992847443%,4,1.70940170940171%,2,7317,3401,15.0000005960464%,1201
069,Franklin County,245,30.3000003099442%,4,1.63265306122449%,2,4763,2719,7.00000002980232%,809
071,Fremont County,215,40.0000005960465%,2,0.930232558139535%,1,3514,1815,17.0000001788139%,538
073,Greene County,272,46.399998664856%,3,1.10294117647059%,2,4623,2594,12.9999995231628%,586
075,Grundy County,260,33.7000012397766%,2,0.769230769230769%,0,5304,2585,3.99999991059303%,772
077,Guthrie County,308,40.7999992370606%,2,0.649350649350649%,0,5467,2588,7.00000002980232%,755
079,Hamilton County,433,39.7000014781952%,1,0.23094688221709%,2,7082,3493,7.99999982118607%,1091
081,Hancock County,321,42.3000007867813%,0,0%,1,5164,2451,7.00000002980232%,758
083,Hardin County,623,52.3000001907349%,5,0.802568218298555%,5,8318,4385,10.9999999403954%,1191
085,Harrison County,214,20.4999998211861%,2,0.934579439252336%,0,6602,3639,10.9999999403954%,1044
087,Henry County,581,40.9999996423721%,7,1.20481927710843%,3,8246,3213,11.9999997317791%,1417
089,Howard County,251,35.6000006198883%,1,0.398406374501992%,1,4327,2342,10.0000001490116%,705
091,Humboldt County,238,33.899998664856%,1,0.420168067226891%,0,4645,2198,21.9999998807907%,702
093,Ida County,125,25.900000333786%,1,0.8%,1,3506,1987,9.00000035762787%,482
095,Iowa County,258,22.5999996066093%,2,0.775193798449612%,1,6545,3274,5.00000007450581%,1141
097,Jackson County,190,14.9000003933907%,2,1.05263157894737%,2,8949,3719,17.0000001788139%,1275
099,Jasper County,823,31.9999992847443%,5,0.607533414337789%,2,15659,6195,9.00000035762787%,2572
101,Jefferson County,263,28.4000009298325%,3,1.14068441064639%,0,7241,3023,18.9999997615814%,925
103,Johnson County,2277,23.2999995350838%,3,0.131752305665349%,0,45831,8227,10.0000001490116%,9790
105,Jones County,256,18.8999995589256%,3,1.171875%,1,8126,3601,9.00000035762787%,1357
107,Keokuk County,219,28.4999996423721%,3,1.36986301369863%,0,5013,2891,14.0000000596046%,769
109,Kossuth County,189,18.7999993562698%,0,0%,0,7605,3799,14.0000000596046%,1006
111,Lee County,678,27.5999993085861%,16,2.3598820058997%,6,16612,7955,14.0000000596046%,2453
113,Linn County,5492,31.4000010490417%,36,0.655498907501821%,18,80551,21067,9.00000035762787%,17495
115,Louisa County,180,20.2000007033348%,1,0.555555555555556%,0,5133,2290,12.9999995231628%,893
117,Lucas County,205,30.1999986171722%,2,0.975609756097561%,0,4239,2180,18.0000007152557%,678
119,Lyon County,215,22.4999994039536%,1,0.465116279069767%,0,4758,2467,5.99999986588955%,957
121,Madison County,279,22.6999998092651%,2,0.716845878136201%,0,5661,2733,7.00000002980232%,1228
123,Mahaska County,697,39.300000667572%,4,0.573888091822095%,1,9551,4480,14.0000000596046%,1773
125,Marion County,740,29.4999986886978%,2,0.27027027027027%,0,12755,4340,10.0000001490116%,2507
127,Marshall County,2138,58.899998664856%,17,0.795135640785781%,7,16324,7120,15.9999996423721%,3632
129,Mills County,265,23.0000004172325%,1,0.377358490566038%,1,5671,2153,10.9999999403954%,1154
131,Mitchell County,127,16.7999997735024%,2,1.5748031496063%,0,4594,2499,18.9999997615814%,754
133,Monona County,205,34.2000007629395%,2,0.975609756097561%,1,4660,2573,11.9999997317791%,599
135,Monroe County,184,35.8000010251999%,1,0.543478260869565%,1,3588,1841,10.9999999403954%,514
137,Montgomery County,309,39.5999997854233%,2,0.647249190938511%,1,5399,3119,15.9999996423721%,780
139,Muscatine County,1167,31.6000014543533%,7,0.599828620394173%,10,16786,7062,14.0000000596046%,3697
141,O'Brien County,296,28.999999165535%,6,2.02702702702703%,0,6509,3225,10.9999999403954%,1020
143,Osceola County,90,20.8000004291534%,0,0%,0,3012,1669,7.99999982118607%,433
145,Page County,310,30.5999994277954%,10,3.2258064516129%,5,7302,3986,23.9999994635582%,1014
147,Palo Alto County,178,26.3000011444092%,0,0%,0,4631,2240,15.0000005960464%,677
149,Plymouth County,727,38.6999994516373%,3,0.412654745529574%,0,9880,4212,9.00000035762787%,1877
151,Pocahontas County,84,18.7999993562698%,0,0%,0,3988,2309,12.9999995231628%,447
153,Polk County,13266,32.4999988079071%,44,0.33167495854063%,16,156447,42467,10.9999999403954%,40871
155,Pottawattamie County,777,10.4000002145767%,8,1.02960102960103%,3,35761,13655,14.0000000596046%,7439
157,Poweshiek County,420,36.1000001430511%,7,1.66666666666667%,2,8556,3487,11.9999997317791%,1163
159,Ringgold County,71,19.7999998927116%,1,1.40845070422535%,0,2789,1413,25.9999990463257%,359
161,Sac County,257,37.5%,3,1.16731517509728%,2,5460,3013,20.9999993443489%,685
163,Scott County,3824,26.8999993801117%,52,1.35983263598326%,14,65649,20065,18.0000007152557%,14221
165,Shelby County,285,39.7000014781952%,4,1.40350877192982%,0,5459,2810,7.99999982118607%,718
167,Sioux County,1029,35.6000006198883%,9,0.874635568513119%,2,11260,4468,9.00000035762787%,2887
169,Story County,2349,40.0000005960465%,1,0.042571306939123%,0,30630,7389,10.0000001490116%,5866
171,Tama County,638,45.6000000238419%,4,0.626959247648903%,2,7583,4164,18.0000007152557%,1400
173,Taylor County,222,54.0000021457672%,4,1.8018018018018%,2,3199,1918,15.9999996423721%,411
175,Union County,333,35.8000010251999%,8,2.4024024024024%,4,5657,2946,17.0000001788139%,929
177,Van Buren County,106,18.6000004410744%,4,3.77358490566038%,1,3581,1840,18.9999997615814%,571
179,Wapello County,1347,46.5000003576279%,15,1.11358574610245%,8,15873,7901,20.0000002980232%,2894
181,Warren County,1078,32.4999988079071%,2,0.185528756957328%,2,15289,3347,9.00000035762787%,3313
183,Washington County,419,23.9999994635582%,4,0.954653937947494%,3,8543,4212,12.9999995231628%,1745
185,Wayne County,157,33.1000000238419%,3,1.91082802547771%,0,3357,1777,21.9999998807907%,474
187,Webster County,1225,42.399999499321%,9,0.73469387755102%,4,16969,8097,15.0000005960464%,2887
189,Winnebago County,186,28.0000001192093%,0,0%,0,5065,2243,10.0000001490116%,665
191,Winneshiek County,504,41.8999999761581%,4,0.793650793650794%,0,8208,4207,7.99999982118607%,1203
193,Woodbury County,3855,39.8000001907349%,64,1.66018158236057%,18,41394,18734,15.0000005960464%,9693
195,Worth County,191,39.300000667572%,1,0.523560209424084%,0,3534,2043,7.00000002980232%,486
197,Wright County,476,48.199999332428%,3,0.630252100840336%,2,6559,3274,5.99999986588955%,987
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Iowa 2008 Confirmed Cases,,624,,,,,,,
