"CBLS County-level Summary Data for IA, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair,150,30.4259634888438%,,0%,3690,1943,14.0000000596046%,493
003,Adams,64,26.0162601626016%,1,1.5625%,2109,1286,18.9999997615814%,246
005,Allamakee,346,29.1491154170177%,2,0.578034682080925%,7142,3095,11.9999997317791%,1187
007,Appanoose,115,11.9294605809129%,1,0.869565217391304%,6697,3042,20.0000002980232%,964
009,Audubon,103,27.3209549071618%,1,0.970873786407767%,2995,1731,11.9999997317791%,377
011,Benton,480,24.4773074961754%,2,0.416666666666667%,10377,4912,9.00000035762787%,1961
013,Black Hawk,2579,25.3888560740303%,19,0.736719658782474%,51759,16730,18.0000007152557%,10158
015,Boone,621,33.1908070550508%,3,0.483091787439613%,10968,5583,10.9999999403954%,1871
017,Bremer,357,21.0123602118893%,2,0.560224089635854%,9337,4108,5.00000007450581%,1699
019,Buchanan,397,20.7202505219207%,2,0.503778337531486%,8697,3640,14.0000000596046%,1916
021,Buena Vista,503,28.7100456621005%,2,0.397614314115308%,8145,3943,17.0000001788139%,1752
023,Butler,193,18.1050656660413%,,0%,6578,3573,11.9999997317791%,1066
025,Calhoun,174,28.1098546042003%,,0%,5219,2784,10.9999999403954%,619
027,Carroll,467,27.8473464519976%,1,0.214132762312634%,9019,3971,7.99999982118607%,1677
029,Cass,245,23.5124760076775%,5,2.04081632653061%,6590,3684,14.0000000596046%,1042
031,Cedar,527,39.7435897435897%,2,0.379506641366224%,7570,3722,5.00000007450581%,1326
033,Cerro Gordo,924,30.6264501160093%,1,0.108225108225108%,21488,9484,11.9999997317791%,3017
035,Cherokee,194,26.9444444444444%,1,0.515463917525773%,5850,3125,12.9999995231628%,720
037,Chickasaw,180,18.5758513931889%,1,0.555555555555556%,5593,2780,9.00000035762787%,969
039,Clarke,537,68.1472081218274%,,0%,3934,1644,12.9999995231628%,788
041,Clay,308,24.2710795902285%,2,0.649350649350649%,7828,3284,18.9999997615814%,1269
043,Clayton,304,23.6944660950896%,3,0.986842105263158%,8619,4861,14.0000000596046%,1283
045,Clinton,1351,36.0362763403574%,9,0.666173205033309%,21585,10666,18.9999997615814%,3749
047,Crawford,464,31.8244170096022%,8,1.72413793103448%,6958,3417,12.9999995231628%,1458
049,Dallas,1884,32.2051282051282%,1,0.0530785562632696%,16529,5108,7.00000002980232%,5850
