"CBLS County-level Summary Data for IL, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
999,Unknown Address,1464,33,4,0.300000002607703%,0,,,
001,Adams County,1175,100,28,2.40000002086163%,6,29386,12335,12.9999995231628%
003,Alexander Count,120,2,3,2.5000000372529%,1,4591,1540,40.0000005960465%
005,Bond County,234,8,1,0.400000018998981%,0,6690,2153,14.0000000596046%
007,Boone County,889,17,1,0.100000004749745%,0,15414,4241,10.9999999403954%
009,Brown County,61,5,1,1.60000007599592%,1,2456,1328,10.0000001490116%
011,Bureau County,422,18,5,1.20000001043081%,2,15331,8355,12.9999995231628%
015,Carroll County,220,14,1,0.499999988824129%,1,7945,4144,15.0000005960464%
017,Cass County,371,22,7,1.89999993890524%,3,5784,2915,17.0000001788139%
019,Champaign Count,533,15,0,0%,1,75280,14330,15.0000005960464%
021,Christian Count,489,17,4,0.800000037997961%,2,14992,7092,18.0000007152557%
023,Clark County,251,9,1,0.400000018998981%,1,7816,3260,12.9999995231628%
025,Clay County,236,13,0,0%,0,6394,2183,12.9999995231628%
027,Clinton County,355,5,2,0.600000005215406%,0,13805,3724,7.99999982118607%
029,Coles County,813,28,6,0.700000021606684%,2,22768,7944,14.0000000596046%
031,Cook County,29547,1858,821,2.80000008642673%,273,2096121,800622,20.0000002980232%
033,Crawford County,252,8,3,1.20000001043081%,0,8785,3514,15.0000005960464%
035,Cumberland Coun,141,5,0,0%,0,4876,1601,17.0000001788139%
037,DeKalb County,1448,36,2,0.100000004749745%,0,32988,9028,10.0000001490116%
039,De Witt County,145,5,1,0.700000021606684%,0,7282,3344,15.9999996423721%
041,Douglas County,305,6,5,1.60000007599592%,1,8005,3005,11.9999997317791%
043,Du Page County,5485,99,14,0.300000002607703%,2,335621,33311,3.99999991059303%
045,Edgar County,276,17,1,0.400000018998981%,1,8611,4252,20.0000002980232%
047,Edwards County,89,3,0,0%,1,3199,1302,15.9999996423721%
049,Effingham Count,457,19,3,0.700000021606684%,0,13959,3190,12.9999995231628%
051,Fayette County,313,14,0,0%,0,9053,3172,20.9999993443489%
053,Ford County,195,16,3,1.49999996647239%,0,6060,3040,9.00000035762787%
055,Franklin County,432,12,0,0%,0,18105,8027,25%
057,Fulton County,343,27,7,1.99999995529652%,2,16240,8285,15.0000005960464%
059,Gallatin County,101,4,0,0%,0,3071,942,40.0000005960465%
061,Greene County,250,17,3,1.20000001043081%,0,6332,3457,10.9999999403954%
063,Grundy County,329,10,2,0.600000005215406%,0,15040,3971,5.00000007450581%
065,Hamilton County,115,.,4,3.50000001490116%,1,3983,1514,20.9999993443489%
067,Hancock County,318,20,2,0.600000005215406%,3,8909,4399,10.9999999403954%
069,Hardin County,46,3,1,2.19999998807907%,0,2494,894,33.0000013113022%
071,Henderson Count,66,3,2,2.99999993294477%,1,4126,1488,11.9999997317791%
073,Henry County,900,63,10,1.09999999403954%,5,21270,10098,11.9999997317791%
075,Iroquois County,349,17,2,0.600000005215406%,0,13362,6256,14.0000000596046%
077,Jackson County,975,17,2,0.20000000949949%,1,26844,5477,28.999999165535%
079,Jasper County,78,2,0,0%,0,4294,1409,14.0000000596046%
081,Jefferson Count,597,19,4,0.700000021606684%,0,16990,4928,15.0000005960464%
083,Jersey County,395,9,3,0.800000037997961%,0,8918,2541,10.9999999403954%
085,Jo Daviess Coun,106,25,0,0%,0,12003,4873,10.9999999403954%
087,Johnson County,98,3,1,0.999999977648258%,1,5046,1088,15.9999996423721%
089,Kane County,13120,490,77,0.600000005215406%,16,138998,33073,9.00000035762787%
091,Kankakee County,1993,61,9,0.499999988824129%,4,40610,11662,18.0000007152557%
093,Kendall County,516,6,0,0%,1,19519,2764,1.99999995529652%
095,Knox County,816,79,35,4.30000014603138%,10,23717,11323,20.0000002980232%
097,Lake County,8419,105,20,0.20000000949949%,6,225919,33035,7.00000002980232%
099,La Salle County,1254,53,16,1.30000002682209%,7,46438,21195,17.0000001788139%
