"CBLS County-level Summary Data for IL, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,1087,21.1890838206628%,35,13,29386,12335,12.9999995231628%,5130
003,Alexander County,136,19.1011235955056%,7,5,4591,1540,40.0000005960465%,712
005,Bond County,324,27.5744680851064%,4,0,6690,2153,14.0000000596046%,1175
007,Boone County,104,2.71398747390397%,1,1,15414,4241,10.9999999403954%,3832
009,Brown County,49,15.6050955414013%,1,0,2456,1328,10.0000001490116%,314
011,Bureau County,360,13.8301959277756%,4,1,15331,8355,12.9999995231628%,2603
015,Carroll County,216,19.4770063119928%,12,4,7945,4144,15.0000005960464%,1109
017,Cass County,289,26.2012692656392%,12,4,5784,2915,17.0000001788139%,1103
019,Champaign County,,0%,,,75280,14330,15.0000005960464%,12298
021,Christian County,349,13.6115444617785%,8,6,14992,7092,18.0000007152557%,2564
023,Clark County,,0%,,,7816,3260,12.9999995231628%,1249
025,Clay County,266,25.3092293054234%,7,3,6394,2183,12.9999995231628%,1051
027,Clinton County,268,10.2839600920952%,4,0,13805,3724,7.99999982118607%,2606
029,Coles County,558,16.0390916930152%,11,3,22768,7944,14.0000000596046%,3479
031,Cook County,31678,6.79842304398866%,4056,5816,2096121,800622,20.0000002980232%,465961
033,Crawford County,256,19.6018376722818%,6,0,8785,3514,15.0000005960464%,1306
037,DeKalb County,601,8.79169104739614%,6,3,32988,9028,10.0000001490116%,6836
039,De Witt County,,0%,,,7282,3344,15.9999996423721%,1273
041,Douglas County,270,17.1319796954315%,5,1,8005,3005,11.9999997317791%,1576
043,Du Page County,2249,2.82797037484125%,29,7,335621,33311,3.99999991059303%,79527
045,Edgar County,311,23.3658903080391%,7,1,8611,4252,20.0000002980232%,1331
047,Edwards County,169,35.4297693920335%,0,0,3199,1302,15.9999996423721%,477
049,Effingham County,553,18.6007399932728%,1,1,13959,3190,12.9999995231628%,2973
051,Fayette County,393,24.7169811320755%,5,6,9053,3172,20.9999993443489%,1590
053,Ford County,60,5.17241379310345%,1,0,6060,3040,9.00000035762787%,1160
055,Franklin County,,0%,,,18105,8027,25%,2678
057,Fulton County,390,15%,22,4,16240,8285,15.0000005960464%,2600
061,Greene County,,0%,,,6332,3457,10.9999999403954%,1125
063,Grundy County,252,8.35543766578249%,0,1,15040,3971,5.00000007450581%,3016
067,Hancock County,336,24.6877296105805%,15,2,8909,4399,10.9999999403954%,1361
069,Hardin County,32,9.72644376899696%,0,0,2494,894,33.0000013113022%,329
071,Henderson County,101,17.2649572649573%,4,0,4126,1488,11.9999997317791%,585
073,Henry County,1052,28.5172133369477%,22,6,21270,10098,11.9999997317791%,3689
075,Iroquois County,276,11.8556701030928%,3,2,13362,6256,14.0000000596046%,2328
077,Jackson County,825,22.8089576997512%,5,0,26844,5477,28.999999165535%,3617
079,Jasper County,5,0.689655172413793%,1,0,4294,1409,14.0000000596046%,725
081,Jefferson County,,0%,,,16990,4928,15.0000005960464%,2955
083,Jersey County,301,19.5708712613784%,4,1,8918,2541,10.9999999403954%,1538
085,Jo Daviess County,110,7.15214564369311%,2,1,12003,4873,10.9999999403954%,1538
087,Johnson County,55,7.98258345428157%,0,1,5046,1088,15.9999996423721%,689
089,Kane County,9580,22.4845682634309%,232,76,138998,33073,9.00000035762787%,42607
091,Kankakee County,,0%,,,40610,11662,18.0000007152557%,8571
093,Kendall County,233,4.32121661721068%,5,1,19519,2764,1.99999995529652%,5392
095,Knox County,,0%,,,23717,11323,20.0000002980232%,3827
097,Lake County,7973,12.4091453829512%,93,23,225919,33035,7.00000002980232%,64251
099,La Salle County,1087,12.937395858129%,24,10,46438,21195,17.0000001788139%,8402
101,Lawrence County,425,43.1034482758621%,6,2,7014,3076,21.9999998807907%,986
103,Lee County,277,10.9746434231379%,9,2,14310,6703,10.0000001490116%,2524
105,Livingston County,,0%,,,15297,6835,12.9999995231628%,2775
107,Logan County,,0%,,,11872,5124,10.9999999403954%,2058
109,McDonough County,336,19.2881745120551%,6,1,13289,5203,28.0000001192093%,1742
111,McHenry County,1490,5.86914562571395%,12,2,92908,14518,3.99999991059303%,25387
113,McLean County,1837,15.8745247148289%,21,8,59972,14738,7.99999982118607%,11572
115,Macon County,2991,34.0234330565351%,64,21,50241,16317,23.0000004172325%,8791
117,Macoupin County,,0%,,,21097,8937,15.0000005960464%,3436
119,Madison County,2198,11.070816963836%,40,5,108942,32272,14.0000000596046%,19854
121,Marion County,,0%,,,18022,6094,20.9999993443489%,3267
123,Marshall County,108,11.8421052631579%,1,0,5914,2723,9.00000035762787%,912
125,Mason County,138,11.625947767481%,4,5,7033,3233,18.0000007152557%,1187
127,Massac County,100,9.53288846520496%,3,0,6951,2197,17.0000001788139%,1049
129,Menard County,59,6.40608034744843%,2,1,5285,1717,11.9999997317791%,921
131,Mercer County,330,28.0135823429542%,1,4,7109,3451,9.00000035762787%,1178
135,Montgomery County,480,22.5776105362182%,11,2,12525,5918,27.0000010728836%,2126
137,Morgan County,646,27.5714895433205%,28,8,15291,5806,14.0000000596046%,2343
139,Moultrie County,122,10.990990990991%,1,0,5743,2143,10.0000001490116%,1110
141,Ogle County,280,7.36454497632825%,7,2,20420,7646,10.0000001490116%,3802
143,Peoria County,2471,16.5405984336301%,156,58,78204,26520,23.0000004172325%,14939
145,Perry County,,0%,,,9457,3565,20.9999993443489%,1567
149,Pike County,301,24.5114006514658%,14,4,8011,3762,12.9999995231628%,1228
151,Pope County,16,6.08365019011407%,0,0,2351,733,20.9999993443489%,263
