"CBLS County-level Summary Data for IL, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,1051,22.1000000834465%,25,2.37868696479543%,6,29386,12335,12.9999995231628%,4754
003,Alexander County,124,17.399999499321%,2,1.61290322580645%,4,4591,1540,40.0000005960465%,714
005,Bond County,274,22.8000000119209%,3,1.09489051094891%,0,6690,2153,14.0000000596046%,1203
007,Boone County,656,15.8999994397163%,12,1.82926829268293%,1,15414,4241,10.9999999403954%,4114
009,Brown County,68,19.3000003695488%,0,0%,0,2456,1328,10.0000001490116%,352
011,Bureau County,229,9.20000001788139%,4,1.74672489082969%,1,15331,8355,12.9999995231628%,2480
013,Calhoun County,66,21.6000005602837%,0,0%,0,2681,999,10.9999999403954%,305
015,Carroll County,273,28.7999987602234%,3,1.0989010989011%,2,7945,4144,15.0000005960464%,949
017,Cass County,336,29.6999990940094%,13,3.86904761904762%,4,5784,2915,17.0000001788139%,1131
019,Champaign County,1790,13.6999994516373%,9,0.502793296089386%,0,75280,14330,15.0000005960464%,13062
021,Christian County,388,15.9999996423721%,3,0.77319587628866%,3,14992,7092,18.0000007152557%,2418
023,Clark County,245,21.9999998807907%,3,1.22448979591837%,0,7816,3260,12.9999995231628%,1115
025,Clay County,235,23.4999999403954%,10,4.25531914893617%,2,6394,2183,12.9999995231628%,1002
027,Clinton County,260,10.4999996721745%,2,0.769230769230769%,0,13805,3724,7.99999982118607%,2476
029,Coles County,575,17.2999992966652%,5,0.869565217391304%,2,22768,7944,14.0000000596046%,3315
031,Cook County,29633,6.40000030398369%,2989,10.0867276347316%,4167,2096121,800622,20.0000002980232%,462838
033,Crawford County,263,22.8000000119209%,3,1.14068441064639%,0,8785,3514,15.0000005960464%,1154
035,Cumberland County,140,18.7999993562698%,0,0%,0,4876,1601,17.0000001788139%,746
037,DeKalb County,576,8.10000002384186%,5,0.868055555555556%,2,32988,9028,10.0000001490116%,7121
039,De Witt County,286,23.8999992609024%,2,0.699300699300699%,0,7282,3344,15.9999996423721%,1197
041,Douglas County,263,15.2999997138977%,2,0.760456273764259%,1,8005,3005,11.9999997317791%,1722
043,Du Page County,7863,10.4000002145767%,42,0.534147272033575%,6,335621,33311,3.99999991059303%,75743
045,Edgar County,214,16.6999995708466%,6,2.80373831775701%,1,8611,4252,20.0000002980232%,1278
047,Edwards County,123,28.9000004529953%,0,0%,0,3199,1302,15.9999996423721%,426
049,Effingham County,496,18.4000000357628%,6,1.20967741935484%,2,13959,3190,12.9999995231628%,2690
051,Fayette County,377,25%,7,1.85676392572944%,7,9053,3172,20.9999993443489%,1508
053,Ford County,57,5.60000017285347%,3,5.26315789473684%,0,6060,3040,9.00000035762787%,1011
055,Franklin County,398,13.8999998569489%,7,1.75879396984925%,0,18105,8027,25%,2869
057,Fulton County,401,16.8999999761581%,9,2.24438902743142%,3,16240,8285,15.0000005960464%,2375
