"CBLS County-level Summary Data for IL, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,980,20.2999994158745%,32,3.26530612244898%,8,29386,12335,12.9999995231628%,4836
003,Alexander County,94,13.7999996542931%,4,4.25531914893617%,0,4591,1540,40.0000005960465%,682
005,Bond County,269,22.1000000834465%,3,1.11524163568773%,0,6690,2153,14.0000000596046%,1217
007,Boone County,855,18.5000002384186%,6,0.701754385964912%,1,15414,4241,10.9999999403954%,4623
009,Brown County,87,26.6999989748001%,0,0%,0,2456,1328,10.0000001490116%,326
011,Bureau County,656,26.1999994516373%,15,2.28658536585366%,1,15331,8355,12.9999995231628%,2507
013,Calhoun County,51,15.6000003218651%,0,0%,0,2681,999,10.9999999403954%,326
015,Carroll County,187,19.7999998927116%,5,2.67379679144385%,3,7945,4144,15.0000005960464%,943
017,Cass County,305,26.8999993801117%,5,1.63934426229508%,2,5784,2915,17.0000001788139%,1132
019,Champaign County,1970,14.300000667572%,7,0.355329949238579%,0,75280,14330,15.0000005960464%,13756
021,Christian County,548,22.8000000119209%,1,0.182481751824818%,2,14992,7092,18.0000007152557%,2400
023,Clark County,290,25.6000012159348%,3,1.03448275862069%,1,7816,3260,12.9999995231628%,1131
025,Clay County,209,20.8000004291534%,4,1.91387559808612%,2,6394,2183,12.9999995231628%,1004
027,Clinton County,316,12.6000002026558%,2,0.632911392405063%,0,13805,3724,7.99999982118607%,2502
029,Coles County,779,23.8000005483627%,6,0.770218228498075%,2,22768,7944,14.0000000596046%,3271
031,Cook County,18592,4.10000011324883%,2406,12.9410499139415%,2416,2096121,800622,20.0000002980232%,449582
033,Crawford County,261,22.9000002145767%,1,0.383141762452107%,0,8785,3514,15.0000005960464%,1139
035,Cumberland County,153,20.2000007033348%,0,0%,0,4876,1601,17.0000001788139%,757
037,DeKalb County,539,6.89999982714653%,3,0.556586270871985%,2,32988,9028,10.0000001490116%,7781
039,De Witt County,279,23.8000005483627%,8,2.8673835125448%,0,7282,3344,15.9999996423721%,1170
041,Douglas County,302,18.0000007152557%,2,0.662251655629139%,1,8005,3005,11.9999997317791%,1674
043,Du Page County,5264,7.19999969005585%,16,0.303951367781155%,3,335621,33311,3.99999991059303%,73233
045,Edgar County,239,19.200000166893%,8,3.34728033472803%,2,8611,4252,20.0000002980232%,1248
047,Edwards County,150,35.2999985218048%,0,0%,0,3199,1302,15.9999996423721%,425
049,Effingham County,473,17.4999997019768%,3,0.634249471458774%,3,13959,3190,12.9999995231628%,2697
051,Fayette County,391,26.6999989748001%,5,1.27877237851662%,3,9053,3172,20.9999993443489%,1462
053,Ford County,69,6.8000003695488%,3,4.34782608695652%,0,6060,3040,9.00000035762787%,1013
055,Franklin County,510,17.8000003099442%,8,1.56862745098039%,1,18105,8027,25%,2861
057,Fulton County,417,17.7000001072884%,21,5.03597122302158%,6,16240,8285,15.0000005960464%,2362
059,Gallatin County,114,30.3999990224838%,1,0.87719298245614%,0,3071,942,40.0000005960465%,375
061,Greene County,273,28.099998831749%,2,0.732600732600733%,0,6332,3457,10.9999999403954%,972
063,Grundy County,341,8.29999968409538%,4,1.17302052785924%,0,15040,3971,5.00000007450581%,4126
065,Hamilton County,137,26.8999993801117%,1,0.72992700729927%,0,3983,1514,20.9999993443489%,510
067,Hancock County,680,54.9000024795532%,10,1.47058823529412%,5,8909,4399,10.9999999403954%,1238
069,Hardin County,42,15.8000007271767%,0,0%,0,2494,894,33.0000013113022%,265
071,Henderson County,73,19.5999994874001%,1,1.36986301369863%,0,4126,1488,11.9999997317791%,373
073,Henry County,955,28.4999996423721%,13,1.36125654450262%,5,21270,10098,11.9999997317791%,3351
075,Iroquois County,290,14.1000002622604%,5,1.72413793103448%,1,13362,6256,14.0000000596046%,2054
077,Jackson County,985,25.7999986410141%,6,0.609137055837563%,2,26844,5477,28.999999165535%,3812
