"CBLS County-level Summary Data for IL, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams,820,16.2055335968379%,16,1.95121951219512%,29386,12335,12.9999995231628%,5060
003,Alexander,123,19.2488262910798%,4,3.2520325203252%,4591,1540,40.0000005960465%,639
005,Bond,314,26.3422818791946%,1,0.318471337579618%,6690,2153,14.0000000596046%,1192
007,Boone,923,19.1374663072776%,3,0.325027085590466%,15414,4241,10.9999999403954%,4823
009,Brown,77,21.0382513661202%,2,2.5974025974026%,2456,1328,10.0000001490116%,366
011,Bureau,346,13.6274123670737%,2,0.578034682080925%,15331,8355,12.9999995231628%,2539
013,Calhoun,50,15.2439024390244%,,0%,2681,999,10.9999999403954%,328
015,Carroll,240,24.7678018575851%,1,0.416666666666667%,7945,4144,15.0000005960464%,969
017,Cass,405,37.2242647058824%,8,1.97530864197531%,5784,2915,17.0000001788139%,1088
019,Champaign,2548,18.0096126661012%,6,0.235478806907378%,75280,14330,15.0000005960464%,14148
021,Christian,675,27.2837510105093%,8,1.18518518518519%,14992,7092,18.0000007152557%,2474
023,Clark,245,22.0323741007194%,,0%,7816,3260,12.9999995231628%,1112
025,Clay,284,27.3866923818708%,2,0.704225352112676%,6394,2183,12.9999995231628%,1037
027,Clinton,448,17.0536733917016%,2,0.446428571428571%,13805,3724,7.99999982118607%,2627
029,Coles,784,23.728813559322%,8,1.02040816326531%,22768,7944,14.0000000596046%,3304
031,Cook,24495,5.41316396616192%,907,3.7027964890794%,2096121,800622,20.0000002980232%,452508
033,Crawford,252,21.3197969543147%,2,0.793650793650794%,8785,3514,15.0000005960464%,1182
035,Cumberland,180,22.03182374541%,3,1.66666666666667%,4876,1601,17.0000001788139%,817
037,DeKalb,1003,12.4241298154342%,7,0.69790628115653%,32988,9028,10.0000001490116%,8073
039,De Witt,281,24.26597582038%,6,2.13523131672598%,7282,3344,15.9999996423721%,1158
041,Douglas,306,18.1279620853081%,4,1.30718954248366%,8005,3005,11.9999997317791%,1688
043,DuPage,7749,10.6909301619712%,12,0.154858691444057%,335621,33311,3.99999991059303%,72482
045,Edgar,222,17.169373549884%,1,0.450450450450451%,8611,4252,20.0000002980232%,1293
047,Edwards,104,24.8803827751196%,2,1.92307692307692%,3199,1302,15.9999996423721%,418
049,Effingham,609,22.3732549595885%,4,0.656814449917898%,13959,3190,12.9999995231628%,2722
051,Fayette,442,29.4666666666667%,2,0.452488687782805%,9053,3172,20.9999993443489%,1500
053,Ford,80,7.68491834774256%,1,1.25%,6060,3040,9.00000035762787%,1041
055,Franklin,4,0.137409824802473%,,0%,18105,8027,25%,2911
057,Fulton,366,15.4495567750106%,5,1.36612021857924%,16240,8285,15.0000005960464%,2369
059,Gallatin,121,31.8421052631579%,,0%,3071,942,40.0000005960465%,380
061,Greene,367,37.1833839918946%,3,0.817438692098093%,6332,3457,10.9999999403954%,987
063,Grundy,424,9.51312542068656%,2,0.471698113207547%,15040,3971,5.00000007450581%,4457
065,Hamilton,21,3.93258426966292%,,0%,3983,1514,20.9999993443489%,534
067,Hancock,359,28.1789638932496%,4,1.1142061281337%,8909,4399,10.9999999403954%,1274
069,Hardin,45,16.7910447761194%,,0%,2494,894,33.0000013113022%,268
071,Henderson,104,28.4931506849315%,,0%,4126,1488,11.9999997317791%,365
073,Henry,962,26.4285714285714%,3,0.311850311850312%,21270,10098,11.9999997317791%,3640
075,Iroquois,271,12.56374594344%,1,0.3690036900369%,13362,6256,14.0000000596046%,2157
