"CBLS County-level Summary Data for IN, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
097,Unknown County,100,7,6,7.50000029802322%,1,,,
001,Adams County,130,6,0,0%,0,12404,4573,15.0000005960464%
003,Allen County,2284,127,20,0.899999961256981%,21,138905,33357,15.0000005960464%
005,Bartholomew Cou,964,27,1,0.100000004749745%,0,29853,6657,10.0000001490116%
007,Benton County,38,2,0,0%,0,3818,2000,7.99999982118607%
009,Blackford Count,134,8,2,1.49999996647239%,0,6155,2803,14.0000000596046%
011,Boone County,248,6,3,1.20000001043081%,1,17929,5399,5.00000007450581%
013,Brown County,116,5,0,0%,0,7163,850,9.00000035762787%
015,Carroll County,170,9,1,0.600000005215406%,1,8675,3856,9.00000035762787%
017,Cass County,373,16,4,1.09999999403954%,1,16620,7995,11.9999997317791%
019,Clark County,565,13,2,0.400000018998981%,0,41176,7638,12.9999995231628%
021,Clay County,157,9,2,1.30000002682209%,1,11097,4418,18.0000007152557%
023,Clinton County,253,11,3,1.20000001043081%,1,13267,6425,14.0000000596046%
025,Crawford County,96,4,0,0%,0,5138,1187,34.0000003576279%
027,Daviess County,85,2,2,2.40000002086163%,0,11898,4257,23.9999994635582%
029,Dearborn County,216,9,1,0.499999988824129%,0,17791,4278,10.0000001490116%
031,Decatur County,204,8,0,0%,0,9992,3445,14.0000000596046%
033,De Kalb County,232,9,3,1.30000002682209%,0,16144,6431,7.99999982118607%
035,Delaware County,564,40,3,0.499999988824129%,3,51032,16269,20.0000002980232%
037,Dubois County,78,1,0,0%,0,15511,4150,5.00000007450581%
039,Elkhart County,3314,209,12,0.400000018998981%,11,69791,18341,12.9999995231628%
041,Fayette County,226,6,1,0.400000018998981%,0,10981,4382,7.99999982118607%
043,Floyd County,766,30,0,0%,0,29087,7209,18.0000007152557%
045,Fountain County,69,6,5,7.19999969005585%,2,7692,3297,12.9999995231628%
047,Franklin County,193,6,0,0%,0,8596,2547,7.00000002980232%
049,Fulton County,105,3,0,0%,0,9123,3221,10.9999999403954%
051,Gibson County,236,10,0,0%,1,14125,4770,14.0000000596046%
053,Grant County,1243,40,4,0.300000002607703%,0,30560,10711,20.9999993443489%
055,Greene County,419,9,1,0.20000000949949%,0,15053,4788,17.0000001788139%
057,Hamilton County,1251,22,2,0.20000000949949%,0,69478,5883,2.99999993294477%
059,Hancock County,254,7,1,0.400000018998981%,0,21750,4347,2.99999993294477%
061,Harrison County,401,5,0,0%,0,13699,2856,7.99999982118607%
063,Hendricks Count,360,8,1,0.300000002607703%,1,39229,5218,1.99999995529652%
065,Henry County,346,21,4,1.20000001043081%,2,20592,8664,12.9999995231628%
067,Howard County,666,40,4,0.600000005215406%,1,37604,11348,18.9999997615814%
069,Huntington Coun,198,10,0,0%,0,15269,7213,5.99999986588955%
071,Jackson County,231,3,0,0%,0,17137,4323,10.9999999403954%
073,Jasper County,200,3,0,0%,1,11236,2959,7.99999982118607%
075,Jay County,192,7,0,0%,0,9074,4709,15.9999996423721%
077,Jefferson Count,334,9,0,0%,0,13386,3426,14.0000000596046%
079,Jennings County,281,8,1,0.400000018998981%,1,11469,2070,10.0000001490116%
081,Johnson County,621,19,1,0.20000000949949%,1,45095,5774,5.99999986588955%
083,Knox County,160,6,2,1.30000002682209%,0,17305,7709,25.9999990463257%
085,Kosciusko Count,418,16,1,0.20000000949949%,0,32188,8080,9.00000035762787%
087,Lagrange County,71,6,0,0%,0,12938,3743,10.0000001490116%
089,Lake County,3015,128,14,0.499999988824129%,12,194992,58498,20.9999993443489%
091,La Porte County,329,18,2,0.600000005215406%,2,45621,15893,15.9999996423721%
093,Lawrence County,510,11,1,0.20000000949949%,0,20560,6109,14.0000000596046%
095,Madison County,1134,117,5,0.400000018998981%,1,56939,20511,15.0000005960464%
097,Marion County,8448,391,74,0.899999961256981%,10,387183,95010,17.0000001788139%
099,Marshall County,358,16,4,1.09999999403954%,1,18099,6102,10.0000001490116%
101,Martin County,60,1,0,0%,0,4729,1175,18.0000007152557%
103,Miami County,203,10,2,0.999999977648258%,0,15299,6993,14.0000000596046%
105,Monroe County,2589,25,5,0.20000000949949%,1,50846,6469,15.9999996423721%
107,Montgomery Coun,240,15,0,0%,0,15678,5933,12.9999995231628%
109,Morgan County,435,13,1,0.20000000949949%,0,25908,5519,7.99999982118607%
111,Newton County,87,1,2,2.30000000447035%,1,5726,2058,7.00000002980232%
113,Noble County,201,2,0,0%,0,18233,6282,11.9999997317791%
115,Ohio County,17,2,0,0%,0,2424,840,11.9999997317791%
117,Orange County,128,3,1,0.800000037997961%,0,8348,2183,10.0000001490116%
119,Owen County,376,6,0,0%,0,9853,2172,10.0000001490116%
