"CBLS County-level Summary Data for IN, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
185,Unknown County,22,.,0,0%,0,,,
001,Adams County,137,4,0,0%,0,12404,4573,15.0000005960464%
003,Allen County,2478,124,22,0.899999961256981%,14,138905,33357,15.0000005960464%
005,Bartholomew Cou,656,17,3,0.499999988824129%,0,29853,6657,10.0000001490116%
007,Benton County,49,3,2,4.10000011324883%,0,3818,2000,7.99999982118607%
009,Blackford Count,95,6,0,0%,0,6155,2803,14.0000000596046%
011,Boone County,249,5,1,0.400000018998981%,1,17929,5399,5.00000007450581%
013,Brown County,102,1,0,0%,0,7163,850,9.00000035762787%
015,Carroll County,135,10,0,0%,1,8675,3856,9.00000035762787%
017,Cass County,143,5,0,0%,1,16620,7995,11.9999997317791%
019,Clark County,1038,13,2,0.20000000949949%,0,41176,7638,12.9999995231628%
021,Clay County,104,2,0,0%,1,11097,4418,18.0000007152557%
023,Clinton County,205,14,1,0.499999988824129%,1,13267,6425,14.0000000596046%
025,Crawford County,69,3,0,0%,0,5138,1187,34.0000003576279%
027,Daviess County,105,3,0,0%,0,11898,4257,23.9999994635582%
029,Dearborn County,186,6,1,0.499999988824129%,0,17791,4278,10.0000001490116%
031,Decatur County,121,1,0,0%,0,9992,3445,14.0000000596046%
033,De Kalb County,189,4,0,0%,0,16144,6431,7.99999982118607%
035,Delaware County,719,56,6,0.800000037997961%,1,51032,16269,20.0000002980232%
037,Dubois County,29,1,3,10.3000000119209%,1,15511,4150,5.00000007450581%
039,Elkhart County,1863,93,13,0.700000021606684%,11,69791,18341,12.9999995231628%
041,Fayette County,199,14,1,0.499999988824129%,0,10981,4382,7.99999982118607%
043,Floyd County,879,25,1,0.100000004749745%,0,29087,7209,18.0000007152557%
045,Fountain County,70,9,1,1.40000004321337%,2,7692,3297,12.9999995231628%
047,Franklin County,149,4,0,0%,0,8596,2547,7.00000002980232%
049,Fulton County,48,1,0,0%,0,9123,3221,10.9999999403954%
051,Gibson County,135,5,1,0.700000021606684%,1,14125,4770,14.0000000596046%
053,Grant County,1094,24,3,0.300000002607703%,0,30560,10711,20.9999993443489%
055,Greene County,434,5,0,0%,0,15053,4788,17.0000001788139%
057,Hamilton County,1355,16,2,0.100000004749745%,0,69478,5883,2.99999993294477%
059,Hancock County,255,3,1,0.400000018998981%,0,21750,4347,2.99999993294477%
061,Harrison County,400,8,0,0%,0,13699,2856,7.99999982118607%
063,Hendricks Count,262,4,3,1.09999999403954%,1,39229,5218,1.99999995529652%
065,Henry County,88,3,3,3.4000001847744%,2,20592,8664,12.9999995231628%
067,Howard County,343,26,2,0.600000005215406%,1,37604,11348,18.9999997615814%
069,Huntington Coun,198,5,0,0%,0,15269,7213,5.99999986588955%
071,Jackson County,174,9,0,0%,0,17137,4323,10.9999999403954%
073,Jasper County,72,3,0,0%,0,11236,2959,7.99999982118607%
075,Jay County,182,8,1,0.499999988824129%,0,9074,4709,15.9999996423721%
077,Jefferson Count,203,4,2,0.999999977648258%,0,13386,3426,14.0000000596046%
079,Jennings County,127,2,0,0%,0,11469,2070,10.0000001490116%
081,Johnson County,453,13,2,0.400000018998981%,1,45095,5774,5.99999986588955%
083,Knox County,164,4,3,1.79999992251396%,0,17305,7709,25.9999990463257%
085,Kosciusko Count,375,8,1,0.300000002607703%,0,32188,8080,9.00000035762787%
087,Lagrange County,72,1,1,1.40000004321337%,0,12938,3743,10.0000001490116%
089,Lake County,2001,109,10,0.499999988824129%,8,194992,58498,20.9999993443489%
091,La Porte County,155,4,2,1.30000002682209%,2,45621,15893,15.9999996423721%
093,Lawrence County,254,3,0,0%,0,20560,6109,14.0000000596046%
095,Madison County,723,61,0,0%,1,56939,20511,15.0000005960464%
097,Marion County,5602,288,55,0.999999977648258%,10,387183,95010,17.0000001788139%
099,Marshall County,140,3,0,0%,1,18099,6102,10.0000001490116%
101,Martin County,68,4,0,0%,0,4729,1175,18.0000007152557%
103,Miami County,243,9,1,0.400000018998981%,0,15299,6993,14.0000000596046%
105,Monroe County,2677,27,0,0%,1,50846,6469,15.9999996423721%
107,Montgomery Coun,306,15,0,0%,0,15678,5933,12.9999995231628%
109,Morgan County,372,5,0,0%,0,25908,5519,7.99999982118607%
111,Newton County,31,4,1,3.20000015199184%,1,5726,2058,7.00000002980232%
113,Noble County,183,4,0,0%,0,18233,6282,11.9999997317791%
115,Ohio County,24,.,0,0%,0,2424,840,11.9999997317791%
117,Orange County,51,3,0,0%,0,8348,2183,10.0000001490116%
119,Owen County,336,9,0,0%,0,9853,2172,10.0000001490116%
121,Parke County,58,2,0,0%,0,7539,2638,21.9999998807907%
123,Perry County,89,2,1,1.09999999403954%,0,8223,2434,20.0000002980232%
125,Pike County,22,1,0,0%,0,5611,1758,10.9999999403954%
127,Porter County,316,2,2,0.600000005215406%,0,57616,7786,7.99999982118607%
129,Posey County,153,10,0,0%,0,11076,3069,10.9999999403954%
131,Pulaski County,33,1,0,0%,0,5918,2237,11.9999997317791%
133,Putnam County,94,3,0,0%,0,13505,3695,10.0000001490116%
135,Randolph County,118,6,1,0.800000037997961%,0,11775,6127,18.9999997615814%
137,Ripley County,184,4,0,0%,0,10482,3434,7.99999982118607%
139,Rush County,64,9,0,0%,0,7337,3925,5.99999986588955%
141,St. Joseph Coun,1195,113,15,1.30000002682209%,4,107013,36261,17.0000001788139%
143,Scott County,127,.,0,0%,0,9737,2110,17.0000001788139%
145,Shelby County,70,6,0,0%,0,17633,6262,12.9999995231628%
147,Spencer County,140,5,1,0.700000021606684%,0,8333,2101,9.00000035762787%
149,Starke County,26,2,1,3.79999987781048%,0,10201,3155,18.0000007152557%
151,Steuben County,180,5,0,0%,0,17337,4676,9.00000035762787%
153,Sullivan County,90,5,0,0%,1,8804,3706,18.0000007152557%
155,Switzerland Cou,40,3,0,0%,0,4226,1238,20.0000002980232%
157,Tippecanoe Coun,1439,48,2,0.100000004749745%,1,58343,12421,18.9999997615814%
159,Tipton County,33,3,0,0%,0,6848,2848,5.99999986588955%
161,Union County,65,2,0,0%,0,3077,1202,14.0000000596046%
163,Vanderburgh Cou,7,.,0,0%,4,76300,26808,20.0000002980232%
165,Vermillion Coun,102,3,2,1.99999995529652%,1,7405,3850,11.9999997317791%
167,Vigo County,792,39,9,1.09999999403954%,1,45203,18676,20.0000002980232%
169,Wabash County,217,10,0,0%,0,14034,6208,12.9999995231628%
171,Warren County,36,2,1,2.80000008642673%,0,3477,1465,15.0000005960464%
173,Warrick County,157,1,0,0%,0,20546,3246,7.99999982118607%
175,Washington Coun,154,1,0,0%,0,11191,2822,15.9999996423721%
177,Wayne County,766,64,12,1.60000007599592%,6,30468,13299,18.9999997615814%
179,Wells County,109,1,1,0.899999961256981%,1,10970,4211,10.9999999403954%
181,White County,122,7,2,1.60000007599592%,1,12083,3643,7.99999982118607%
183,Whitley County,116,3,0,0%,0,12545,4477,5.99999986588955%
*# of Addresses where address state not in selected state: 27,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 27,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
