"CBLS County-level Summary Data for IN, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,160,4.69621367772234%,1,0,12404,4573,15.0000005960464%,3407
003,Allen County,3611,11.6807918742317%,68,21,138905,33357,15.0000005960464%,30914
005,Bartholomew County,334,5.32780347742862%,2,0,29853,6657,10.0000001490116%,6269
007,Benton County,29,3.86151797603196%,1,0,3818,2000,7.99999982118607%,751
009,Blackford County,102,9.04255319148936%,5,2,6155,2803,14.0000000596046%,1128
011,Boone County,207,4.89130434782609%,0,0,17929,5399,5.00000007450581%,4232
013,Brown County,44,4.81927710843374%,0,0,7163,850,9.00000035762787%,913
015,Carroll County,61,3.73545621555419%,0,1,8675,3856,9.00000035762787%,1633
017,Cass County,392,11.8751893365647%,5,2,16620,7995,11.9999997317791%,3301
019,Clark County,382,4.86996430392657%,0,0,41176,7638,12.9999995231628%,7844
021,Clay County,73,3.59783144406111%,0,0,11097,4418,18.0000007152557%,2029
023,Clinton County,218,7.34996628455833%,3,2,13267,6425,14.0000000596046%,2966
025,Crawford County,79,9.52955367913148%,0,0,5138,1187,34.0000003576279%,829
027,Daviess County,82,3.0608435983576%,0,0,11898,4257,23.9999994635582%,2679
029,Dearborn County,102,2.68068331143233%,2,0,17791,4278,10.0000001490116%,3805
031,Decatur County,134,6.20657711903659%,2,0,9992,3445,14.0000000596046%,2159
033,De Kalb County,234,6.43210555250137%,4,0,16144,6431,7.99999982118607%,3638
035,Delaware County,976,11.5680929240251%,12,2,51032,16269,20.0000002980232%,8437
037,Dubois County,16,0.459506031016657%,0,0,15511,4150,5.00000007450581%,3482
039,Elkhart County,1898,10.6743152803554%,30,11,69791,18341,12.9999995231628%,17781
041,Fayette County,162,8.06371329019413%,3,1,10981,4382,7.99999982118607%,2009
043,Floyd County,560,10.2639296187683%,10,1,29087,7209,18.0000007152557%,5456
045,Fountain County,64,4.55516014234876%,0,1,7692,3297,12.9999995231628%,1405
047,Franklin County,107,5.66737288135593%,3,0,8596,2547,7.00000002980232%,1888
049,Fulton County,64,3.90482001220256%,0,1,9123,3221,10.9999999403954%,1639
051,Gibson County,182,7.2107765451664%,4,1,14125,4770,14.0000000596046%,2524
053,Grant County,724,13.4672619047619%,4,2,30560,10711,20.9999993443489%,5376
055,Greene County,196,8.06584362139918%,1,0,15053,4788,17.0000001788139%,2430
057,Hamilton County,492,2.45019920318725%,0,0,69478,5883,2.99999993294477%,20080
059,Hancock County,81,1.78374807311165%,2,0,21750,4347,2.99999993294477%,4541
061,Harrison County,212,8.07619047619048%,4,0,13699,2856,7.99999982118607%,2625
063,Hendricks County,277,2.97274093153037%,0,0,39229,5218,1.99999995529652%,9318
065,Henry County,263,7.36488378605433%,0,0,20592,8664,12.9999995231628%,3571
067,Howard County,981,13.3906633906634%,3,2,37604,11348,18.9999997615814%,7326
069,Huntington County,138,4.56953642384106%,4,0,15269,7213,5.99999986588955%,3020
071,Jackson County,131,3.73645179691957%,0,0,17137,4323,10.9999999403954%,3506
073,Jasper County,142,5.5883510428965%,0,0,11236,2959,7.99999982118607%,2541
075,Jay County,109,5.42018896071606%,1,0,9074,4709,15.9999996423721%,2011
077,Jefferson County,320,13.4171907756813%,4,1,13386,3426,14.0000000596046%,2385
079,Jennings County,255,9.97652582159624%,1,0,11469,2070,10.0000001490116%,2556
081,Johnson County,168,1.61849710982659%,0,0,45095,5774,5.99999986588955%,10380
083,Knox County,143,5.31400966183575%,1,0,17305,7709,25.9999990463257%,2691
085,Kosciusko County,278,4.18800843627599%,0,0,32188,8080,9.00000035762787%,6638
087,Lagrange County,19,0.460048426150121%,0,0,12938,3743,10.0000001490116%,4130
089,Lake County,4491,10.8355248872053%,74,12,194992,58498,20.9999993443489%,41447
091,La Porte County,331,3.79848519623594%,3,0,45621,15893,15.9999996423721%,8714
093,Lawrence County,476,13.28125%,3,0,20560,6109,14.0000000596046%,3584
095,Madison County,849,8.43852499751516%,13,2,56939,20511,15.0000005960464%,10061
097,Marion County,7300,9.64524014005417%,155,49,387183,95010,17.0000001788139%,75685
099,Marshall County,195,5.00641848523748%,2,0,18099,6102,10.0000001490116%,3895
101,Martin County,103,12.5456760048721%,3,0,4729,1175,18.0000007152557%,821
103,Miami County,191,6.71825536405206%,5,1,15299,6993,14.0000000596046%,2843
105,Monroe County,905,12.8679084316792%,2,0,50846,6469,15.9999996423721%,7033
107,Montgomery County,166,5.59487698011459%,0,0,15678,5933,12.9999995231628%,2967
109,Morgan County,191,3.40645621544498%,0,0,25908,5519,7.99999982118607%,5607
111,Newton County,22,1.99275362318841%,1,0,5726,2058,7.00000002980232%,1104
113,Noble County,135,3.05153707052441%,1,0,18233,6282,11.9999997317791%,4424
115,Ohio County,13,3.39425587467363%,0,0,2424,840,11.9999997317791%,383
117,Orange County,147,8.97435897435897%,0,0,8348,2183,10.0000001490116%,1638
119,Owen County,197,11.5882352941176%,1,0,9853,2172,10.0000001490116%,1700
121,Parke County,27,2.248126561199%,0,0,7539,2638,21.9999998807907%,1201
123,Perry County,53,4.28455941794665%,2,0,8223,2434,20.0000002980232%,1237
125,Pike County,15,1.5353121801433%,0,0,5611,1758,10.9999999403954%,977
127,Porter County,569,4.95558265110608%,3,1,57616,7786,7.99999982118607%,11482
129,Posey County,123,5.83768391077361%,1,0,11076,3069,10.9999999403954%,2107
131,Pulaski County,72,6.73526660430309%,0,0,5918,2237,11.9999997317791%,1069
133,Putnam County,246,9.79299363057325%,1,0,13505,3695,10.0000001490116%,2512
135,Randolph County,174,7.92349726775956%,3,1,11775,6127,18.9999997615814%,2196
137,Ripley County,215,8.87329756500206%,1,0,10482,3434,7.99999982118607%,2423
139,Rush County,78,4.90257699560025%,2,3,7337,3925,5.99999986588955%,1591
141,St. Joseph County,2330,10.3316778999645%,41,27,107013,36261,17.0000001788139%,22552
143,Scott County,129,6.49874055415617%,1,0,9737,2110,17.0000001788139%,1985
145,Shelby County,48,1.34907251264755%,0,0,17633,6262,12.9999995231628%,3558
147,Spencer County,105,6.94904037061549%,0,0,8333,2101,9.00000035762787%,1511
149,Starke County,52,2.71257172665623%,0,0,10201,3155,18.0000007152557%,1917
151,Steuben County,166,6.23357116034548%,1,0,17337,4676,9.00000035762787%,2663
153,Sullivan County,94,6.31296171927468%,1,0,8804,3706,18.0000007152557%,1489
155,Switzerland County,33,4.64135021097046%,0,1,4226,1238,20.0000002980232%,711
157,Tippecanoe County,1184,11.1017346460384%,11,2,58343,12421,18.9999997615814%,10665
159,Tipton County,70,5.86756077116513%,1,0,6848,2848,5.99999986588955%,1193
161,Union County,72,12.5217391304348%,1,0,3077,1202,14.0000000596046%,575
163,Vanderburgh County,1755,13.7066541705717%,36,9,76300,26808,20.0000002980232%,12804
165,Vermillion County,20,1.55400155400155%,0,0,7405,3850,11.9999997317791%,1287
167,Vigo County,549,7.10036213140197%,14,5,45203,18676,20.0000002980232%,7732
169,Wabash County,214,8.59437751004016%,0,1,14034,6208,12.9999995231628%,2490
171,Warren County,19,3.04975922953451%,0,0,3477,1465,15.0000005960464%,623
173,Warrick County,129,3.11970979443773%,0,0,20546,3246,7.99999982118607%,4135
175,Washington County,136,6.08228980322004%,0,0,11191,2822,15.9999996423721%,2236
177,Wayne County,745,14.2148444953253%,17,5,30468,13299,18.9999997615814%,5241
179,Wells County,158,7.14608774310267%,2,0,10970,4211,10.9999999403954%,2211
181,White County,84,4.21052631578947%,1,1,12083,3643,7.99999982118607%,1995
183,Whitley County,69,2.80716029292107%,0,0,12545,4477,5.99999986588955%,2458
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Indiana Total Confirmed Cases 2005,,593,,,,,,,
