"CBLS County-level Summary Data for IN, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,141,3.99999991059303%,0,0%,0,12404,4573,15.0000005960464%,3535
003,Allen County,3682,11.6999998688698%,73,1.98261814231396%,19,138905,33357,15.0000005960464%,31411
005,Bartholomew County,325,5.29999993741512%,0,0%,0,29853,6657,10.0000001490116%,6153
007,Benton County,67,9.30000022053719%,0,0%,0,3818,2000,7.99999982118607%,719
009,Blackford County,112,11.9999997317791%,1,0.892857142857143%,2,6155,2803,14.0000000596046%,937
011,Boone County,237,5.70000000298023%,2,0.843881856540084%,0,17929,5399,5.00000007450581%,4192
013,Brown County,43,5.20000010728836%,0,0%,0,7163,850,9.00000035762787%,821
015,Carroll County,93,6.3000001013279%,2,2.1505376344086%,1,8675,3856,9.00000035762787%,1470
017,Cass County,424,12.7000004053116%,5,1.17924528301887%,2,16620,7995,11.9999997317791%,3328
019,Clark County,484,5.99999986588955%,1,0.206611570247934%,0,41176,7638,12.9999995231628%,8036
021,Clay County,180,8.69999974966049%,1,0.555555555555556%,0,11097,4418,18.0000007152557%,2077
023,Clinton County,274,9.20000001788139%,4,1.45985401459854%,2,13267,6425,14.0000000596046%,2968
025,Crawford County,112,13.6000007390976%,1,0.892857142857143%,0,5138,1187,34.0000003576279%,825
027,Daviess County,91,3.20000015199184%,4,4.3956043956044%,0,11898,4257,23.9999994635582%,2835
029,Dearborn County,95,2.5000000372529%,1,1.05263157894737%,0,17791,4278,10.0000001490116%,3737
031,Decatur County,161,7.40000009536743%,1,0.62111801242236%,0,9992,3445,14.0000000596046%,2178
033,De Kalb County,275,7.99999982118607%,0,0%,0,16144,6431,7.99999982118607%,3436
035,Delaware County,973,12.7000004053116%,7,0.719424460431655%,3,51032,16269,20.0000002980232%,7646
037,Dubois County,45,1.40000004321337%,0,0%,0,15511,4150,5.00000007450581%,3258
039,Elkhart County,2452,12.8999993205071%,35,1.42740619902121%,10,69791,18341,12.9999995231628%,19073
041,Fayette County,160,8.69999974966049%,1,0.625%,1,10981,4382,7.99999982118607%,1834
043,Floyd County,686,12.8999993205071%,8,1.16618075801749%,4,29087,7209,18.0000007152557%,5306
045,Fountain County,121,9.20000001788139%,4,3.30578512396694%,2,7692,3297,12.9999995231628%,1318
047,Franklin County,158,9.00000035762787%,1,0.632911392405063%,0,8596,2547,7.00000002980232%,1755
049,Fulton County,66,4.39999997615814%,0,0%,1,9123,3221,10.9999999403954%,1495
051,Gibson County,182,7.40000009536743%,0,0%,1,14125,4770,14.0000000596046%,2455
053,Grant County,702,14.6999999880791%,3,0.427350427350427%,1,30560,10711,20.9999993443489%,4779
055,Greene County,193,7.99999982118607%,1,0.518134715025907%,0,15053,4788,17.0000001788139%,2418
057,Hamilton County,532,2.30000000447035%,5,0.93984962406015%,0,69478,5883,2.99999993294477%,22750
059,Hancock County,95,1.89999993890524%,0,0%,0,21750,4347,2.99999993294477%,5019
061,Harrison County,328,12.2000001370907%,1,0.304878048780488%,0,13699,2856,7.99999982118607%,2678
063,Hendricks County,341,3.50000001490116%,0,0%,0,39229,5218,1.99999995529652%,9749
065,Henry County,205,6.3000001013279%,2,0.975609756097561%,0,20592,8664,12.9999995231628%,3246
067,Howard County,1000,14.4999995827675%,7,0.7%,3,37604,11348,18.9999997615814%,6894
069,Huntington County,112,3.90000008046627%,3,2.67857142857143%,0,15269,7213,5.99999986588955%,2883
071,Jackson County,232,6.49999976158142%,2,0.862068965517241%,2,17137,4323,10.9999999403954%,3563
073,Jasper County,154,6.3000001013279%,0,0%,0,11236,2959,7.99999982118607%,2455
