"CBLS County-level Summary Data for IN, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,233,6.59999996423721%,1,0.429184549356223%,0,12404,4573,15.0000005960464%,3538
003,Allen County,4566,14.3999993801117%,73,1.598773543583%,26,138905,33357,15.0000005960464%,31704
005,Bartholomew County,329,5.20000010728836%,0,0%,0,29853,6657,10.0000001490116%,6270
007,Benton County,59,8.20000022649765%,0,0%,0,3818,2000,7.99999982118607%,716
009,Blackford County,144,16.2000000476837%,0,0%,2,6155,2803,14.0000000596046%,890
011,Boone County,360,7.99999982118607%,1,0.277777777777778%,0,17929,5399,5.00000007450581%,4515
013,Brown County,56,7.40000009536743%,0,0%,0,7163,850,9.00000035762787%,757
015,Carroll County,108,7.69999995827675%,0,0%,1,8675,3856,9.00000035762787%,1399
017,Cass County,479,14.8000001907349%,8,1.67014613778706%,2,16620,7995,11.9999997317791%,3233
019,Clark County,777,9.0999998152256%,1,0.128700128700129%,0,41176,7638,12.9999995231628%,8510
021,Clay County,186,9.20000001788139%,0,0%,0,11097,4418,18.0000007152557%,2029
023,Clinton County,349,11.8000000715256%,5,1.43266475644699%,1,13267,6425,14.0000000596046%,2955
025,Crawford County,139,18.4000000357628%,0,0%,0,5138,1187,34.0000003576279%,755
027,Daviess County,123,4.30000014603138%,0,0%,0,11898,4257,23.9999994635582%,2884
029,Dearborn County,124,3.20000015199184%,0,0%,0,17791,4278,10.0000001490116%,3918
031,Decatur County,183,8.39999988675118%,4,2.18579234972678%,0,9992,3445,14.0000000596046%,2173
033,De Kalb County,245,7.19999969005585%,2,0.816326530612245%,0,16144,6431,7.99999982118607%,3424
035,Delaware County,1226,16.2000000476837%,6,0.489396411092985%,1,51032,16269,20.0000002980232%,7547
037,Dubois County,127,3.90000008046627%,2,1.5748031496063%,0,15511,4150,5.00000007450581%,3268
039,Elkhart County,2926,14.6999999880791%,50,1.70881749829118%,13,69791,18341,12.9999995231628%,19894
041,Fayette County,227,12.5%,3,1.3215859030837%,1,10981,4382,7.99999982118607%,1817
043,Floyd County,746,13.6999994516373%,3,0.402144772117963%,3,29087,7209,18.0000007152557%,5443
045,Fountain County,108,8.79999995231628%,1,0.925925925925926%,2,7692,3297,12.9999995231628%,1234
047,Franklin County,175,9.89999994635582%,2,1.14285714285714%,0,8596,2547,7.00000002980232%,1776
049,Fulton County,81,5.29999993741512%,0,0%,1,9123,3221,10.9999999403954%,1528
051,Gibson County,200,7.99999982118607%,1,0.5%,1,14125,4770,14.0000000596046%,2509
053,Grant County,1097,24.099999666214%,9,0.820419325432999%,0,30560,10711,20.9999993443489%,4543
055,Greene County,173,7.29999989271164%,0,0%,0,15053,4788,17.0000001788139%,2373
