"CBLS County-level Summary Data for IN, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,232,6.40000030398369%,0,0%,0,12404,4573,15.0000005960464%,3653
003,Allen County,4330,13.6000007390976%,105,2.42494226327945%,32,138905,33357,15.0000005960464%,31913
005,Bartholomew County,760,11.9000002741814%,0,0%,0,29853,6657,10.0000001490116%,6410
007,Benton County,54,7.69999995827675%,0,0%,0,3818,2000,7.99999982118607%,705
009,Blackford County,139,15.8000007271767%,1,0.719424460431655%,1,6155,2803,14.0000000596046%,880
011,Boone County,240,5.29999993741512%,2,0.833333333333333%,0,17929,5399,5.00000007450581%,4532
013,Brown County,86,12.3999997973442%,0,0%,0,7163,850,9.00000035762787%,694
015,Carroll County,109,8.10000002384186%,0,0%,1,8675,3856,9.00000035762787%,1352
017,Cass County,428,13.0999997258186%,11,2.57009345794392%,2,16620,7995,11.9999997317791%,3278
019,Clark County,1290,14.8000001907349%,3,0.232558139534884%,0,41176,7638,12.9999995231628%,8745
021,Clay County,210,10.1999998092651%,1,0.476190476190476%,0,11097,4418,18.0000007152557%,2050
023,Clinton County,263,8.69999974966049%,7,2.6615969581749%,2,13267,6425,14.0000000596046%,3023
025,Crawford County,85,11.4000000059605%,0,0%,0,5138,1187,34.0000003576279%,745
027,Daviess County,171,5.79999983310699%,7,4.09356725146199%,1,11898,4257,23.9999994635582%,2965
029,Dearborn County,221,5.60000017285347%,1,0.452488687782805%,0,17791,4278,10.0000001490116%,3933
031,Decatur County,213,9.7000002861023%,2,0.938967136150235%,0,9992,3445,14.0000000596046%,2206
033,De Kalb County,323,9.49999988079071%,3,0.928792569659443%,1,16144,6431,7.99999982118607%,3406
035,Delaware County,1179,15.6000003218651%,8,0.678541136556404%,1,51032,16269,20.0000002980232%,7564
037,Dubois County,149,4.50000017881393%,0,0%,0,15511,4150,5.00000007450581%,3314
039,Elkhart County,10,0%,0,0%,0,69791,18341,12.9999995231628%,20098
041,Fayette County,328,18.0000007152557%,3,0.914634146341463%,1,10981,4382,7.99999982118607%,1823
043,Floyd County,608,11.1000001430511%,6,0.986842105263158%,3,29087,7209,18.0000007152557%,5501
045,Fountain County,105,8.60000029206276%,2,1.90476190476191%,2,7692,3297,12.9999995231628%,1219
047,Franklin County,159,8.69999974966049%,2,1.25786163522013%,0,8596,2547,7.00000002980232%,1828
049,Fulton County,93,6.10000006854534%,1,1.0752688172043%,1,9123,3221,10.9999999403954%,1529
051,Gibson County,242,9.79999974370003%,1,0.413223140495868%,1,14125,4770,14.0000000596046%,2478
053,Grant County,529,11.2999998033047%,9,1.70132325141777%,2,30560,10711,20.9999993443489%,4686
055,Greene County,340,14.5999997854233%,0,0%,0,15053,4788,17.0000001788139%,2326
057,Hamilton County,587,2.30000000447035%,2,0.340715502555366%,0,69478,5883,2.99999993294477%,25375
059,Hancock County,235,4.10000011324883%,0,0%,0,21750,4347,2.99999993294477%,5718
061,Harrison County,191,6.89999982714653%,2,1.04712041884817%,0,13699,2856,7.99999982118607%,2780
063,Hendricks County,333,3.09999994933605%,2,0.600600600600601%,0,39229,5218,1.99999995529652%,10917
065,Henry County,460,14.3999993801117%,5,1.08695652173913%,1,20592,8664,12.9999995231628%,3203
067,Howard County,1149,17.399999499321%,2,0.174064403829417%,2,37604,11348,18.9999997615814%,6589
069,Huntington County,181,6.49999976158142%,3,1.65745856353591%,0,15269,7213,5.99999986588955%,2779
071,Jackson County,313,8.90000015497208%,0,0%,1,17137,4323,10.9999999403954%,3502
073,Jasper County,234,8.60000029206276%,3,1.28205128205128%,0,11236,2959,7.99999982118607%,2716
075,Jay County,196,10.9999999403954%,0,0%,0,9074,4709,15.9999996423721%,1787
077,Jefferson County,342,15.0999993085861%,3,0.87719298245614%,1,13386,3426,14.0000000596046%,2270
079,Jennings County,365,15.7000005245209%,2,0.547945205479452%,0,11469,2070,10.0000001490116%,2329
081,Johnson County,559,4.80000004172325%,0,0%,0,45095,5774,5.99999986588955%,11544
083,Knox County,205,7.50000029802322%,3,1.46341463414634%,0,17305,7709,25.9999990463257%,2747
085,Kosciusko County,415,6.3000001013279%,1,0.240963855421687%,0,32188,8080,9.00000035762787%,6542
087,Lagrange County,124,2.8999999165535%,0,0%,0,12938,3743,10.0000001490116%,4249
089,Lake County,4270,10.1999998092651%,42,0.983606557377049%,18,194992,58498,20.9999993443489%,41791
091,La Porte County,723,8.79999995231628%,12,1.6597510373444%,0,45621,15893,15.9999996423721%,8189
093,Lawrence County,619,19.200000166893%,0,0%,1,20560,6109,14.0000000596046%,3228
095,Madison County,1125,11.599999666214%,13,1.15555555555556%,1,56939,20511,15.0000005960464%,9706
097,Marion County,11885,13.6999994516373%,102,0.858224652923854%,40,387183,95010,17.0000001788139%,86810
099,Marshall County,417,10.4000002145767%,3,0.719424460431655%,0,18099,6102,10.0000001490116%,4019
101,Martin County,129,17.7000001072884%,0,0%,0,4729,1175,18.0000007152557%,728
103,Miami County,259,10.1000003516674%,2,0.772200772200772%,1,15299,6993,14.0000000596046%,2561
105,Monroe County,1712,21.2999999523163%,3,0.175233644859813%,0,50846,6469,15.9999996423721%,8046
107,Montgomery County,232,8.20000022649765%,2,0.862068965517241%,0,15678,5933,12.9999995231628%,2820
109,Morgan County,525,9.7000002861023%,2,0.380952380952381%,0,25908,5519,7.99999982118607%,5395
111,Newton County,68,7.90000036358833%,0,0%,0,5726,2058,7.00000002980232%,859
113,Noble County,235,5.60000017285347%,0,0%,0,18233,6282,11.9999997317791%,4184
115,Ohio County,20,5.00000007450581%,0,0%,0,2424,840,11.9999997317791%,398
117,Orange County,219,14.5999997854233%,0,0%,1,8348,2183,10.0000001490116%,1497
119,Owen County,356,24.1999998688698%,1,0.280898876404494%,0,9853,2172,10.0000001490116%,1471
121,Parke County,65,5.79999983310699%,0,0%,0,7539,2638,21.9999998807907%,1119
123,Perry County,124,9.20000001788139%,0,0%,0,8223,2434,20.0000002980232%,1354
125,Pike County,54,5.79999983310699%,0,0%,0,5611,1758,10.9999999403954%,931
127,Porter County,659,5.49999997019768%,5,0.758725341426404%,2,57616,7786,7.99999982118607%,11989
129,Posey County,135,8.69999974966049%,1,0.740740740740741%,0,11076,3069,10.9999999403954%,1559
131,Pulaski County,56,5.60000017285347%,2,3.57142857142857%,0,5918,2237,11.9999997317791%,1000
133,Putnam County,472,19.4000005722046%,2,0.423728813559322%,0,13505,3695,10.0000001490116%,2435
135,Randolph County,177,9.79999974370003%,0,0%,1,11775,6127,18.9999997615814%,1813
137,Ripley County,278,11.9999997317791%,2,0.719424460431655%,0,10482,3434,7.99999982118607%,2319
