"CBLS County-level Summary Data for IN, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams,104,2.73900447721886%,,0%,12404,4573,15.0000005960464%,3797
003,Allen,2526,7.82843152446772%,44,1.74188440221694%,138905,33357,15.0000005960464%,32267
005,Bartholomew,517,8.03793532338309%,2,0.386847195357834%,29853,6657,10.0000001490116%,6432
007,Benton,48,6.81818181818182%,1,2.08333333333333%,3818,2000,7.99999982118607%,704
009,Blackford,65,7.42009132420091%,1,1.53846153846154%,6155,2803,14.0000000596046%,876
011,Boone,291,6.03233830845771%,2,0.687285223367698%,17929,5399,5.00000007450581%,4824
013,Brown,74,10.5113636363636%,,0%,7163,850,9.00000035762787%,704
015,Carroll,81,5.72842998585573%,1,1.23456790123457%,8675,3856,9.00000035762787%,1414
017,Cass,362,10.7706039869087%,3,0.828729281767956%,16620,7995,11.9999997317791%,3361
019,Clark,895,10.2215623572408%,,0%,41176,7638,12.9999995231628%,8756
021,Clay,122,6.03960396039604%,,0%,11097,4418,18.0000007152557%,2020
023,Clinton,195,6.0766593954503%,1,0.512820512820513%,13267,6425,14.0000000596046%,3209
025,Crawford,90,13.1004366812227%,,0%,5138,1187,34.0000003576279%,687
027,Daviess,112,3.56574339382362%,3,2.67857142857143%,11898,4257,23.9999994635582%,3141
029,Dearborn,159,4.01616569840869%,1,0.628930817610063%,17791,4278,10.0000001490116%,3959
031,Decatur,144,6.79245283018868%,,0%,9992,3445,14.0000000596046%,2120
033,DeKalb,202,5.84998551983782%,1,0.495049504950495%,16144,6431,7.99999982118607%,3453
035,Delaware,810,10.6592972759574%,5,0.617283950617284%,51032,16269,20.0000002980232%,7599
037,Dubois,153,4.54140694568121%,,0%,15511,4150,5.00000007450581%,3369
039,Elkhart,23,0.112656739811912%,,0%,69791,18341,12.9999995231628%,20416
041,Fayette,215,11.6847826086957%,2,0.930232558139535%,10981,4382,7.99999982118607%,1840
043,Floyd,435,7.79430209639849%,1,0.229885057471264%,29087,7209,18.0000007152557%,5581
045,Fountain,74,5.97738287560582%,2,2.7027027027027%,7692,3297,12.9999995231628%,1238
047,Franklin,95,5.04782146652497%,,0%,8596,2547,7.00000002980232%,1882
049,Fulton,70,4.35594275046671%,1,1.42857142857143%,9123,3221,10.9999999403954%,1607
051,Gibson,151,5.92621664050235%,4,2.64900662251656%,14125,4770,14.0000000596046%,2548
053,Grant,271,5.64700979370702%,2,0.738007380073801%,30560,10711,20.9999993443489%,4799
055,Greene,231,9.8381601362862%,2,0.865800865800866%,15053,4788,17.0000001788139%,2348
057,Hamilton,630,2.44299674267101%,,0%,69478,5883,2.99999993294477%,25788
059,Hancock,171,2.94269488900361%,,0%,21750,4347,2.99999993294477%,5811
061,Harrison,338,11.859649122807%,,0%,13699,2856,7.99999982118607%,2850
063,Hendricks,226,2.01139195443218%,1,0.442477876106195%,39229,5218,1.99999995529652%,11236
065,Henry,357,10.9074243813016%,3,0.840336134453782%,20592,8664,12.9999995231628%,3273
067,Howard,679,10.4800123475845%,3,0.441826215022091%,37604,11348,18.9999997615814%,6479
069,Huntington,177,6.16724738675958%,,0%,15269,7213,5.99999986588955%,2870
071,Jackson,211,6.02512849800114%,,0%,17137,4323,10.9999999403954%,3502
073,Jasper,127,4.53895639742673%,2,1.5748031496063%,11236,2959,7.99999982118607%,2798
075,Jay,135,7.29335494327391%,1,0.740740740740741%,9074,4709,15.9999996423721%,1851
077,Jefferson,204,9.03854674346478%,2,0.980392156862745%,13386,3426,14.0000000596046%,2257
079,Jennings,247,10.8523725834798%,2,0.809716599190283%,11469,2070,10.0000001490116%,2276
081,Johnson,394,3.35233557389603%,5,1.26903553299492%,45095,5774,5.99999986588955%,11753
083,Knox,162,5.79191991419378%,3,1.85185185185185%,17305,7709,25.9999990463257%,2797
085,Kosciusko,241,3.65372953305033%,1,0.4149377593361%,32188,8080,9.00000035762787%,6596
087,LaGrange,60,1.38953219082909%,,0%,12938,3743,10.0000001490116%,4318
089,Lake,2907,6.8767298275495%,14,0.481596147230822%,194992,58498,20.9999993443489%,42273
091,LaPorte,28,0.336013440537621%,,0%,45621,15893,15.9999996423721%,8333
093,Lawrence,448,13.8957816377171%,1,0.223214285714286%,20560,6109,14.0000000596046%,3224
095,Madison,931,9.49225122349103%,3,0.322234156820623%,56939,20511,15.0000005960464%,9808
097,Marion,8340,9.72867041504328%,51,0.611510791366906%,387183,95010,17.0000001788139%,85726
099,Marshall,276,6.76968359087564%,,0%,18099,6102,10.0000001490116%,4077
101,Martin,77,10.3355704697987%,,0%,4729,1175,18.0000007152557%,745
103,Miami,165,6.33640552995392%,6,3.63636363636364%,15299,6993,14.0000000596046%,2604
105,Monroe,1200,15.1898734177215%,2,0.166666666666667%,50846,6469,15.9999996423721%,7900
107,Montgomery,200,6.9589422407794%,2,1%,15678,5933,12.9999995231628%,2874
109,Morgan,336,6.25931445603577%,2,0.595238095238095%,25908,5519,7.99999982118607%,5368
111,Newton,49,5.71761960326721%,,0%,5726,2058,7.00000002980232%,857
113,Noble,159,3.77851711026616%,,0%,18233,6282,11.9999997317791%,4208
115,Ohio,10,2.5062656641604%,,0%,2424,840,11.9999997317791%,399
117,Orange,176,11.376858435682%,1,0.568181818181818%,8348,2183,10.0000001490116%,1547
119,Owen,238,16.3013698630137%,,0%,9853,2172,10.0000001490116%,1460
121,Parke,39,3.40909090909091%,,0%,7539,2638,21.9999998807907%,1144
123,Perry,78,5.82089552238806%,1,1.28205128205128%,8223,2434,20.0000002980232%,1340
125,Pike,32,3.53591160220994%,,0%,5611,1758,10.9999999403954%,905
127,Porter,488,4.08129129380279%,1,0.204918032786885%,57616,7786,7.99999982118607%,11957
129,Posey,145,9.28297055057618%,,0%,11076,3069,10.9999999403954%,1562
131,Pulaski,14,1.40280561122245%,,0%,5918,2237,11.9999997317791%,998
133,Putnam,272,11.3664855829503%,,0%,13505,3695,10.0000001490116%,2393
135,Randolph,111,5.83289542827115%,2,1.8018018018018%,11775,6127,18.9999997615814%,1903
137,Ripley,214,9.30839495432797%,6,2.80373831775701%,10482,3434,7.99999982118607%,2299
139,Rush,63,5.02392344497608%,2,3.17460317460317%,7337,3925,5.99999986588955%,1254
141,St. Joseph,2237,9.81570864414217%,27,1.20697362539115%,107013,36261,17.0000001788139%,22790
143,Scott,134,7.21205597416577%,,0%,9737,2110,17.0000001788139%,1858
145,Shelby,94,2.69804822043628%,,0%,17633,6262,12.9999995231628%,3484
147,Spencer,139,9.61272475795298%,,0%,8333,2101,9.00000035762787%,1446
149,Starke,95,5.10204081632653%,,0%,10201,3155,18.0000007152557%,1862
151,Steuben,262,10.6158833063209%,1,0.381679389312977%,17337,4676,9.00000035762787%,2468
153,Sullivan,86,6.34686346863469%,2,2.32558139534884%,8804,3706,18.0000007152557%,1355
155,Switzerland,27,3.63391655450875%,1,3.7037037037037%,4226,1238,20.0000002980232%,743
157,Tippecanoe,1591,12.2018559705499%,3,0.188560653676933%,58343,12421,18.9999997615814%,13039
159,Tipton,29,2.58007117437722%,,0%,6848,2848,5.99999986588955%,1124
161,Union,61,11.6858237547893%,1,1.63934426229508%,3077,1202,14.0000000596046%,522
163,Vanderburgh,1702,12.0529707527795%,9,0.528789659224442%,76300,26808,20.0000002980232%,14121
165,Vermillion,46,3.96551724137931%,1,2.17391304347826%,7405,3850,11.9999997317791%,1160
167,Vigo,973,12.5338142470694%,4,0.411099691675231%,45203,18676,20.0000002980232%,7763
169,Wabash,233,10.3234381922907%,,0%,14034,6208,12.9999995231628%,2257
171,Warren,25,4.55373406193078%,,0%,3477,1465,15.0000005960464%,549
173,Warrick,177,3.96239086635326%,,0%,20546,3246,7.99999982118607%,4467
175,Washington,158,7.62180414857694%,,0%,11191,2822,15.9999996423721%,2073
177,Wayne,462,8.80670987418986%,4,0.865800865800866%,30468,13299,18.9999997615814%,5246
179,Wells,121,5.8852140077821%,1,0.826446280991735%,10970,4211,10.9999999403954%,2056
181,White,78,4.01854714064915%,,0%,12083,3643,7.99999982118607%,1941
183,Whitley,80,3.08999613750483%,,0%,12545,4477,5.99999986588955%,2589
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Indiana 2009 Confirmed Cases,,250,,,,,,
