"CBLS County-level Summary Data for KS, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Allen County,164,23,0,0%,0,6449,2838,28.0000001192093%
003,Anderson County,101,19,1,0.999999977648258%,0,3596,1552,20.0000002980232%
005,Atchison County,238,20,2,0.800000037997961%,2,6818,3406,11.9999997317791%
007,Barber County,54,11,1,1.89999993890524%,0,2740,1455,14.0000000596046%
009,Barton County,169,18,3,1.79999992251396%,2,12888,4715,20.0000002980232%
011,Bourbon County,96,17,3,3.09999994933605%,0,7135,3398,23.0000004172325%
013,Brown County,98,17,2,1.99999995529652%,0,4815,2585,20.0000002980232%
015,Butler County,108,4,2,1.89999993890524%,0,23176,5797,10.9999999403954%
017,Chase County,10,3,0,0%,0,1529,802,11.9999997317791%
019,Chautauqua Coun,101,12,0,0%,0,2169,1206,18.0000007152557%
021,Cherokee County,203,24,1,0.499999988824129%,2,10031,4187,21.9999998807907%
023,Cheyenne County,7,.,0,0%,0,1636,966,15.9999996423721%
025,Clark County,5,.,0,0%,0,1111,624,18.9999997615814%
027,Clay County,83,6,1,1.20000001043081%,0,4084,2211,15.0000005960464%
029,Cloud County,56,9,0,0%,0,4838,2813,20.9999993443489%
031,Coffey County,12,.,0,0%,0,3876,1472,5.00000007450581%
033,Comanche County,10,.,2,20.0000002980232%,0,1088,748,17.0000001788139%
035,Cowley County,439,43,3,0.700000021606684%,0,15673,6824,25%
037,Crawford County,534,38,1,0.20000000949949%,0,17221,7002,21.9999998807907%
039,Decatur County,18,.,0,0%,0,1821,980,10.9999999403954%
041,Dickinson Count,273,19,0,0%,1,8686,4205,7.99999982118607%
043,Doniphan County,34,1,0,0%,0,3489,1521,18.0000007152557%
045,Douglas County,428,2,1,0.20000000949949%,0,40250,6271,10.9999999403954%
047,Edwards County,33,4,0,0%,0,1754,1038,20.9999993443489%
049,Elk County,13,2,0,0%,0,1860,1111,11.9999997317791%
051,Ellis County,338,26,4,1.20000001043081%,2,12078,2693,10.0000001490116%
053,Ellsworth Count,123,5,2,1.60000007599592%,0,3228,1672,7.99999982118607%
055,Finney County,314,10,0,0%,0,13763,2237,23.0000004172325%
057,Ford County,651,14,5,0.800000037997961%,1,11650,2960,15.9999996423721%
059,Franklin County,161,8,1,0.600000005215406%,0,10229,3756,11.9999997317791%
061,Geary County,320,10,3,0.899999961256981%,0,11959,2801,20.0000002980232%
063,Gove County,15,1,0,0%,0,1423,614,15.0000005960464%
065,Graham County,34,2,0,0%,0,1553,701,23.0000004172325%
067,Grant County,74,2,0,0%,0,3027,436,14.0000000596046%
069,Gray County,45,.,0,0%,0,2181,733,20.9999993443489%
071,Greeley County,41,3,0,0%,0,712,277,17.0000001788139%
073,Greenwood Count,113,29,8,7.10000023245811%,1,4273,2029,25.9999990463257%
075,Hamilton County,6,1,0,0%,0,1211,430,23.0000004172325%
077,Harper County,17,4,0,0%,0,3270,1807,20.9999993443489%
079,Harvey County,198,7,2,0.999999977648258%,0,13378,4249,7.99999982118607%
081,Haskell County,32,3,0,0%,0,1639,421,17.0000001788139%
083,Hodgeman County,33,3,0,0%,0,945,482,17.0000001788139%
085,Jackson County,144,10,1,0.700000021606684%,0,5094,1918,12.9999995231628%
087,Jefferson Count,92,8,0,0%,0,7491,2069,10.9999999403954%
089,Jewell County,19,2,2,10.4999996721745%,0,2103,1407,15.0000005960464%
091,Johnson County,2490,22,1,0%,0,181612,14110,2.99999993294477%
093,Kearny County,16,1,0,0%,0,1657,424,20.9999993443489%
095,Kingman County,29,6,0,0%,0,3852,1958,15.0000005960464%
097,Kiowa County,25,3,0,0%,0,1643,802,17.0000001788139%
099,Labette County,175,17,2,1.09999999403954%,1,10306,5261,20.9999993443489%
101,Lane County,5,.,0,0%,0,1065,478,14.0000000596046%
103,Leavenworth Cou,655,51,3,0.499999988824129%,1,24401,6285,9.00000035762787%
105,Lincoln County,60,7,1,1.7000000923872%,0,1853,1202,17.0000001788139%
107,Linn County,32,2,0,0%,0,4720,1625,14.0000000596046%
109,Logan County,28,.,0,0%,0,1423,594,9.00000035762787%
111,Lyon County,275,13,4,1.49999996647239%,1,14757,5060,21.9999998807907%
113,McPherson Count,197,11,2,0.999999977648258%,0,11830,4364,9.00000035762787%
115,Marion County,67,6,0,0%,0,5882,2844,10.0000001490116%
117,Marshall County,168,20,2,1.20000001043081%,1,4999,2929,12.9999995231628%
119,Meade County,65,6,0,0%,0,1968,902,15.0000005960464%
