"CBLS County-level Summary Data for KS, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Allen County,94,9.79999974370003%,2,2.12765957446808%,0,6449,2838,28.0000001192093%,964
003,Anderson County,83,14.2000004649162%,1,1.20481927710843%,0,3596,1552,20.0000002980232%,586
005,Atchison County,175,13.0999997258186%,5,2.85714285714286%,0,6818,3406,11.9999997317791%,1336
007,Barber County,28,10.1999998092651%,2,7.14285714285714%,0,2740,1455,14.0000000596046%,275
009,Barton County,127,6.3000001013279%,3,2.36220472440945%,0,12888,4715,20.0000002980232%,2019
011,Bourbon County,35,2.80000008642673%,1,2.85714285714286%,0,7135,3398,23.0000004172325%,1235
013,Brown County,97,12.0999999344349%,6,6.18556701030928%,1,4815,2585,20.0000002980232%,800
015,Butler County,121,2.60000005364418%,0,0%,1,23176,5797,10.9999999403954%,4608
017,Chase County,7,2.40000002086163%,0,0%,0,1529,802,11.9999997317791%,295
019,Chautauqua County,15,6.10000006854534%,1,6.66666666666667%,0,2169,1206,18.0000007152557%,246
021,Cherokee County,233,14.9000003933907%,8,3.43347639484979%,1,10031,4187,21.9999998807907%,1560
023,Cheyenne County,19,12.2000001370907%,0,0%,0,1636,966,15.9999996423721%,156
025,Clark County,7,4.80000004172325%,0,0%,0,1111,624,18.9999997615814%,147
027,Clay County,38,7.00000002980232%,1,2.63157894736842%,0,4084,2211,15.0000005960464%,541
029,Cloud County,41,6.70000016689301%,2,4.87804878048781%,0,4838,2813,20.9999993443489%,615
031,Coffey County,40,6.40000030398369%,2,5%,0,3876,1472,5.00000007450581%,622
033,Comanche County,,,,,,1088,748,17.0000001788139%,112
035,Cowley County,372,14.0000000596046%,9,2.41935483870968%,3,15673,6824,25%,2649
037,Crawford County,231,7.69999995827675%,1,0.432900432900433%,2,17221,7002,21.9999998807907%,2993
039,Decatur County,,,,,,1821,980,10.9999999403954%,143
041,Dickinson County,213,16.8999999761581%,6,2.8169014084507%,0,8686,4205,7.99999982118607%,1264
043,Doniphan County,72,15.2999997138977%,1,1.38888888888889%,0,3489,1521,18.0000007152557%,471
045,Douglas County,332,4.50000017881393%,0,0%,0,40250,6271,10.9999999403954%,7352
047,Edwards County,30,12.8999993205071%,1,3.33333333333333%,0,1754,1038,20.9999993443489%,233
049,Elk County,9,4.19999994337559%,0,0%,0,1860,1111,11.9999997317791%,215
