"CBLS County-level Summary Data for KS, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Allen County,104,10.4999996721745%,2,1.92307692307692%,0,6449,2838,28.0000001192093%,991
003,Anderson County,117,18.5000002384186%,0,0%,0,3596,1552,20.0000002980232%,633
005,Atchison County,250,19.200000166893%,3,1.2%,1,6818,3406,11.9999997317791%,1299
007,Barber County,43,14.8000001907349%,1,2.32558139534884%,0,2740,1455,14.0000000596046%,290
009,Barton County,333,15.6000003218651%,9,2.7027027027027%,1,12888,4715,20.0000002980232%,2136
011,Bourbon County,48,3.70000004768372%,2,4.16666666666667%,0,7135,3398,23.0000004172325%,1284
013,Brown County,109,13.3000001311302%,4,3.6697247706422%,3,4815,2585,20.0000002980232%,817
015,Butler County,142,2.8999999165535%,2,1.40845070422535%,0,23176,5797,10.9999999403954%,4889
017,Chase County,13,6.40000030398369%,0,0%,0,1529,802,11.9999997317791%,204
019,Chautauqua County,44,20.2000007033348%,2,4.54545454545455%,0,2169,1206,18.0000007152557%,218
021,Cherokee County,240,16.2000000476837%,3,1.25%,2,10031,4187,21.9999998807907%,1486
023,Cheyenne County,22,16.5000006556511%,0,0%,0,1636,966,15.9999996423721%,133
025,Clark County,6,4.50000017881393%,0,0%,0,1111,624,18.9999997615814%,133
027,Clay County,78,11.9999997317791%,4,5.12820512820513%,0,4084,2211,15.0000005960464%,649
029,Cloud County,63,9.79999974370003%,0,0%,0,4838,2813,20.9999993443489%,643
031,Coffey County,27,4.69999983906746%,0,0%,0,3876,1472,5.00000007450581%,572
033,Comanche County,n,,n,#VALUE!,n,1088,748,17.0000001788139%,109
035,Cowley County,355,13.1999999284744%,2,0.563380281690141%,1,15673,6824,25%,2693
037,Crawford County,415,13.3000001311302%,0,0%,1,17221,7002,21.9999998807907%,3109
039,Decatur County,26,20.8000004291534%,0,0%,0,1821,980,10.9999999403954%,125
041,Dickinson County,176,12.7000004053116%,3,1.70454545454545%,1,8686,4205,7.99999982118607%,1391
043,Doniphan County,85,17.2999992966652%,0,0%,0,3489,1521,18.0000007152557%,492
045,Douglas County,580,7.59999975562096%,1,0.172413793103448%,0,40250,6271,10.9999999403954%,7589
047,Edwards County,28,11.1000001430511%,0,0%,0,1754,1038,20.9999993443489%,252
049,Elk County,14,6.70000016689301%,1,7.14285714285714%,0,1860,1111,11.9999997317791%,208
051,Ellis County,345,16.4000004529953%,12,3.47826086956522%,3,12078,2693,10.0000001490116%,2100
053,Ellsworth County,103,33.1000000238419%,0,0%,0,3228,1672,7.99999982118607%,311
055,Finney County,438,9.7000002861023%,2,0.45662100456621%,0,13763,2237,23.0000004172325%,4508
057,Ford County,401,10.700000077486%,2,0.498753117206983%,0,11650,2960,15.9999996423721%,3747
059,Franklin County,231,10.3000000119209%,3,1.2987012987013%,1,10229,3756,11.9999997317791%,2244
061,Geary County,211,5.60000017285347%,1,0.4739336492891%,0,11959,2801,20.0000002980232%,3767
