"CBLS County-level Summary Data for KS, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Allen,146,14.4554455445545%,,0%,6449,2838,28.0000001192093%,1010
003,Anderson,79,11.9155354449472%,,0%,3596,1552,20.0000002980232%,663
005,Atchison,269,20.8043310131477%,3,1.11524163568773%,6818,3406,11.9999997317791%,1293
007,Barber,75,23.8853503184713%,,0%,2740,1455,14.0000000596046%,314
009,Barton,534,23.5035211267606%,6,1.12359550561798%,12888,4715,20.0000002980232%,2272
011,Bourbon,58,4.3972706595906%,2,3.44827586206897%,7135,3398,23.0000004172325%,1319
013,Brown,121,14.560770156438%,,0%,4815,2585,20.0000002980232%,831
015,Butler,174,3.30108138873079%,1,0.574712643678161%,23176,5797,10.9999999403954%,5271
017,Chase,24,12.4352331606218%,,0%,1529,802,11.9999997317791%,193
019,Chautauqua,60,24.7933884297521%,,0%,2169,1206,18.0000007152557%,242
021,Cherokee,380,25.4010695187166%,1,0.263157894736842%,10031,4187,21.9999998807907%,1496
023,Cheyenne,25,17.1232876712329%,,0%,1636,966,15.9999996423721%,146
025,Clark,5,3.06748466257669%,,0%,1111,624,18.9999997615814%,163
027,Clay,121,17.8729689807976%,2,1.65289256198347%,4084,2211,15.0000005960464%,677
029,Cloud,64,9.53800298062593%,,0%,4838,2813,20.9999993443489%,671
031,Coffey,40,6.28930817610063%,1,2.5%,3876,1472,5.00000007450581%,636
033,Comanche,1,0.87719298245614%,,0%,1088,748,17.0000001788139%,114
035,Cowley,513,18.8325991189427%,1,0.194931773879142%,15673,6824,25%,2724
037,Crawford,747,24.5723684210526%,3,0.401606425702811%,17221,7002,21.9999998807907%,3040
039,Decatur,22,14.4736842105263%,,0%,1821,980,10.9999999403954%,152
041,Dickinson,263,18.1379310344828%,4,1.52091254752852%,8686,4205,7.99999982118607%,1450
043,Doniphan,77,15.6822810590631%,,0%,3489,1521,18.0000007152557%,491
045,Douglas,651,8.78186968838527%,1,0.153609831029186%,40250,6271,10.9999999403954%,7413
047,Edwards,35,14.6443514644351%,,0%,1754,1038,20.9999993443489%,239
049,Elk,17,8.0952380952381%,,0%,1860,1111,11.9999997317791%,210
051,Ellis,413,19.7041984732824%,2,0.484261501210654%,12078,2693,10.0000001490116%,2096
053,Ellsworth,143,41.2103746397695%,2,1.3986013986014%,3228,1672,7.99999982118607%,347
055,Finney,405,8.47634993721222%,1,0.246913580246914%,13763,2237,23.0000004172325%,4778
057,Ford,357,9.26070038910506%,1,0.280112044817927%,11650,2960,15.9999996423721%,3855
059,Franklin,218,9.5740008783487%,4,1.8348623853211%,10229,3756,11.9999997317791%,2277
061,Geary,253,6.80473372781065%,,0%,11959,2801,20.0000002980232%,3718
063,Gove,23,12.8491620111732%,,0%,1423,614,15.0000005960464%,179
065,Graham,41,29.2857142857143%,,0%,1553,701,23.0000004172325%,140
067,Grant,76,9.54773869346734%,,0%,3027,436,14.0000000596046%,796
069,Gray,36,5.8252427184466%,,0%,2181,733,20.9999993443489%,618
071,Greeley,29,28.4313725490196%,,0%,712,277,17.0000001788139%,102
073,Greenwood,181,39.2624728850325%,3,1.65745856353591%,4273,2029,25.9999990463257%,461
075,Hamilton,5,1.97628458498024%,,0%,1211,430,23.0000004172325%,253
077,Harper,16,3.69515011547344%,,0%,3270,1807,20.9999993443489%,433
079,Harvey,349,12.7232956616843%,2,0.573065902578797%,13378,4249,7.99999982118607%,2743
081,Haskell,30,6.96055684454756%,,0%,1639,421,17.0000001788139%,431
083,Hodgeman,48,36.0902255639098%,,0%,945,482,17.0000001788139%,133
085,Jackson,203,17.9012345679012%,,0%,5094,1918,12.9999995231628%,1134
087,Jefferson,120,9.375%,,0%,7491,2069,10.9999999403954%,1280
