"CBLS County-level Summary Data for KY, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,60,4.80000004172325%,0,0%,0,7792,1390,34.9999994039536%,1251
003,Allen County,7,0.499999988824129%,0,0%,0,8057,1575,31.0000002384186%,1363
005,Anderson County,5,0.300000002607703%,0,0%,0,7752,1237,10.0000001490116%,1504
007,Ballard County,60,10.1999998092651%,0,0%,0,3837,716,20.9999993443489%,588
009,Barren County,34,1.09999999403954%,0,0%,0,17095,3353,23.9999994635582%,3108
011,Bath County,122,13.3000001311302%,0,0%,0,4994,883,27.0000010728836%,920
013,Bell County,467,21.1999997496605%,0,0%,0,13341,2673,43.0000007152557%,2202
015,Boone County,223,2.30000000447035%,1,0.448430493273543%,0,33351,2310,7.00000002980232%,9801
017,Bourbon County,101,7.00000002980232%,0,0%,0,8349,2671,23.9999994635582%,1448
019,Boyd County,69,1.99999995529652%,0,0%,0,21976,6419,25.9999990463257%,3472
021,Boyle County,13,0.700000021606684%,0,0%,1,11418,2369,18.9999997615814%,1848
023,Bracken County,117,17.0000001788139%,0,0%,0,3715,1442,12.9999995231628%,689
025,Breathitt County,,,,,,6812,894,46.000000834465%,1057
027,Breckinridge County,11,0.800000037997961%,0,0%,0,9890,1497,15.9999996423721%,1422
029,Bullitt County,20,0.400000018998981%,0,0%,0,23160,1251,10.0000001490116%,4874
031,Butler County,6,0.600000005215406%,0,0%,0,5815,959,20.0000002980232%,997
033,Caldwell County,,,,,,6126,1436,18.0000007152557%,826
035,Calloway County,279,13.7999996542931%,4,1.4336917562724%,1,16069,2235,20.9999993443489%,2025
037,Campbell County,279,4.10000011324883%,6,2.1505376344086%,1,36898,14709,14.0000000596046%,6864
039,Carlisle County,42,11.4000000059605%,0,0%,0,2490,661,23.0000004172325%,367
