"CBLS County-level Summary Data for KY, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,158,12.5%,0,0%,0,7792,1390,34.9999994039536%,1264
003,Allen County,33,2.30000000447035%,0,0%,0,8057,1575,31.0000002384186%,1432
005,Anderson County,29,1.79999992251396%,0,0%,0,7752,1237,10.0000001490116%,1586
007,Ballard County,144,24.8999997973442%,0,0%,0,3837,716,20.9999993443489%,579
009,Barren County,200,6.10000006854534%,0,0%,0,17095,3353,23.9999994635582%,3256
011,Bath County,195,20.9000006318092%,0,0%,0,4994,883,27.0000010728836%,933
013,Bell County,690,32.600000500679%,0,0%,0,13341,2673,43.0000007152557%,2117
015,Boone County,289,2.80000008642673%,1,0.346020761245675%,0,33351,2310,7.00000002980232%,10472
017,Bourbon County,267,18.5000002384186%,3,1.12359550561798%,0,8349,2671,23.9999994635582%,1445
019,Boyd County,502,14.5999997854233%,0,0%,0,21976,6419,25.9999990463257%,3450
021,Boyle County,16,0.899999961256981%,0,0%,1,11418,2369,18.9999997615814%,1878
023,Bracken County,112,16.5999993681908%,0,0%,0,3715,1442,12.9999995231628%,673
025,Breathitt County,5,0.499999988824129%,0,0%,0,6812,894,46.000000834465%,1036
027,Breckinridge County,29,1.99999995529652%,0,0%,0,9890,1497,15.9999996423721%,1449
029,Bullitt County,87,1.7000000923872%,0,0%,0,23160,1251,10.0000001490116%,5142
031,Butler County,24,2.40000002086163%,0,0%,0,5815,959,20.0000002980232%,990
033,Caldwell County,8,0.999999977648258%,0,0%,0,6126,1436,18.0000007152557%,825
035,Calloway County,262,12.0999999344349%,0,0%,1,16069,2235,20.9999993443489%,2162
037,Campbell County,477,7.19999969005585%,10,2.09643605870021%,1,36898,14709,14.0000000596046%,6602
