"CBLS County-level Summary Data for KY, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair,90,6.97674418604651%,,0%,7792,1390,34.9999994039536%,1290
003,Allen,1,0.0675219446320054%,,0%,8057,1575,31.0000002384186%,1481
005,Anderson,6,0.37037037037037%,,0%,7752,1237,10.0000001490116%,1620
007,Ballard,83,16.6666666666667%,,0%,3837,716,20.9999993443489%,498
009,Barren,47,1.39176784127924%,,0%,17095,3353,23.9999994635582%,3377
011,Bath,167,16.5674603174603%,1,0.598802395209581%,4994,883,27.0000010728836%,1008
013,Bell,391,17.9852805887764%,,0%,13341,2673,43.0000007152557%,2174
015,Boone,567,5.08748317631225%,,0%,33351,2310,7.00000002980232%,11145
017,Bourbon,201,13.3554817275748%,3,1.49253731343284%,8349,2671,23.9999994635582%,1505
019,Boyd,290,8.09829656520525%,1,0.344827586206897%,21976,6419,25.9999990463257%,3581
021,Boyle,27,1.33928571428571%,2,7.40740740740741%,11418,2369,18.9999997615814%,2016
023,Bracken,74,10.2920723226704%,,0%,3715,1442,12.9999995231628%,719
027,Breckinridge,3,0.211118930330753%,,0%,6812,894,46.000000834465%,1421
029,Bullitt,20,0.407747196738022%,,0%,9890,1497,15.9999996423721%,4905
031,Butler,22,2.26570545829042%,,0%,23160,1251,10.0000001490116%,971
033,Caldwell,4,0.449438202247191%,1,25%,5815,959,20.0000002980232%,890
035,Calloway,380,17.0556552962298%,,0%,6126,1436,18.0000007152557%,2228
037,Campbell,566,8.39140103780578%,5,0.88339222614841%,16069,2235,20.9999993443489%,6745
039,Carlisle,92,22.0095693779904%,,0%,36898,14709,14.0000000596046%,418
041,Carroll,22,2.40437158469945%,,0%,2490,661,23.0000004172325%,915
043,Carter,196,8.90909090909091%,,0%,4439,1212,18.9999997615814%,2200
045,Casey,95,7.95644891122278%,,0%,11534,1675,34.0000003576279%,1194
047,Christian,110,1.1986487959028%,1,0.909090909090909%,7242,1534,33.0000013113022%,9177
049,Clark,80,2.91864283108355%,,0%,27182,3947,18.9999997615814%,2741
051,Clay,218,13.0930930930931%,,0%,13749,2800,15.9999996423721%,1665
053,Clinton,41,5.28350515463918%,,0%,9439,1024,47.9999989271164%,776
057,Cumberland,59,12.7429805615551%,,0%,4888,901,37.9999995231628%,463
059,Daviess,748,9.18016691212568%,,0%,4410,996,31.0000002384186%,8148
061,Edmonson,38,5.13513513513514%,,0%,3567,780,31.0000002384186%,740
063,Elliott,57,12.258064516129%,,0%,38432,6714,20.0000002980232%,465
067,Fayette,34,0.143702451394759%,,0%,6104,1033,23.9999994635582%,23660
069,Fleming,140,12.0585701981051%,,0%,3107,521,34.9999994039536%,1161
071,Floyd,3,0.0923929781336618%,,0%,6824,1547,37.0000004768372%,3247
073,Franklin,15,0.405076964623278%,,0%,116167,15717,15.9999996423721%,3703
075,Fulton,141,26.2081784386617%,,0%,6120,1709,25.9999990463257%,538
077,Gallatin,6,0.737100737100737%,,0%,18551,3134,40.0000005960465%,814
079,Garrard,80,7.011393514461%,,0%,21409,3821,14.0000000596046%,1141
081,Grant,243,10.0496277915633%,,0%,3697,1179,34.0000003576279%,2418
083,Graves,328,11.2560054907344%,,0%,3362,521,18.9999997615814%,2914
085,Grayson,3,0.148294611962432%,,0%,6414,1330,20.9999993443489%,2023
087,Green,47,6.30026809651475%,,0%,9306,1456,15.0000005960464%,746
089,Greenup,5,0.197784810126582%,,0%,16340,3318,25.9999990463257%,2528
091,Hancock,63,8.55978260869565%,,0%,12802,1509,28.999999165535%,736
093,Hardin,161,1.68922463540027%,2,1.24223602484472%,5420,1261,28.999999165535%,9531
095,Harlan,409,16.8590272052762%,,0%,15977,2685,18.0000007152557%,2426
097,Harrison,101,6.85675492192804%,,0%,3600,505,23.9999994635582%,1473
099,Hart,32,2.3306627822287%,1,3.125%,37673,4153,15.0000005960464%,1373
101,Henderson,370,10.0982532751092%,,0%,15017,4269,40.9999996423721%,3664
103,Henry,16,1.2608353033885%,,0%,7660,2495,15.0000005960464%,1269
105,Hickman,57,19.6551724137931%,,0%,8045,1812,28.0000001192093%,290
107,Hopkins,489,13.4340659340659%,3,0.613496932515337%,19466,4333,18.0000007152557%,3640
109,Jackson,120,13.2890365448505%,,0%,6381,1574,18.9999997615814%,903
111,Jefferson,150,0.249359976061442%,7,4.66666666666667%,2436,700,41.9999986886978%,60154
113,Jessamine,371,9.2703648175912%,,0%,20668,4422,27.0000010728836%,4002
115,Johnson,277,15.5530600786075%,,0%,6065,869,40.0000005960465%,1781
117,Kenton,774,5.57958477508651%,11,1.42118863049096%,305835,75062,20.9999993443489%,13872
119,Knott,1,0.0919117647058823%,,0%,14646,1669,17.0000001788139%,1088
121,Knox,215,7.44459833795014%,,0%,10236,2030,44.9999988079071%,2888
123,Larue,22,2.16322517207473%,,0%,63571,20551,14.0000000596046%,1017
125,Laurel,61,1.36679363656733%,,0%,7579,1082,46.9999998807907%,4463
