"CBLS County-level Summary Data for LA, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,5675,166,8,0.100000004749745%,4,,,
001,Acadia Parish,112,1,1,0.899999961256981%,0,23209,4190,34.9999994039536%
003,Allen Parish,111,5,0,0%,0,9157,1541,27.0000010728836%
005,Ascension Paris,221,1,1,0.499999988824129%,0,29172,2134,15.9999996423721%
007,Assumption Pari,67,4,0,0%,0,9635,1302,25.9999990463257%
009,Avoyelles Paris,409,7,0,0%,0,16576,2711,33.0000013113022%
011,Beauregard Pari,87,4,1,1.09999999403954%,0,14501,1887,20.9999993443489%
013,Bienville Paris,20,2,0,0%,0,7830,1179,37.9999995231628%
015,Bossier Parish,203,6,0,0%,0,40286,2871,23.0000004172325%
017,Caddo Parish,518,30,8,1.49999996647239%,1,108296,17175,34.0000003576279%
019,Calcasieu Paris,824,31,1,0.100000004749745%,0,75995,10142,23.0000004172325%
021,Caldwell Parish,65,5,0,0%,0,5035,719,31.9999992847443%
023,Cameron Parish,18,.,0,0%,0,5336,591,10.9999999403954%
025,Catahoula Paris,113,3,0,0%,0,5351,502,50%
027,Claiborne Paris,90,16,6,6.70000016689301%,3,7815,1392,40.0000005960465%
029,Concordia Paris,212,6,0,0%,0,9148,1100,46.9999998807907%
031,De Soto Parish,95,8,1,1.09999999403954%,1,11204,1648,36.0000014305115%
033,East Baton Roug,892,61,6,0.700000021606684%,0,169073,17394,25%
035,East Carroll Pa,26,1,0,0%,0,3303,554,58.9999973773956%
037,East Feliciana,80,.,0,0%,0,7915,941,28.999999165535%
039,Evangeline Pari,60,4,0,0%,0,14258,2162,40.9999996423721%
041,Franklin Parish,264,3,0,0%,0,8623,984,50.9999990463257%
043,Grant Parish,64,2,0,0%,0,8531,1131,28.999999165535%
045,Iberia Parish,93,3,0,0%,0,27844,4575,36.0000014305115%
047,Iberville Paris,22,.,2,9.0999998152256%,1,11953,2403,30.0000011920929%
049,Jackson Parish,117,2,0,0%,0,7338,1299,21.9999998807907%
051,Jefferson Paris,1186,29,6,0.499999988824129%,1,187907,17377,21.9999998807907%
053,Jefferson Davis,162,8,2,1.20000001043081%,1,12824,2773,28.999999165535%
055,Lafayette Paris,258,4,2,0.800000037997961%,1,78122,6224,20.0000002980232%
057,Lafourche Paris,528,6,2,0.400000018998981%,1,35045,5133,21.9999998807907%
059,La Salle Parish,129,4,0,0%,1,6273,956,23.9999994635582%
061,Lincoln Parish,264,9,0,0%,0,17000,1833,38.9999985694885%
063,Livingston Pari,265,9,0,0%,0,36212,1916,12.9999995231628%
065,Madison Parish,93,4,2,2.19999998807907%,0,4979,703,55.0000011920929%
067,Morehouse Paris,207,9,0,0%,1,12711,1769,41.9999986886978%
069,Natchitoches Pa,229,2,0,0%,0,16890,2604,37.9999995231628%
071,Orleans Parish,1806,155,45,2.5000000372529%,2,215091,93108,41.9999986886978%
073,Ouachita Parish,702,52,6,0.899999961256981%,1,60154,6065,33.0000013113022%
075,Plaquemines Par,51,1,0,0%,0,10481,817,23.9999994635582%
077,Pointe Coupee P,51,4,1,1.99999995529652%,0,10297,1741,33.0000013113022%
079,Rapides Parish,575,16,7,1.20000001043081%,3,52038,8014,30.0000011920929%
081,Red River Paris,14,.,0,0%,0,3988,518,38.9999985694885%
083,Richland Parish,141,3,1,0.700000021606684%,0,8335,1243,40.9999996423721%
085,Sabine Parish,43,.,0,0%,0,13671,1360,31.9999992847443%
087,St. Bernard Par,78,.,0,0%,0,26790,1875,17.0000001788139%
089,St. Charles Par,52,1,0,0%,0,17430,1217,18.0000007152557%
091,St. Helena Pari,19,2,0,0%,0,5034,445,34.0000003576279%
093,St. James Paris,26,4,0,0%,0,7605,962,25%
095,St. John the Ba,15,.,0,0%,0,15532,1184,25%
097,St. Landry Pari,57,1,2,3.50000001490116%,0,36216,5936,41.9999986886978%
099,St. Martin Pari,9,.,0,0%,0,20245,2597,30.0000011920929%
101,St. Mary Parish,42,1,1,2.40000002086163%,0,21650,3744,33.0000013113022%
103,St. Tammany Par,141,4,0,0%,0,75398,4278,12.9999995231628%
105,Tangipahoa Pari,273,33,1,0.400000018998981%,0,40794,4533,30.0000011920929%
107,Tensas Parish,68,1,1,1.49999996647239%,0,3359,611,41.9999986886978%
109,Terrebonne Pari,303,6,2,0.700000021606684%,1,39928,4421,25.9999990463257%
111,Union Parish,150,4,2,1.30000002682209%,0,10873,1355,27.0000010728836%
113,Vermilion Paris,129,1,0,0%,0,22461,4342,30.0000011920929%
115,Vernon Parish,45,4,0,0%,0,21030,1683,20.0000002980232%
117,Washington Pari,170,5,1,0.600000005215406%,0,19106,3516,37.9999995231628%
119,Webster Parish,102,6,0,0%,0,18991,3014,30.0000011920929%
121,West Baton Roug,27,1,0,0%,0,8370,1132,21.9999998807907%
123,West Carroll Pa,60,2,0,0%,0,4980,626,28.0000001192093%
125,West Feliciana,35,3,0,0%,0,4485,450,25.9999990463257%
127,Winn Parish,89,6,0,0%,0,7502,1229,31.0000002384186%
*# of Addresses where address state not in selected state: 28,# of Addresses where program state is not in selected state: 0,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
