"CBLS County-level Summary Data for LA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Acadia Parish,70,1.30000002682209%,0,0%,0,23209,4190,34.9999994039536%,5498
003,Allen Parish,86,4.39999997615814%,0,0%,0,9157,1541,27.0000010728836%,1974
005,Ascension Parish,92,0.999999977648258%,0,0%,1,29172,2134,15.9999996423721%,9017
007,Assumption Parish,42,2.5000000372529%,0,0%,0,9635,1302,25.9999990463257%,1680
009,Avoyelles Parish,164,4.50000017881393%,0,0%,0,16576,2711,33.0000013113022%,3642
011,Beauregard Parish,94,3.50000001490116%,0,0%,0,14501,1887,20.9999993443489%,2703
013,Bienville Parish,20,1.7000000923872%,0,0%,1,7830,1179,37.9999995231628%,1146
015,Bossier Parish,127,1.30000002682209%,0,0%,0,40286,2871,23.0000004172325%,9536
017,Caddo Parish,339,1.60000007599592%,2,0.589970501474926%,0,108296,17175,34.0000003576279%,21520
019,Calcasieu Parish,609,3.79999987781048%,0,0%,1,75995,10142,23.0000004172325%,15837
021,Caldwell Parish,48,6.10000006854534%,0,0%,1,5035,719,31.9999992847443%,786
023,Cameron Parish,9,1.79999992251396%,0,0%,0,5336,591,10.9999999403954%,503
025,Catahoula Parish,53,6.49999976158142%,0,0%,0,5351,502,50%,810
027,Claiborne Parish,24,2.40000002086163%,1,4.16666666666667%,3,7815,1392,40.0000005960465%,1002
029,Concordia Parish,104,6.89999982714653%,2,1.92307692307692%,0,9148,1100,46.9999998807907%,1512
031,De Soto Parish,24,1.09999999403954%,0,0%,0,11204,1648,36.0000014305115%,2118
033,East Baton Rouge Parish,892,2.5000000372529%,2,0.224215246636771%,2,169073,17394,25%,35220
035,East Carroll Parish,8,0.899999961256981%,0,0%,1,3303,554,58.9999973773956%,864
037,East Feliciana Parish,64,4.10000011324883%,0,0%,0,7915,941,28.999999165535%,1550
039,Evangeline Parish,168,5.40000014007092%,0,0%,0,14258,2162,40.9999996423721%,3135
041,Franklin Parish,196,11.1000001430511%,0,0%,3,8623,984,50.9999990463257%,1772
043,Grant Parish,57,3.79999987781048%,1,1.75438596491228%,0,8531,1131,28.999999165535%,1507
045,Iberia Parish,91,1.30000002682209%,1,1.0989010989011%,0,27844,4575,36.0000014305115%,6752
047,Iberville Parish,29,1.09999999403954%,1,3.44827586206897%,1,11953,2403,30.0000011920929%,2667
049,Jackson Parish,45,3.79999987781048%,2,4.44444444444444%,1,7338,1299,21.9999998807907%,1172
051,Jefferson Parish,871,2.5000000372529%,3,0.34443168771527%,5,187907,17377,21.9999998807907%,34984
053,Jefferson Davis Parish,146,5.29999993741512%,0,0%,0,12824,2773,28.999999165535%,2757
055,Lafayette Parish,290,1.60000007599592%,0,0%,1,78122,6224,20.0000002980232%,17641
057,Lafourche Parish,277,3.79999987781048%,0,0%,2,35045,5133,21.9999998807907%,7260
059,La Salle Parish,41,3.90000008046627%,0,0%,0,6273,956,23.9999994635582%,1044
061,Lincoln Parish,69,2.19999998807907%,0,0%,0,17000,1833,38.9999985694885%,3111
063,Livingston Parish,219,2.19999998807907%,0,0%,0,36212,1916,12.9999995231628%,9749
065,Madison Parish,87,7.59999975562096%,0,0%,1,4979,703,55.0000011920929%,1144
067,Morehouse Parish,200,8.20000022649765%,1,0.5%,0,12711,1769,41.9999986886978%,2443
069,Natchitoches Parish,255,7.50000029802322%,0,0%,0,16890,2604,37.9999995231628%,3396
071,Orleans Parish,601,3.20000015199184%,15,2.49584026622296%,137,215091,93108,41.9999986886978%,18659
073,Ouachita Parish,323,2.40000002086163%,0,0%,3,60154,6065,33.0000013113022%,13301
075,Plaquemines Parish,35,1.7000000923872%,0,0%,0,10481,817,23.9999994635582%,2100
077,Pointe Coupee Parish,11,0.600000005215406%,0,0%,0,10297,1741,33.0000013113022%,1782
079,Rapides Parish,570,5.09999990463257%,2,0.350877192982456%,5,52038,8014,30.0000011920929%,11124
081,Red River Parish,41,5.00000007450581%,0,0%,0,3988,518,38.9999985694885%,827
083,Richland Parish,123,7.10000023245811%,3,2.4390243902439%,1,8335,1243,40.9999996423721%,1722
085,Sabine Parish,70,3.50000001490116%,0,0%,0,13671,1360,31.9999992847443%,1979
087,St. Bernard Parish,36,2.80000008642673%,0,0%,0,26790,1875,17.0000001788139%,1297
089,St. Charles Parish,113,2.70000007003546%,0,0%,0,17430,1217,18.0000007152557%,4253
091,St. Helena Parish,57,7.90000036358833%,0,0%,1,5034,445,34.0000003576279%,717
093,St. James Parish,123,6.8000003695488%,0,0%,0,7605,962,25%,1814
095,St. John the Baptist Parish,139,3.20000015199184%,0,0%,1,15532,1184,25%,4352
097,St. Landry Parish,245,2.99999993294477%,0,0%,0,36216,5936,41.9999986886978%,8194
099,St. Martin Parish,89,2.09999997168779%,0,0%,0,20245,2597,30.0000011920929%,4274
101,St. Mary Parish,352,7.80000016093254%,0,0%,1,21650,3744,33.0000013113022%,4498
103,St. Tammany Parish,556,3.09999994933605%,0,0%,0,75398,4278,12.9999995231628%,18126
105,Tangipahoa Parish,570,5.90000003576279%,0,0%,0,40794,4533,30.0000011920929%,9702
107,Tensas Parish,53,11.2000003457069%,0,0%,0,3359,611,41.9999986886978%,475
109,Terrebonne Parish,190,1.89999993890524%,0,0%,0,39928,4421,25.9999990463257%,10053
111,Union Parish,107,5.79999983310699%,0,0%,1,10873,1355,27.0000010728836%,1860
113,Vermilion Parish,121,2.5000000372529%,0,0%,0,22461,4342,30.0000011920929%,4800
115,Vernon Parish,108,1.99999995529652%,0,0%,0,21030,1683,20.0000002980232%,5388
117,Washington Parish,216,5.79999983310699%,2,0.925925925925926%,0,19106,3516,37.9999995231628%,3752
119,Webster Parish,167,5.40000014007092%,0,0%,0,18991,3014,30.0000011920929%,3070
121,West Baton Rouge Parish,31,1.7000000923872%,0,0%,0,8370,1132,21.9999998807907%,1854
123,West Carroll Parish,90,10.8999997377396%,0,0%,0,4980,626,28.0000001192093%,822
125,West Feliciana Parish,73,10.0000001490116%,2,2.73972602739726%,1,4485,450,25.9999990463257%,729
127,Winn Parish,200,17.399999499321%,1,0.5%,1,7502,1229,31.0000002384186%,1150
137,Unknown,,,,,,,,,
439,Unknown,,,,,,,,,
999,Unknown,16332,,171,1.0470242468773%,35,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Louisiana Total Confirmed Cases 2006,,212,,,,,,,,
