"CBLS County-level Summary Data for LA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Acadia Parish,51,0.899999961256981%,0,0%,0,23209,4190,34.9999994039536%,5580
003,Allen Parish,65,3.4000001847744%,0,0%,0,9157,1541,27.0000010728836%,1924
005,Ascension Parish,74,0.700000021606684%,0,0%,1,29172,2134,15.9999996423721%,9927
007,Assumption Parish,32,1.89999993890524%,0,0%,0,9635,1302,25.9999990463257%,1645
009,Avoyelles Parish,109,2.8999999165535%,0,0%,0,16576,2711,33.0000013113022%,3731
011,Beauregard Parish,50,1.79999992251396%,1,2%,0,14501,1887,20.9999993443489%,2740
013,Bienville Parish,36,3.09999994933605%,0,0%,1,7830,1179,37.9999995231628%,1144
015,Bossier Parish,102,0.999999977648258%,0,0%,0,40286,2871,23.0000004172325%,10038
017,Caddo Parish,311,1.40000004321337%,0,0%,0,108296,17175,34.0000003576279%,21740
019,Calcasieu Parish,451,2.80000008642673%,0,0%,1,75995,10142,23.0000004172325%,15908
021,Caldwell Parish,67,9.00000035762787%,2,2.98507462686567%,2,5035,719,31.9999992847443%,745
023,Cameron Parish,16,4.69999983906746%,0,0%,0,5336,591,10.9999999403954%,337
025,Catahoula Parish,40,4.69999983906746%,0,0%,0,5351,502,50%,845
027,Claiborne Parish,13,1.30000002682209%,0,0%,2,7815,1392,40.0000005960465%,1009
029,Concordia Parish,61,3.99999991059303%,0,0%,0,9148,1100,46.9999998807907%,1517
031,De Soto Parish,28,1.30000002682209%,0,0%,0,11204,1648,36.0000014305115%,2166
033,East Baton Rouge Parish,828,2.30000000447035%,1,0.120772946859903%,1,169073,17394,25%,35610
035,East Carroll Parish,12,1.49999996647239%,0,0%,1,3303,554,58.9999973773956%,785
037,East Feliciana Parish,50,3.29999998211861%,0,0%,0,7915,941,28.999999165535%,1535
039,Evangeline Parish,108,3.4000001847744%,0,0%,0,14258,2162,40.9999996423721%,3160
041,Franklin Parish,125,7.40000009536743%,0,0%,3,8623,984,50.9999990463257%,1696
043,Grant Parish,30,1.99999995529652%,0,0%,0,8531,1131,28.999999165535%,1538
045,Iberia Parish,54,0.800000037997961%,1,1.85185185185185%,0,27844,4575,36.0000014305115%,6746
047,Iberville Parish,14,0.499999988824129%,0,0%,1,11953,2403,30.0000011920929%,2642
049,Jackson Parish,47,3.99999991059303%,0,0%,1,7338,1299,21.9999998807907%,1187
051,Jefferson Parish,683,2.09999997168779%,2,0.292825768667643%,1,187907,17377,21.9999998807907%,32254
053,Jefferson Davis Parish,116,4.19999994337559%,0,0%,0,12824,2773,28.999999165535%,2731
055,Lafayette Parish,200,1.09999999403954%,0,0%,0,78122,6224,20.0000002980232%,17986
057,Lafourche Parish,167,2.40000002086163%,0,0%,1,35045,5133,21.9999998807907%,7062
059,La Salle Parish,29,2.80000008642673%,0,0%,0,6273,956,23.9999994635582%,1054
061,Lincoln Parish,61,1.89999993890524%,0,0%,0,17000,1833,38.9999985694885%,3200
063,Livingston Parish,171,1.60000007599592%,0,0%,0,36212,1916,12.9999995231628%,10559
065,Madison Parish,78,6.8000003695488%,0,0%,1,4979,703,55.0000011920929%,1139
067,Morehouse Parish,99,4.19999994337559%,1,1.01010101010101%,0,12711,1769,41.9999986886978%,2334
069,Natchitoches Parish,130,3.79999987781048%,0,0%,0,16890,2604,37.9999995231628%,3457
071,Orleans Parish,745,5.00000007450581%,12,1.61073825503356%,107,215091,93108,41.9999986886978%,14778
073,Ouachita Parish,262,1.99999995529652%,0,0%,2,60154,6065,33.0000013113022%,13386
075,Plaquemines Parish,18,1.09999999403954%,1,5.55555555555556%,0,10481,817,23.9999994635582%,1610
077,Pointe Coupee Parish,11,0.600000005215406%,0,0%,0,10297,1741,33.0000013113022%,1794
079,Rapides Parish,334,2.8999999165535%,4,1.19760479041916%,4,52038,8014,30.0000011920929%,11348
081,Red River Parish,33,3.99999991059303%,0,0%,0,3988,518,38.9999985694885%,826
