"CBLS County-level Summary Data for MA, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Barnstable Coun,3155,83,3,0.100000004749745%,1,147083,24993,7.99999982118607%
003,Berkshire Count,2844,193,17,0.600000005215406%,7,66301,33453,15.0000005960464%
005,Bristol County,15270,618,56,0.400000018998981%,13,216918,94216,15.0000005960464%
007,Dukes County,136,4,0,0%,0,14836,3617,10.0000001490116%
009,Essex County,20469,691,80,0.400000018998981%,20,287144,133474,11.9999997317791%
011,Franklin County,995,52,12,1.20000001043081%,0,31939,14872,12.9999995231628%
013,Hampden County,13112,609,82,0.600000005215406%,27,185876,73635,25.9999990463257%
015,Hampshire Count,2227,52,11,0.499999988824129%,4,58644,20868,9.00000035762787%
017,Middlesex Count,37273,959,92,0.20000000949949%,26,576681,258816,5.99999986588955%
019,Nantucket Count,223,6,2,0.899999961256981%,1,9210,2444,2.99999993294477%
021,Norfolk County,15925,351,19,0.100000004749745%,8,255154,100376,3.99999991059303%
023,Plymouth County,12575,396,34,0.300000002607703%,11,181524,59052,9.00000035762787%
025,Suffolk County,22776,715,87,0.400000018998981%,22,292520,179412,25%
027,Worcester Count,18261,612,51,0.300000002607703%,19,298159,122324,11.9999997317791%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2009-2013",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
