"CBLS County-level Summary Data for MA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barnstable County,4773,36.774790045458%,16,0,147083,24993,7.99999982118607%,12979
003,Berkshire County,4334,51.1145182214884%,45,3,66301,33453,15.0000005960464%,8479
005,Bristol County,22158,54.0887565298052%,225,17,216918,94216,15.0000005960464%,40966
007,Dukes County,230,23.2323232323232%,1,0,14836,3617,10.0000001490116%,990
009,Essex County,28095,48.7371196613815%,315,46,287144,133474,11.9999997317791%,57646
011,Franklin County,1494,32.8568286782494%,24,3,31939,14872,12.9999995231628%,4547
013,Hampden County,18653,51.6760859929078%,273,35,185876,73635,25.9999990463257%,36096
015,Hampshire County,3701,45.7478368355995%,29,4,58644,20868,9.00000035762787%,8090
017,Middlesex County,49666,45.0796013578521%,262,38,576681,258816,5.99999986588955%,110174
019,Nantucket County,172,27.52%,1,0,9210,2444,2.99999993294477%,625
021,Norfolk County,22268,44.086319540685%,95,9,255154,100376,3.99999991059303%,50510
023,Plymouth County,19037,48.1169750278031%,161,28,181524,59052,9.00000035762787%,39564
025,Suffolk County,28025,61.4758593458661%,402,61,292520,179412,25%,45587
027,Worcester County,27530,45.2743927508346%,272,39,298159,122324,11.9999997317791%,60807
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Massachusetts Total Confirmed Cases 2005,,2136,,,,,,,
