"CBLS County-level Summary Data for MA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barnstable County,4662,40.0999993085861%,14,0.3003003003003%,0,147083,24993,7.99999982118607%,11631
003,Berkshire County,4385,58.7999999523163%,82,1.87001140250855%,6,66301,33453,15.0000005960464%,7454
005,Bristol County,22283,56.9999992847443%,206,0.924471570255352%,21,216918,94216,15.0000005960464%,39125
007,Dukes County,275,30.0000011920929%,1,0.363636363636364%,0,14836,3617,10.0000001490116%,916
009,Essex County,27169,48.8000005483627%,275,1.01218300268689%,52,287144,133474,11.9999997317791%,55638
011,Franklin County,1372,34.0000003576279%,13,0.947521865889213%,4,31939,14872,12.9999995231628%,4041
013,Hampden County,18780,55.0999999046326%,217,1.15548455804047%,45,185876,73635,25.9999990463257%,34053
015,Hampshire County,3421,46.000000834465%,30,0.876936568254896%,7,58644,20868,9.00000035762787%,7442
017,Middlesex County,48905,45.6999987363815%,227,0.464165218280339%,46,576681,258816,5.99999986588955%,107048
019,Nantucket County,177,21.5000003576279%,1,0.564971751412429%,0,9210,2444,2.99999993294477%,823
021,Norfolk County,21725,44.6999996900559%,92,0.423475258918297%,11,255154,100376,3.99999991059303%,48548
023,Plymouth County,18335,49.0000009536743%,141,0.769020998091083%,33,181524,59052,9.00000035762787%,37447
025,Suffolk County,27493,52.3000001907349%,365,1.32761066453279%,82,292520,179412,25%,52533
027,Worcester County,26896,45.8000004291534%,232,0.862581796549673%,46,298159,122324,11.9999997317791%,58681
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Massachusetts Total Confirmed Cases 2006,,1896,,,,,,,,
