"CBLS County-level Summary Data for MA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barnstable County,4720,40.9000009298325%,9,0.190677966101695%,3,147083,24993,7.99999982118607%,11528
003,Berkshire County,4362,58.9999973773956%,46,1.05456212746447%,7,66301,33453,15.0000005960464%,7394
005,Bristol County,22436,58.2000017166138%,140,0.623997147441612%,24,216918,94216,15.0000005960464%,38560
007,Dukes County,278,27.700001001358%,2,0.719424460431655%,0,14836,3617,10.0000001490116%,1005
009,Essex County,27787,51.0999977588654%,179,0.644186130204772%,65,287144,133474,11.9999997317791%,54420
011,Franklin County,1414,34.7000002861023%,10,0.707213578500707%,5,31939,14872,12.9999995231628%,4072
013,Hampden County,18801,54.9000024795532%,135,0.718046912398277%,46,185876,73635,25.9999990463257%,34221
015,Hampshire County,3376,45.8999991416931%,17,0.503554502369668%,7,58644,20868,9.00000035762787%,7351
017,Middlesex County,50518,47.7999985218048%,202,0.399857476543014%,48,576681,258816,5.99999986588955%,105699
019,Nantucket County,187,19.4999992847443%,0,0%,0,9210,2444,2.99999993294477%,957
021,Norfolk County,21680,46.2000012397766%,48,0.22140221402214%,13,255154,100376,3.99999991059303%,46908
023,Plymouth County,17857,49.5000004768372%,94,0.52640421123369%,33,181524,59052,9.00000035762787%,36050
025,Suffolk County,29043,53.8999974727631%,229,0.788486037943739%,79,292520,179412,25%,53834
027,Worcester County,25036,42.8000003099442%,125,0.499281035309155%,50,298159,122324,11.9999997317791%,58451
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Massachusetts 2008 Confirmed Cases,,1236,,,,,,,
