"CBLS County-level Summary Data for MA, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barnstable,4602,39.2394270122783%,5,0.108648413733159%,147083,24993,7.99999982118607%,11728
003,Berkshire,4219,55.3601889515812%,20,0.474045982460299%,66301,33453,15.0000005960464%,7621
005,Bristol,21626,55.982397100699%,61,0.282067881254046%,216918,94216,15.0000005960464%,38630
007,Dukes,245,23.3555767397521%,,0%,14836,3617,10.0000001490116%,1049
009,Essex,27718,50.488160291439%,91,0.328306515621618%,287144,133474,11.9999997317791%,54900
011,Franklin,1339,31.8354731336186%,9,0.672143390589993%,31939,14872,12.9999995231628%,4206
013,Hampden,18884,53.8973085595228%,70,0.370684177081127%,185876,73635,25.9999990463257%,35037
015,Hampshire,3165,41.066562864928%,8,0.252764612954186%,58644,20868,9.00000035762787%,7707
017,Middlesex,50352,47.6006806579694%,111,0.220448045757865%,576681,258816,5.99999986588955%,105780
019,Nantucket,227,24.0976645435244%,,0%,9210,2444,2.99999993294477%,942
021,Norfolk,21297,45.4423249263859%,45,0.211297365826173%,255154,100376,3.99999991059303%,46866
023,Plymouth,17753,48.1437288135593%,46,0.259111136146003%,181524,59052,9.00000035762787%,36875
025,Suffolk,29296,54.980857292996%,137,0.467640633533588%,292520,179412,25%,53284
027,Worcester,23753,39.8995498219445%,78,0.328379573106555%,298159,122324,11.9999997317791%,59532
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Massachusetts 2009 Confirmed Cases,,681,,,,,,
