"CBLS County-level Summary Data for MD, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Allegany County,1050,23.6008091706001%,22,4,32984,16696,23.9999994635582%,4449
003,Anne Arundel County,6350,16.0483218762636%,18,2,186937,23437,7.00000002980232%,39568
005,Baltimore County,23276,42.7891244002427%,534,80,313734,58451,7.99999982118607%,54397
009,Calvert County,709,11.4687803299903%,2,1,27576,2609,3.99999991059303%,6182
011,Caroline County,866,38.6262265834077%,10,3,12028,3413,14.0000000596046%,2242
013,Carroll County,1362,10.9125871324413%,3,3,54260,9800,3.99999991059303%,12481
015,Cecil County,1049,14.6610761705101%,7,6,34461,6469,10.9999999403954%,7155
017,Charles County,1794,16.6172656539459%,5,3,43903,3212,5.00000007450581%,10796
019,Dorchester County,646,31.7288801571709%,10,7,14681,4883,18.0000007152557%,2036
021,Frederick County,3078,17.878717472119%,12,3,73017,13286,5.00000007450581%,17216
023,Garrett County,517,23.4042553191489%,3,1,16761,3617,17.0000001788139%,2209
025,Harford County,2934,15.569116476519%,10,2,83146,8789,7.00000002980232%,18845
027,Howard County,2188,9.83017342079252%,8,3,92818,3665,3.99999991059303%,22258
029,Kent County,196,17.5470008952551%,1,0,9410,2892,23.0000004172325%,1117
031,Montgomery County,16414,22.7934233183358%,54,8,334632,37592,5.99999986588955%,72012
033,Prince George's County,7342,10.5402184992176%,16,0,302378,33348,9.00000035762787%,69657
035,Queen Anne's County,462,14.3790849673203%,0,1,16674,2668,7.00000002980232%,3213
037,St. Mary's County,1390,18.1013152754265%,1,0,34081,3573,9.00000035762787%,7679
039,Somerset County,478,35.0954478707783%,8,6,10092,2924,36.0000014305115%,1362
041,Talbot County,582,26.9819193324061%,1,2,16500,4087,9.00000035762787%,2157
043,Washington County,3249,32.5648992683171%,15,5,52972,17867,17.0000001788139%,9977
045,Wicomico County,2080,33.2268370607029%,28,20,34401,6681,18.0000007152557%,6260
047,Worcester County,720,25.4957507082153%,7,4,47360,4334,17.0000001788139%,2824
510,Baltimore city,9195,18.3320706567247%,382,448,300477,164887,34.9999994039536%,50158
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Maryland Total Confirmed Cases 2005,,1202,,,,,,,
