"CBLS County-level Summary Data for MD, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Allegany County,1194,30.0000011920929%,15,1.25628140703518%,3,32984,16696,23.9999994635582%,3980
003,Anne Arundel County,6178,15.3999999165535%,21,0.339915830365814%,4,186937,23437,7.00000002980232%,40160
005,Baltimore County,20605,36.8999987840652%,306,1.48507643775783%,90,313734,58451,7.99999982118607%,55877
009,Calvert County,713,11.2999998033047%,3,0.420757363253857%,1,27576,2609,3.99999991059303%,6304
011,Caroline County,916,35.1999998092651%,5,0.545851528384279%,4,12028,3413,14.0000000596046%,2603
013,Carroll County,1274,10.700000077486%,8,0.627943485086342%,3,54260,9800,3.99999991059303%,11946
015,Cecil County,1057,14.3999993801117%,4,0.378429517502365%,5,34461,6469,10.9999999403954%,7336
017,Charles County,1900,16.8999999761581%,1,0.0526315789473684%,1,43903,3212,5.00000007450581%,11217
019,Dorchester County,717,34.9999994039536%,8,1.11576011157601%,6,14681,4883,18.0000007152557%,2049
021,Frederick County,3177,17.4999997019768%,9,0.28328611898017%,2,73017,13286,5.00000007450581%,18106
023,Garrett County,484,25.6999999284744%,5,1.03305785123967%,1,16761,3617,17.0000001788139%,1886
025,Harford County,3036,16.7999997735024%,8,0.263504611330698%,2,83146,8789,7.00000002980232%,18093
027,Howard County,2116,9.89999994635582%,9,0.425330812854442%,2,92818,3665,3.99999991059303%,21288
029,Kent County,278,25.6000012159348%,3,1.07913669064748%,0,9410,2892,23.0000004172325%,1087
031,Montgomery County,17409,22.3000004887581%,36,0.206789591590557%,9,334632,37592,5.99999986588955%,78167
033,Prince George's County,7062,9.79999974370003%,16,0.226564712546021%,0,302378,33348,9.00000035762787%,71824
035,Queen Anne's County,415,13.0999997258186%,4,0.963855421686747%,1,16674,2668,7.00000002980232%,3175
037,St. Mary's County,1741,20.9999993443489%,4,0.229753015508329%,0,34081,3573,9.00000035762787%,8284
039,Somerset County,561,36.8000000715256%,8,1.42602495543672%,5,10092,2924,36.0000014305115%,1523
041,Talbot County,645,29.4999986886978%,3,0.465116279069767%,1,16500,4087,9.00000035762787%,2183
043,Washington County,3040,29.6999990940094%,15,0.493421052631579%,4,52972,17867,17.0000001788139%,10220
045,Wicomico County,2427,34.9999994039536%,23,0.947672023073754%,11,34401,6681,18.0000007152557%,6926
047,Worcester County,984,35.8000010251999%,5,0.508130081300813%,3,47360,4334,17.0000001788139%,2746
510,Baltimore city,12731,23.9999994635582%,562,4.41442149084911%,300,300477,164887,34.9999994039536%,53061
999,Unknown,12153,,49,0.403192627334814%,14,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Maryland Total Confirmed Cases 2006,,1130,,,,,,,,
