"CBLS County-level Summary Data for MD, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Allegany County,1804,43.7000006437302%,11,0.609756097560976%,2,32984,16696,23.9999994635582%,4132
003,Anne Arundel County,6100,14.9000003933907%,16,0.262295081967213%,4,186937,23437,7.00000002980232%,40817
005,Baltimore County,23289,40.4000014066696%,91,0.390742410580102%,76,313734,58451,7.99999982118607%,57612
009,Calvert County,755,11.599999666214%,1,0.132450331125828%,0,27576,2609,3.99999991059303%,6500
011,Caroline County,848,30.7000011205673%,9,1.06132075471698%,3,12028,3413,14.0000000596046%,2758
013,Carroll County,1334,10.8999997377396%,3,0.224887556221889%,3,54260,9800,3.99999991059303%,12192
015,Cecil County,1177,15.0000005960464%,6,0.509770603228547%,3,34461,6469,10.9999999403954%,7840
017,Charles County,1978,16.5999993681908%,0,0%,1,43903,3212,5.00000007450581%,11892
019,Dorchester County,693,31.0000002384186%,9,1.2987012987013%,5,14681,4883,18.0000007152557%,2235
021,Frederick County,3441,18.0999994277954%,10,0.290613193839%,1,73017,13286,5.00000007450581%,18962
023,Garrett County,524,27.5999993085861%,2,0.381679389312977%,0,16761,3617,17.0000001788139%,1900
025,Harford County,3245,17.5999999046326%,5,0.154083204930663%,2,83146,8789,7.00000002980232%,18427
027,Howard County,2158,10.1999998092651%,3,0.139017608897127%,1,92818,3665,3.99999991059303%,21173
029,Kent County,388,33.7999999523163%,2,0.515463917525773%,0,9410,2892,23.0000004172325%,1148
031,Montgomery County,18259,23.4999999403954%,29,0.158825784544608%,10,334632,37592,5.99999986588955%,77742
033,Prince George's County,8834,12.5%,9,0.10187910346389%,1,302378,33348,9.00000035762787%,70898
035,Queen Anne's County,602,18.0000007152557%,4,0.664451827242525%,0,16674,2668,7.00000002980232%,3340
037,St. Mary's County,962,10.8999997377396%,1,0.103950103950104%,0,34081,3573,9.00000035762787%,8841
039,Somerset County,514,31.6000014543533%,2,0.389105058365759%,5,10092,2924,36.0000014305115%,1627
041,Talbot County,681,29.6999990940094%,5,0.734214390602056%,1,16500,4087,9.00000035762787%,2295
043,Washington County,3067,27.5000005960464%,8,0.26084121291164%,3,52972,17867,17.0000001788139%,11160
045,Wicomico County,2972,39.5999997854233%,22,0.740242261103634%,8,34401,6681,18.0000007152557%,7510
047,Worcester County,965,32.600000500679%,6,0.621761658031088%,2,47360,4334,17.0000001788139%,2961
510,Baltimore city,9917,18.1999996304512%,533,5.3746092568317%,268,300477,164887,34.9999994039536%,54541
999,Unknown,9924,,29,0.292220878677952%,9,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Maryland 2007 Confirmed Cases,,816,,,,,,,
