"CBLS County-level Summary Data for MD, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Allegany,1064,25.6632899179932%,11,1.03383458646617%,32984,16696,23.9999994635582%,4146
003,Anne Arundel,5888,14.2580395195661%,2,0.0339673913043478%,186937,23437,7.00000002980232%,41296
005,Baltimore,15246,26.197676816276%,14,0.0918273645546373%,313734,58451,7.99999982118607%,58196
009,Calvert,435,6.8503937007874%,1,0.229885057471264%,27576,2609,3.99999991059303%,6350
011,Caroline,598,20.7422823447797%,4,0.668896321070234%,12028,3413,14.0000000596046%,2883
013,Carroll,1091,9.05394190871369%,4,0.366636113657195%,54260,9800,3.99999991059303%,12050
015,Cecil,983,12.4069165720056%,2,0.203458799593082%,34461,6469,10.9999999403954%,7923
017,Charles,1099,9.57483882209444%,4,0.363967242948135%,43903,3212,5.00000007450581%,11478
019,Dorchester,560,23.9623448866068%,2,0.357142857142857%,14681,4883,18.0000007152557%,2337
021,Frederick,2125,11.4462698626448%,6,0.282352941176471%,73017,13286,5.00000007450581%,18565
023,Garrett,303,16.3518618456557%,,0%,16761,3617,17.0000001788139%,1853
025,Harford,2603,14.1490460401152%,2,0.0768344218209758%,83146,8789,7.00000002980232%,18397
027,Howard,1965,8.93466102850907%,1,0.0508905852417303%,92818,3665,3.99999991059303%,21993
029,Kent,268,21.9672131147541%,,0%,9410,2892,23.0000004172325%,1220
031,Montgomery,12365,14.8904142581888%,16,0.129397492923575%,334632,37592,5.99999986588955%,83040
033,Prince George's,2267,3.16894517599038%,2,0.0882223202470225%,302378,33348,9.00000035762787%,71538
035,Queen Anne's,458,13.5302806499261%,2,0.436681222707424%,16674,2668,7.00000002980232%,3385
037,St. Mary's,989,11.0874439461883%,3,0.303336703741153%,34081,3573,9.00000035762787%,8920
039,Somerset,403,25.3778337531486%,3,0.744416873449132%,10092,2924,36.0000014305115%,1588
041,Talbot,481,20.9312445604874%,2,0.415800415800416%,16500,4087,9.00000035762787%,2298
043,Washington,2440,21.8677182290733%,4,0.163934426229508%,52972,17867,17.0000001788139%,11158
045,Wicomico,1814,23.5217842323651%,4,0.220507166482911%,34401,6681,18.0000007152557%,7712
047,Worcester,689,23.4114848793748%,1,0.145137880986938%,47360,4334,17.0000001788139%,2943
510,Baltimore (city),7022,13.1530147788788%,139,1.97949302193107%,300477,164887,34.9999994039536%,53387
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Maryland 2009 Confirmed Cases,,229,,,,,,
