"CBLS County-level Summary Data for ME, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Androscoggin County,1287,17.6761433868974%,38,13,45960,19138,18.0000007152557%,7281
003,Aroostook County,672,14.7952443857332%,1,3,38719,15244,20.0000002980232%,4542
005,Cumberland County,2475,13.2367098085357%,50,13,122600,45209,10.0000001490116%,18698
007,Franklin County,330,18.3844011142061%,11,2,19159,6150,18.0000007152557%,1795
009,Hancock County,416,13.7293729372937%,9,2,33945,12032,12.9999995231628%,3030
011,Kennebec County,1202,15.4817104585265%,22,7,56364,19906,15.9999996423721%,7764
013,Knox County,295,11.6279069767442%,13,1,21612,9507,14.0000000596046%,2537
015,Lincoln County,180,9.11392405063291%,2,0,20849,7944,15.0000005960464%,1975
017,Oxford County,689,19.4358251057828%,12,5,32295,11872,18.0000007152557%,3545
019,Penobscot County,1469,15.9691270790303%,23,7,66847,23146,18.9999997615814%,9199
021,Piscataquis County,137,13.1226053639847%,4,1,13783,4850,18.9999997615814%,1044
023,Sagadahoc County,429,16.061400224635%,7,5,16489,6011,17.0000001788139%,2671
025,Somerset County,735,20.536462699078%,8,5,28222,9663,21.9999998807907%,3579
027,Waldo County,325,12.8154574132492%,4,0,18904,6065,18.9999997615814%,2536
029,Washington County,479,22.690667929891%,5,0,21919,8338,25%,2111
031,York County,1836,13.5139113793611%,46,15,94234,28112,11.9999997317791%,13586
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Maine Total Confirmed Cases 2005,,277,,,,,,,
