"CBLS County-level Summary Data for ME, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Androscoggin County,1358,17.4999997019768%,36,2.65095729013255%,15,45960,19138,18.0000007152557%,7781
003,Aroostook County,712,16.8999999761581%,2,0.280898876404494%,2,38719,15244,20.0000002980232%,4214
005,Cumberland County,2418,13.0999997258186%,33,1.36476426799007%,21,122600,45209,10.0000001490116%,18418
007,Franklin County,354,20.9999993443489%,4,1.12994350282486%,2,19159,6150,18.0000007152557%,1686
009,Hancock County,451,14.300000667572%,7,1.55210643015521%,2,33945,12032,12.9999995231628%,3149
011,Kennebec County,1260,16.5999993681908%,24,1.90476190476191%,8,56364,19906,15.9999996423721%,7590
013,Knox County,258,10.3000000119209%,7,2.71317829457364%,3,21612,9507,14.0000000596046%,2504
015,Lincoln County,177,9.20000001788139%,1,0.564971751412429%,0,20849,7944,15.0000005960464%,1928
017,Oxford County,633,18.5000002384186%,11,1.73775671406003%,3,32295,11872,18.0000007152557%,3427
019,Penobscot County,1558,16.5000006556511%,32,2.05391527599487%,7,66847,23146,18.9999997615814%,9432
021,Piscataquis County,129,12.8000006079674%,4,3.10077519379845%,1,13783,4850,18.9999997615814%,1006
023,Sagadahoc County,392,15.6000003218651%,9,2.29591836734694%,6,16489,6011,17.0000001788139%,2511
025,Somerset County,706,20.9999993443489%,12,1.69971671388102%,2,28222,9663,21.9999998807907%,3356
027,Waldo County,335,13.7999996542931%,8,2.38805970149254%,0,18904,6065,18.9999997615814%,2419
029,Washington County,453,21.5000003576279%,6,1.32450331125828%,0,21919,8338,25%,2111
031,York County,1534,11.599999666214%,31,2.02086049543677%,14,94234,28112,11.9999997317791%,13215
999,Unknown,960,,20,2.08333333333333%,7,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Maine Total Confirmed Cases 2006,,247,,,,,,,,
